Symbol;Date;Open;High;Low;Close
USDAOA:CUR;10/05/2022;400.77;400.828;398.77802;398.77802
USDAOA:CUR;09/05/2022;400.772;401;398.778;401
USDAOA:CUR;06/05/2022;400.814;401.372;400.405;401.364
USDAOA:CUR;05/05/2022;400.813;401.372;400.5;400.814
USDAOA:CUR;04/05/2022;401.052;401.224;400.49;400.813
USDAOA:CUR;03/05/2022;401.202;401.202;400.3;401.052
USDAOA:CUR;02/05/2022;402.2;402.2;401.052;401.202
USDAOA:CUR;29/04/2022;402.2;403.481;401.01;403
USDAOA:CUR;28/04/2022;400.632;404;400.53;403.481
USDAOA:CUR;27/04/2022;400;403.481;399.44;400.632
USDAOA:CUR;26/04/2022;400.001;402;399.595;400
USDAOA:CUR;25/04/2022;401.415;401.42;400;400.001
USDAOA:CUR;22/04/2022;405.829;405.83;400;400.31
USDAOA:CUR;21/04/2022;410.5;410.5;401.415;405.829
USDAOA:CUR;20/04/2022;415;415;405.829;410.5
USDAOA:CUR;19/04/2022;415.665;415.67;410.5;411
USDAOA:CUR;18/04/2022;417;417;414.917;414.917
USDAOA:CUR;15/04/2022;417;417;416;416
USDAOA:CUR;14/04/2022;417;418;415.665;415.831
USDAOA:CUR;13/04/2022;424.995;425;417;417
USDAOA:CUR;12/04/2022;432.575;432.575;418;424.995
USDAOA:CUR;11/04/2022;433.497;433.5;428.569;432.575
USDAOA:CUR;08/04/2022;437.128;437.13;432.57;433.497
USDAOA:CUR;07/04/2022;438.99;438.99;433.497;438
USDAOA:CUR;06/04/2022;439.07;439.07;437.128;438.99
USDAOA:CUR;05/04/2022;439.073;440;438.478;440
USDAOA:CUR;04/04/2022;440.145;440.145;438.634;439.073
USDAOA:CUR;01/04/2022;440.145;440.145;439.073;440.145
USDAOA:CUR;31/03/2022;442.003;444.64;440.14;440.145
USDAOA:CUR;30/03/2022;445;445;442;443
USDAOA:CUR;29/03/2022;449.768;449.77;444.638;445
USDAOA:CUR;28/03/2022;449.887;450.635;445;449.768
USDAOA:CUR;25/03/2022;449.887;450.635;448.57;449.887
USDAOA:CUR;24/03/2022;448.867;450.635;448.866;448.87
USDAOA:CUR;23/03/2022;451;451;448.866;448.867
USDAOA:CUR;22/03/2022;449.444;449.794;448.866;449.444
USDAOA:CUR;21/03/2022;449.794;451;449.44;449.794
