Symbol;Date;Open;High;Low;Close
USDCVE:CUR;10/05/2022;104.44;104.72;104.16;104.63
USDCVE:CUR;09/05/2022;104.37;105.03;104.1;104.43
USDCVE:CUR;06/05/2022;104.56;105.14;104.07;104.55
USDCVE:CUR;05/05/2022;103.8;105.04;103.66;104.48
USDCVE:CUR;04/05/2022;104.78;104.91;103.7;103.79
USDCVE:CUR;03/05/2022;104.98;105.08;104.26;104.78
USDCVE:CUR;02/05/2022;104.31;105.08;104.15;104.91
USDCVE:CUR;29/04/2022;104.99;105.05;104;104.54
USDCVE:CUR;28/04/2022;104.37;105.25;103.55;105.01
USDCVE:CUR;27/04/2022;103.64;104.84;102.85;104.41
USDCVE:CUR;26/04/2022;102.91;103.65;102.45;103.64
USDCVE:CUR;25/04/2022;102;103.06;101.89;102.93
USDCVE:CUR;22/04/2022;101.72;102.32;101.2;102.08
USDCVE:CUR;21/04/2022;101.59;101.85;100.82;101.77
USDCVE:CUR;20/04/2022;102.19;102.24;101.4;101.56
USDCVE:CUR;19/04/2022;102.25;102.45;101.97;102.18
USDCVE:CUR;18/04/2022;102.11;102.36;101.9;102.26
USDCVE:CUR;15/04/2022;101.81;102.09;101.3;101.92
USDCVE:CUR;14/04/2022;101.26;102.46;100.94;101.82
USDCVE:CUR;13/04/2022;101.83;101.97;101.21;101.23
USDCVE:CUR;12/04/2022;101.27;101.87;101.14;101.83
USDCVE:CUR;11/04/2022;100.79;101.5;100.67;101.29
USDCVE:CUR;08/04/2022;101.34;101.73;100.87;101.37
USDCVE:CUR;07/04/2022;101.21;101.44;100.8;101.33
USDCVE:CUR;06/04/2022;101.1;101.38;100.5;101.17
USDCVE:CUR;05/04/2022;100.47;101.15;100.2;101.09
USDCVE:CUR;04/04/2022;99.8;100.58;99.65;100.5
USDCVE:CUR;01/04/2022;99.63;99.96;99.2;99.79
USDCVE:CUR;31/03/2022;98.81;99.66;98.58;99.63
USDCVE:CUR;30/03/2022;99.45;99.47;98.71;98.8
USDCVE:CUR;29/03/2022;100.41;100.6;99;99.45
USDCVE:CUR;28/03/2022;100.2;100.73;100.2;100.35
USDCVE:CUR;25/03/2022;100.23;100.4;99.88;100.39
USDCVE:CUR;24/03/2022;100.14;100.48;100.11;100.26
USDCVE:CUR;23/03/2022;99.96;100.54;99.84;100.18
USDCVE:CUR;22/03/2022;100.1;100.58;99.84;99.95
USDCVE:CUR;21/03/2022;99.93;100.12;99.62;100.09
USDCVE:CUR;18/03/2022;99.4;100.19;99.16;99.75
USDCVE:CUR;17/03/2022;99.89;100.25;98.99;99.4
USDCVE:CUR;16/03/2022;100.64;100.7;99.82;99.9
USDCVE:CUR;15/03/2022;100.76;100.89;100.1;100.62
USDCVE:CUR;14/03/2022;100.15;101.13;100.15;100.78
USDCVE:CUR;11/03/2022;100.38;101.11;99.84;101.05
USDCVE:CUR;10/03/2022;99.54;100.42;99.15;100.32
USDCVE:CUR;09/03/2022;101.12;101.24;99.38;99.52
USDCVE:CUR;08/03/2022;101.57;101.62;100.65;101.17
USDCVE:CUR;07/03/2022;100.85;101.63;100.75;101.57
USDCVE:CUR;04/03/2022;99.61;101.23;99.29;100.85
USDCVE:CUR;03/03/2022;99.13;99.91;99.13;99.63
USDCVE:CUR;02/03/2022;99.08;99.69;98.8;99.15
USDCVE:CUR;01/03/2022;98.28;99.38;98.15;99.11
USDCVE:CUR;28/02/2022;98.3;98.95;97.93;98.27
USDCVE:CUR;25/02/2022;98.51;98.72;97.79;97.8
USDCVE:CUR;24/02/2022;97.46;99.21;97.17;98.49
USDCVE:CUR;23/02/2022;97.3;97.55;97.07;97.54
USDCVE:CUR;22/02/2022;97.48;97.67;96.98;97.35
USDCVE:CUR;21/02/2022;97.2;97.51;96.87;97.48
USDCVE:CUR;18/02/2022;97.05;97.44;96.86;97.35
USDCVE:CUR;17/02/2022;96.94;97.34;96.8;97.05
USDCVE:CUR;16/02/2022;97.03;97.37;96.76;96.94
USDCVE:CUR;15/02/2022;97.52;97.54;96.89;97.07
