Symbol;Date;Open;High;Low;Close
USDDZD:CUR;10/05/2022;145.3268;145.3764;144.913;145.16701
USDDZD:CUR;09/05/2022;145.548;145.568;145.143;145.3245
USDDZD:CUR;06/05/2022;144.51;144.8;144.26;144.54
USDDZD:CUR;05/05/2022;144.21;144.77;144.16;144.52
USDDZD:CUR;04/05/2022;144.4553;144.4553;144.4553;144.4553
USDDZD:CUR;03/05/2022;144.4553;144.4553;144.4553;144.4553
USDDZD:CUR;02/05/2022;144.4553;144.4553;144.4553;144.4553
USDDZD:CUR;29/04/2022;144.4538;144.4699;143.898;144.4553
USDDZD:CUR;28/04/2022;144.3256;144.513;143.55;144.451
USDDZD:CUR;27/04/2022;144.1816;144.4253;143.48;144.3341
USDDZD:CUR;26/04/2022;143.842;144.1854;143.701;144.1832
USDDZD:CUR;25/04/2022;143.692;144.0243;143.576;143.9929
USDDZD:CUR;22/04/2022;143.1451;143.6527;142.989;143.5995
USDDZD:CUR;21/04/2022;143.1681;143.2301;142.37;143.154
USDDZD:CUR;20/04/2022;143.242;143.2898;142.819;143.1659
USDDZD:CUR;19/04/2022;143.231;143.332;142.42;143.247
USDDZD:CUR;18/04/2022;143.105;143.289;142.56;143.226
USDDZD:CUR;15/04/2022;142.986;143.128;142.971;143.062
USDDZD:CUR;14/04/2022;143.1164;143.267;142.37;142.981
USDDZD:CUR;13/04/2022;143.1162;143.2935;142.681;143.1076
USDDZD:CUR;12/04/2022;143.0215;143.2187;142.67;143.1096
USDDZD:CUR;11/04/2022;142.788;143.0479;142.41;143.0259
USDDZD:CUR;08/04/2022;142.24;143.1806;142.21;143.0928
USDDZD:CUR;07/04/2022;142.17;143.1102;141.98;142.9487
USDDZD:CUR;06/04/2022;142.43;143.15;141.96;142.16
USDDZD:CUR;05/04/2022;142.2;143.031;142.1;142.44
USDDZD:CUR;04/04/2022;142.556;142.827;141.95;142.2
USDDZD:CUR;01/04/2022;142.343;142.565;142.306;142.477
USDDZD:CUR;31/03/2022;142.1538;142.5299;141.75;142.5127
USDDZD:CUR;30/03/2022;142.3547;142.3642;141.72;142.1516
USDDZD:CUR;29/03/2022;142.7001;142.7217;141.52;142.3569
USDDZD:CUR;28/03/2022;142.515;142.7577;141.9;142.6958
USDDZD:CUR;25/03/2022;141.87;142.5919;141.69;141.91
USDDZD:CUR;24/03/2022;141.78;142.6746;141.74;142.5853
