Symbol;Date;Open;High;Low;Close
USDGHS:CUR;10/05/2022;7.3;7.46;7.3;7.3
USDGHS:CUR;09/05/2022;7.45;7.46;7.2;7.3
USDGHS:CUR;06/05/2022;7.3;7.48;7.2;7.4
USDGHS:CUR;05/05/2022;7.3;7.51;7.2;7.3
USDGHS:CUR;04/05/2022;7.3;7.45;7.25;7.3
USDGHS:CUR;03/05/2022;7.3;7.3;7.3;7.3
USDGHS:CUR;02/05/2022;7.3;7.3;7.3;7.3
USDGHS:CUR;29/04/2022;7.45;7.45;7.3;7.3
USDGHS:CUR;28/04/2022;7.45;7.45;7.3;7.3
USDGHS:CUR;27/04/2022;7.3;7.45;7.3;7.3
USDGHS:CUR;26/04/2022;7.3;7.53;7.3;7.3
USDGHS:CUR;25/04/2022;7.3;7.45;7.3;7.3
USDGHS:CUR;22/04/2022;7.3;7.45;7.25;7.45
USDGHS:CUR;21/04/2022;7.3;7.45;7.3;7.3
USDGHS:CUR;20/04/2022;7.3;7.46;7.3;7.32
USDGHS:CUR;19/04/2022;7.3;7.45;7.15;7.45
USDGHS:CUR;18/04/2022;7.45;7.45;7.45;7.45
USDGHS:CUR;15/04/2022;7.45;7.45;7.45;7.45
USDGHS:CUR;14/04/2022;7.4;7.5;7.4;7.45
USDGHS:CUR;13/04/2022;7.3;7.5;7.3;7.4
USDGHS:CUR;12/04/2022;7.3;7.46;7.3;7.45
USDGHS:CUR;11/04/2022;7.3;7.535;7.3;7.3
USDGHS:CUR;08/04/2022;7.3;7.4;7.3;7.4
USDGHS:CUR;07/04/2022;7.3;7.4;7.3;7.4
USDGHS:CUR;06/04/2022;7.3;7.4;7.3;7.4
USDGHS:CUR;05/04/2022;7.3;7.4;7.3;7.32
USDGHS:CUR;04/04/2022;7.4;7.4;7.3;7.3
USDGHS:CUR;01/04/2022;7.4;7.4;7.3;7.3
USDGHS:CUR;31/03/2022;7.4;7.4;7.3;7.3
USDGHS:CUR;30/03/2022;7.4;7.4;7.2;7.3
USDGHS:CUR;29/03/2022;7.4;7.45;7.3;7.45
USDGHS:CUR;28/03/2022;7.35;7.45;7.25;7.45
USDGHS:CUR;25/03/2022;7.35;7.45;7.25;7.4
USDGHS:CUR;24/03/2022;7.4;7.45;7.24;7.24
USDGHS:CUR;23/03/2022;7.2;7.55;7.2;7.45
USDGHS:CUR;22/03/2022;7.2;7.4;7.15;7.4
USDGHS:CUR;21/03/2022;7.2;7.4;7.15;7.35
USDGHS:CUR;18/03/2022;7.05;7.35;7.05;7.35
USDGHS:CUR;17/03/2022;7.15;7.3;7;7.15
