Symbol;Date;Open;High;Low;Close
USDGMD:CUR;10/05/2022;53.65;53.65;53.35;53.35
USDGMD:CUR;09/05/2022;53.65;53.9;53.35;53.65
USDGMD:CUR;08/05/2022;53.65;53.65;53.65;53.65
USDGMD:CUR;07/05/2022;53.65;53.65;53.65;53.65
USDGMD:CUR;06/05/2022;53.65;53.65;53.55;53.65
USDGMD:CUR;05/05/2022;53.65;53.65;53.35;53.55
USDGMD:CUR;04/05/2022;53.65;53.9;53.35;53.65
USDGMD:CUR;03/05/2022;53.65;53.65;53.55;53.65
USDGMD:CUR;02/05/2022;53.65;53.65;53.55;53.65
USDGMD:CUR;01/05/2022;53.55;53.55;53.55;53.55
USDGMD:CUR;30/04/2022;53.65;53.65;53.65;53.65
USDGMD:CUR;29/04/2022;53.6;53.65;53.5;53.65
USDGMD:CUR;28/04/2022;53.6;53.9;53.35;53.6
USDGMD:CUR;27/04/2022;53.6;53.6;53.4;53.6
USDGMD:CUR;26/04/2022;53.6;53.6;53.3;53.6
USDGMD:CUR;25/04/2022;53.4;53.9;53.05;53.6
USDGMD:CUR;24/04/2022;53.4;53.4;53.4;53.4
USDGMD:CUR;23/04/2022;53.4;53.4;53.4;53.4
USDGMD:CUR;22/04/2022;53.6;53.6;53.35;53.6
USDGMD:CUR;21/04/2022;53.6;53.9;53.3;53.6
USDGMD:CUR;20/04/2022;53.6;53.6;53.4;53.6
USDGMD:CUR;19/04/2022;53.45;53.6;53.35;53.6
USDGMD:CUR;18/04/2022;53.45;53.9;53.3;53.45
USDGMD:CUR;17/04/2022;53.45;53.45;53.45;53.45
USDGMD:CUR;16/04/2022;53.45;53.45;53.45;53.45
USDGMD:CUR;15/04/2022;53.45;53.45;53.4;53.45
USDGMD:CUR;14/04/2022;53.45;53.45;53.25;53.45
USDGMD:CUR;13/04/2022;53.45;53.45;53.25;53.45
USDGMD:CUR;12/04/2022;53.45;53.9;53.25;53.45
USDGMD:CUR;11/04/2022;53.45;53.7;53.3;53.45
USDGMD:CUR;10/04/2022;53.45;53.45;53.45;53.45
USDGMD:CUR;09/04/2022;53.45;53.45;53.45;53.45
USDGMD:CUR;08/04/2022;53.45;53.45;53.35;53.45
USDGMD:CUR;07/04/2022;53.45;53.45;53.25;53.45
USDGMD:CUR;06/04/2022;53.45;53.7;53.25;53.45
USDGMD:CUR;05/04/2022;53.45;53.45;53.3;53.45
USDGMD:CUR;04/04/2022;53.4;53.85;53.25;53.45
USDGMD:CUR;03/04/2022;53.4;53.4;53.4;53.4
USDGMD:CUR;02/04/2022;53.4;53.4;53.4;53.4
USDGMD:CUR;01/04/2022;53.3;53.95;53.3;53.4
USDGMD:CUR;31/03/2022;53.6;53.6;53.3;53.3
USDGMD:CUR;30/03/2022;53.7;53.7;53.25;53.6
USDGMD:CUR;29/03/2022;53.8;53.8;53;53.7
USDGMD:CUR;28/03/2022;53.9;53.95;53.25;53.8
USDGMD:CUR;27/03/2022;53.9;53.9;53.9;53.9
USDGMD:CUR;26/03/2022;53.9;53.9;53.9;53.9
USDGMD:CUR;25/03/2022;53.8;53.95;53.7;53.9
USDGMD:CUR;24/03/2022;53.8;53.95;53.5;53.8
USDGMD:CUR;23/03/2022;53.85;53.85;53.55;53.8
USDGMD:CUR;22/03/2022;53.75;53.95;53.45;53.85
USDGMD:CUR;21/03/2022;53.65;53.85;53.1;53.75
USDGMD:CUR;20/03/2022;53.65;53.65;53.65;53.65
USDGMD:CUR;19/03/2022;53.65;53.65;53.65;53.65
USDGMD:CUR;18/03/2022;53.05;53.85;53;53.65
USDGMD:CUR;17/03/2022;53.35;53.76;53.2;53.2
USDGMD:CUR;16/03/2022;53.35;53.85;53;53.35
USDGMD:CUR;15/03/2022;53.35;53.56;53.15;53.35
USDGMD:CUR;14/03/2022;53.15;53.85;53.15;53.35
USDGMD:CUR;13/03/2022;53.35;53.35;53.35;53.35
USDGMD:CUR;12/03/2022;53.35;53.35;53.35;53.35
USDGMD:CUR;11/03/2022;53.35;53.35;53.15;53.35
USDGMD:CUR;10/03/2022;53.35;53.85;53.05;53.35
USDGMD:CUR;09/03/2022;53.25;53.39;53.15;53.35
USDGMD:CUR;08/03/2022;53.25;53.35;53;53.25
USDGMD:CUR;07/03/2022;53.25;53.85;53;53.25
USDGMD:CUR;06/03/2022;53.25;53.25;53.25;53.25
USDGMD:CUR;05/03/2022;53.25;53.25;53.25;53.25
USDGMD:CUR;04/03/2022;53.25;53.65;53;53.25
USDGMD:CUR;03/03/2022;53.25;53.25;53;53.25
USDGMD:CUR;02/03/2022;53.2;53.65;53;53.25
USDGMD:CUR;01/03/2022;53.2;53.75;52.7;53.2
USDGMD:CUR;28/02/2022;53.05;53.65;53.05;53.2
USDGMD:CUR;27/02/2022;53.2;53.2;53.2;53.2
USDGMD:CUR;26/02/2022;53.2;53.2;53.2;53.2
USDGMD:CUR;25/02/2022;53.2;53.27;53;53.05
USDGMD:CUR;24/02/2022;53.2;53.28;52.7;53.2
USDGMD:CUR;23/02/2022;53.1;53.2;53;53.2
USDGMD:CUR;22/02/2022;53.1;53.25;53;53.1
USDGMD:CUR;21/02/2022;53;53.6;53;53.1
USDGMD:CUR;20/02/2022;53;53;53;53
USDGMD:CUR;19/02/2022;53;53;53;53
USDGMD:CUR;18/02/2022;53.1;53.18;53;53
USDGMD:CUR;17/02/2022;53.1;53.6;53;53.1
USDGMD:CUR;16/02/2022;53.1;53.15;52.85;53.1
USDGMD:CUR;15/02/2022;53.1;53.16;52.65;53.1
USDGMD:CUR;14/02/2022;53;53.45;52.65;53.1
USDGMD:CUR;13/02/2022;53.1;53.1;53.1;53.1
USDGMD:CUR;12/02/2022;53.1;53.1;53.1;53.1
USDGMD:CUR;11/02/2022;53.2;53.2;52.7;53.1
USDGMD:CUR;10/02/2022;53.2;53.45;52.65;53.2
USDGMD:CUR;09/02/2022;53.1;53.45;52.65;53.2
USDGMD:CUR;08/02/2022;53.1;53.1;52.65;53.1
USDGMD:CUR;07/02/2022;53;53.45;52.55;53.1
USDGMD:CUR;06/02/2022;53;53;53;53
USDGMD:CUR;05/02/2022;53;53;53;53
USDGMD:CUR;04/02/2022;53.1;53.1;52.5;53.1
USDGMD:CUR;03/02/2022;53.2;53.45;52.6;53.1
USDGMD:CUR;02/02/2022;53;53.3;52.6;53.2
USDGMD:CUR;01/02/2022;53;53;52.6;53
USDGMD:CUR;31/01/2022;53.1;53.3;52.65;53
USDGMD:CUR;30/01/2022;53;53;53;53
USDGMD:CUR;29/01/2022;53;53;53;53
USDGMD:CUR;28/01/2022;53.1;53.1;52.55;53.1
USDGMD:CUR;27/01/2022;53.1;53.1;52.3;53.1
USDGMD:CUR;26/01/2022;52.9;53.3;52.3;53
USDGMD:CUR;25/01/2022;53.1;53.3;52.45;53.1
USDGMD:CUR;24/01/2022;53.1;53.2;52.4;53.1
USDGMD:CUR;23/01/2022;53.1;53.1;53.1;53.1
USDGMD:CUR;22/01/2022;53.1;53.1;53.1;53.1
USDGMD:CUR;21/01/2022;53.2;53.2;52.4;53.2
USDGMD:CUR;20/01/2022;53.2;53.2;52.45;53.2
USDGMD:CUR;19/01/2022;53.2;53.2;52.4;53.2
USDGMD:CUR;18/01/2022;53;53.2;52.35;53.2
USDGMD:CUR;17/01/2022;52.8;53.2;52.8;53
USDGMD:CUR;16/01/2022;53;53;53;53
USDGMD:CUR;15/01/2022;53;53;53;53
USDGMD:CUR;14/01/2022;53.1;53.1;52.55;53
USDGMD:CUR;13/01/2022;53.1;53.2;52.5;53.1
USDGMD:CUR;12/01/2022;53.1;53.2;52.55;53.1
USDGMD:CUR;11/01/2022;53.1;53.1;52.4;53.1
USDGMD:CUR;10/01/2022;52.7;53.2;52.35;53.1
USDGMD:CUR;09/01/2022;52.7;52.7;52.7;52.7
USDGMD:CUR;08/01/2022;52.7;52.7;52.7;52.7
USDGMD:CUR;07/01/2022;52.9;53;52.45;53
USDGMD:CUR;06/01/2022;52.9;53.2;52.5;52.9
USDGMD:CUR;05/01/2022;52.9;53;52.45;52.9
USDGMD:CUR;04/01/2022;52.9;53;52.45;52.9
USDGMD:CUR;03/01/2022;52.8;52.9;52.8;52.9
USDGMD:CUR;02/01/2022;52.9;52.9;52.9;52.9
USDGMD:CUR;01/01/2022;52.9;52.9;52.9;52.9
USDGMD:CUR;31/12/2021;52.9;52.9;52.7;52.9
USDGMD:CUR;30/12/2021;52.9;53;52.55;52.9
USDGMD:CUR;29/12/2021;52.7;53;52.25;52.9
USDGMD:CUR;28/12/2021;52.7;52.7;52.25;52.7
USDGMD:CUR;27/12/2021;52.7;52.7;52.25;52.7
USDGMD:CUR;26/12/2021;52.7;52.7;52.7;52.7
USDGMD:CUR;25/12/2021;52.7;52.7;52.7;52.7
USDGMD:CUR;24/12/2021;52.7;52.7;52.25;52.7
USDGMD:CUR;23/12/2021;52.7;52.71;52.25;52.7
USDGMD:CUR;22/12/2021;52.7;53;52.25;52.7
USDGMD:CUR;21/12/2021;52.7;52.7;52.25;52.7
USDGMD:CUR;20/12/2021;52.7;52.7;52.25;52.7
USDGMD:CUR;19/12/2021;52.7;52.7;52.7;52.7
USDGMD:CUR;18/12/2021;52.7;52.7;52.7;52.7
USDGMD:CUR;17/12/2021;52.7;52.7;52.5;52.7
USDGMD:CUR;16/12/2021;52.7;53;52.5;52.7
USDGMD:CUR;15/12/2021;52.4;52.7;52.4;52.7
USDGMD:CUR;14/12/2021;52.6;53;52.2;52.6
USDGMD:CUR;13/12/2021;52.6;53;52.2;52.6
USDGMD:CUR;12/12/2021;52.6;52.6;52.6;52.6
USDGMD:CUR;11/12/2021;52.6;52.6;52.6;52.6
USDGMD:CUR;10/12/2021;52.6;53;52.2;52.6
USDGMD:CUR;09/12/2021;52.55;52.6;52.2;52.6
USDGMD:CUR;08/12/2021;52.3;52.55;52.2;52.55
USDGMD:CUR;07/12/2021;52.5;52.85;52.2;52.3
USDGMD:CUR;06/12/2021;52.4;52.7;52.25;52.5
USDGMD:CUR;05/12/2021;52.4;52.4;52.4;52.4
USDGMD:CUR;04/12/2021;52.4;52.4;52.4;52.4
USDGMD:CUR;03/12/2021;52.5;52.51;52.1;52.5
USDGMD:CUR;02/12/2021;52.5;52.51;52.05;52.5
USDGMD:CUR;01/12/2021;52.1;52.5;52;52.5
USDGMD:CUR;30/11/2021;52.4;53;52.08;52.1
USDGMD:CUR;29/11/2021;52.05;52.65;52;52.4
USDGMD:CUR;28/11/2021;52.35;52.35;52.35;52.35
USDGMD:CUR;27/11/2021;52.35;52.35;52.35;52.35
USDGMD:CUR;26/11/2021;52.35;52.35;52.05;52.35
USDGMD:CUR;25/11/2021;52.3;52.35;51.95;52.35
USDGMD:CUR;24/11/2021;52.3;52.3;51.9;52.3
USDGMD:CUR;23/11/2021;52.25;52.3;51.9;52.3
USDGMD:CUR;22/11/2021;52;52.65;51.9;52.25
USDGMD:CUR;21/11/2021;51.9;51.9;51.9;51.9
USDGMD:CUR;20/11/2021;51.9;51.9;51.9;51.9
USDGMD:CUR;19/11/2021;52;52.5;51.9;52
USDGMD:CUR;18/11/2021;52.2;52.2;52;52
USDGMD:CUR;17/11/2021;52.2;52.2;52.1;52.2
USDGMD:CUR;16/11/2021;52.2;52.2;52.05;52.2
USDGMD:CUR;15/11/2021;52;52.5;52;52.2
USDGMD:CUR;14/11/2021;52;52;52;52
USDGMD:CUR;13/11/2021;52;52;52;52
USDGMD:CUR;12/11/2021;52.2;52.55;51.75;52
USDGMD:CUR;11/11/2021;52.15;52.3;52.1;52.2
USDGMD:CUR;10/11/2021;52.2;52.2;51.75;52.15
USDGMD:CUR;09/11/2021;52.2;52.2;51.85;52.2
USDGMD:CUR;08/11/2021;52.2;52.2;51.85;52.2
USDGMD:CUR;07/11/2021;52.2;52.2;52.2;52.2
USDGMD:CUR;06/11/2021;52.2;52.2;52.2;52.2
USDGMD:CUR;05/11/2021;52.15;52.3;51.75;52.2
USDGMD:CUR;04/11/2021;52.15;52.15;51.75;52.15
USDGMD:CUR;03/11/2021;52;52.15;51.75;52.15
USDGMD:CUR;02/11/2021;52;52;51.75;52
USDGMD:CUR;01/11/2021;51.95;52.3;51.75;52
USDGMD:CUR;31/10/2021;52.15;52.15;52.15;52.15
USDGMD:CUR;30/10/2021;52.15;52.15;52.15;52.15
USDGMD:CUR;29/10/2021;52.1;52.3;51.9;52.15
USDGMD:CUR;28/10/2021;52.15;52.15;51.75;52.1
USDGMD:CUR;27/10/2021;52.1;52.15;51.9;52.15
USDGMD:CUR;26/10/2021;52;52.2;51.25;52.1
USDGMD:CUR;25/10/2021;51.88;52.1;51.75;52
USDGMD:CUR;24/10/2021;51.88;51.88;51.88;51.88
USDGMD:CUR;23/10/2021;51.9;51.9;51.9;51.9
USDGMD:CUR;22/10/2021;52;52;51.75;51.9
USDGMD:CUR;21/10/2021;52.1;52.1;51.75;52
USDGMD:CUR;20/10/2021;52.1;52.1;51.75;52.1
USDGMD:CUR;19/10/2021;52.1;52.1;51.7;52.1
USDGMD:CUR;18/10/2021;51.7;52.1;51.7;52.1
USDGMD:CUR;17/10/2021;52.1;52.1;52.1;52.1
USDGMD:CUR;16/10/2021;52.1;52.1;52.1;52.1
USDGMD:CUR;15/10/2021;51.65;52.1;51.65;52.1
USDGMD:CUR;14/10/2021;51.65;51.7;51.55;51.65
USDGMD:CUR;13/10/2021;51.65;51.65;51.6;51.65
USDGMD:CUR;12/10/2021;51.75;51.8;51.55;51.65
USDGMD:CUR;11/10/2021;51.8;51.9;51.7;51.75
USDGMD:CUR;10/10/2021;51.8;51.8;51.8;51.8
USDGMD:CUR;09/10/2021;51.8;51.8;51.8;51.8
USDGMD:CUR;08/10/2021;51.65;51.9;51.35;51.9
USDGMD:CUR;07/10/2021;51.65;51.7;51.6;51.65
USDGMD:CUR;06/10/2021;51.65;51.65;51.2;51.65
USDGMD:CUR;05/10/2021;51.65;51.65;51.2;51.65
USDGMD:CUR;04/10/2021;51.7;51.7;51.2;51.6
USDGMD:CUR;03/10/2021;51.35;51.35;51.35;51.35
USDGMD:CUR;02/10/2021;51.35;51.35;51.35;51.35
USDGMD:CUR;01/10/2021;51.7;51.7;51.6;51.7
USDGMD:CUR;30/09/2021;51.7;51.7;51.3;51.7
