Symbol;Date;Open;High;Low;Close
USDGNF:CUR;10/05/2022;8636;8636;8580;8632
USDGNF:CUR;09/05/2022;8723;8723;8590;8636
USDGNF:CUR;06/05/2022;8649;8689.65;8635.17;8643
USDGNF:CUR;05/05/2022;8657;8678.19;8640;8645
USDGNF:CUR;04/05/2022;8673;8689.65;8625;8657
USDGNF:CUR;03/05/2022;8683;8693.58;8660;8673
USDGNF:CUR;02/05/2022;8662;8689.65;8662;8683
USDGNF:CUR;29/04/2022;8694;8699.36;8650;8683
USDGNF:CUR;28/04/2022;8694;8706.47;8650;8694
USDGNF:CUR;27/04/2022;8701;8718.86;8694;8694
USDGNF:CUR;26/04/2022;8706;8718.86;8675;8701
USDGNF:CUR;25/04/2022;8710;8745.25;8650;8706
USDGNF:CUR;22/04/2022;8721;8729.22;8700;8713
USDGNF:CUR;21/04/2022;8735;8747.85;8650;8721
USDGNF:CUR;20/04/2022;8735;8747.54;8650;8735
USDGNF:CUR;19/04/2022;8752;8756.51;8725;8735
USDGNF:CUR;18/04/2022;8752;8779.62;8700;8752
USDGNF:CUR;15/04/2022;8752;8752;8740;8752
USDGNF:CUR;14/04/2022;8752;8774.56;8742;8752
USDGNF:CUR;13/04/2022;8758;8774.56;8650;8752
USDGNF:CUR;12/04/2022;8764;8772.69;8748;8758
USDGNF:CUR;11/04/2022;8773;8778.25;8754;8764
USDGNF:CUR;08/04/2022;8784;8784;8772;8773
USDGNF:CUR;07/04/2022;8789;8791.2;8700;8784
USDGNF:CUR;06/04/2022;8800;8800;8720;8789
USDGNF:CUR;05/04/2022;8800;8800;8760;8800
USDGNF:CUR;04/04/2022;8802;8810.5;8700;8800
USDGNF:CUR;01/04/2022;8801;8803;8750;8803
USDGNF:CUR;31/03/2022;8807;8807;8750;8801
USDGNF:CUR;30/03/2022;8809;8809;8760;8807
USDGNF:CUR;29/03/2022;8809;8809;8775;8809
USDGNF:CUR;28/03/2022;8815;8821.17;8775;8809
USDGNF:CUR;25/03/2022;8827;8827;8800;8819
USDGNF:CUR;24/03/2022;8820;8827;8700;8827
USDGNF:CUR;23/03/2022;8811;8820;8800;8820
USDGNF:CUR;22/03/2022;8801;8811;8700;8811
USDGNF:CUR;21/03/2022;8781.75;8801;8700;8801
USDGNF:CUR;18/03/2022;8787;8799;8770;8792
USDGNF:CUR;17/03/2022;8800;8806.57;8787;8787
USDGNF:CUR;16/03/2022;8800;8805;8780;8800
USDGNF:CUR;15/03/2022;8813;8844.24;8700;8800
USDGNF:CUR;14/03/2022;8805;8844.24;8805;8813
USDGNF:CUR;11/03/2022;8835;8840;8805;8835
USDGNF:CUR;10/03/2022;8846;8855;8835;8835
USDGNF:CUR;09/03/2022;8859;8860;8844.61;8846
USDGNF:CUR;08/03/2022;8867;8918;8857.72;8859
USDGNF:CUR;07/03/2022;8875;8949.06;8867;8867
USDGNF:CUR;04/03/2022;8882;8882;8850;8878
USDGNF:CUR;03/03/2022;8884;8884;8850;8882
USDGNF:CUR;02/03/2022;8885;8885;8875.12;8884
USDGNF:CUR;01/03/2022;8887;8887;8870;8885
USDGNF:CUR;28/02/2022;8890;8893;8858.5;8887
USDGNF:CUR;25/02/2022;8898;8898;8884.11;8893
USDGNF:CUR;24/02/2022;8907;8907;8890;8898
USDGNF:CUR;23/02/2022;8903;8907;8895.05;8907
USDGNF:CUR;22/02/2022;8904;8930;8894.1;8903
USDGNF:CUR;21/02/2022;8918.75;8930;8900;8904
USDGNF:CUR;18/02/2022;8921;8940;8900;8910
USDGNF:CUR;17/02/2022;8934;8950;8900;8921
USDGNF:CUR;16/02/2022;8945;8960;8900;8934
USDGNF:CUR;15/02/2022;8953;8960;8900;8945
USDGNF:CUR;14/02/2022;8987;9000;8900;8953
USDGNF:CUR;11/02/2022;8976;8985;8960.26;8969
USDGNF:CUR;10/02/2022;8990;9001;8975;8976
USDGNF:CUR;09/02/2022;9000;9001.5;8980.08;8990
USDGNF:CUR;08/02/2022;9030;9038.18;8982.99;9000
USDGNF:CUR;07/02/2022;9009.9;9038.9;9009.9;9020.97
USDGNF:CUR;04/02/2022;8950;9025.81;8881.12;9020
USDGNF:CUR;03/02/2022;8950;8991;8918.52;8948.39
USDGNF:CUR;02/02/2022;8955;9000;8948.36;8950
USDGNF:CUR;01/02/2022;8955;8955;8944.89;8955
USDGNF:CUR;31/01/2022;8976;9001;8950;8955
USDGNF:CUR;28/01/2022;9000;9000;8965;8965
USDGNF:CUR;27/01/2022;9000;9020.68;8900;9000
USDGNF:CUR;26/01/2022;8965;9020.68;8900;9000
USDGNF:CUR;25/01/2022;8970;8980.51;8927.62;8927.62
USDGNF:CUR;24/01/2022;8985;8997.97;8970;8970
USDGNF:CUR;21/01/2022;8995;8997.97;8900;8985
USDGNF:CUR;20/01/2022;8985;8995;8900;8995
USDGNF:CUR;19/01/2022;9000;9000;8900;8992.55
USDGNF:CUR;18/01/2022;9000;9065.31;8958.5;8997.9
USDGNF:CUR;17/01/2022;9000;9000;8975.5;9000
USDGNF:CUR;14/01/2022;8964;9010;8898.5;9000
USDGNF:CUR;13/01/2022;8980;9074.38;8900;9010
USDGNF:CUR;12/01/2022;9060;9074.38;8900;8980
USDGNF:CUR;11/01/2022;9055;9086.22;8950;9050.94
USDGNF:CUR;10/01/2022;9012.5;9100.93;8950;9055
USDGNF:CUR;07/01/2022;9080;9135.2;8950;9090
USDGNF:CUR;06/01/2022;9155;9155;8975;9080
USDGNF:CUR;05/01/2022;9173;9193.8;9145.84;9155
USDGNF:CUR;04/01/2022;9205;9211;9173;9173
USDGNF:CUR;03/01/2022;9193;9207.54;9151.04;9205
USDGNF:CUR;31/12/2021;9231;9231;9163.75;9193
USDGNF:CUR;30/12/2021;9176;9234.2;9171.67;9194
USDGNF:CUR;29/12/2021;9199;9238.67;9170;9176
USDGNF:CUR;28/12/2021;9214;9275.72;9170;9199
USDGNF:CUR;27/12/2021;9225;9253.31;9175;9214
USDGNF:CUR;24/12/2021;9229;9290.7;9220;9220
USDGNF:CUR;23/12/2021;9256;9300;9200;9229
USDGNF:CUR;22/12/2021;9256;9300;9200;9256
USDGNF:CUR;21/12/2021;9256;9312;9200;9256
USDGNF:CUR;20/12/2021;9354.5;9354.5;9220;9256
USDGNF:CUR;17/12/2021;9268;9322.67;9200;9262
USDGNF:CUR;16/12/2021;9273;9303.94;9220;9268
USDGNF:CUR;15/12/2021;9278;9303.94;9225;9273
USDGNF:CUR;14/12/2021;9286;9301.26;9240;9281
USDGNF:CUR;13/12/2021;9302.5;9310.54;9225;9286
USDGNF:CUR;10/12/2021;9301;9326.93;9250;9294
USDGNF:CUR;09/12/2021;9294;9331.6;9250;9301
USDGNF:CUR;08/12/2021;9302;9450;9200;9294
USDGNF:CUR;07/12/2021;9308;9308;9250;9302
USDGNF:CUR;06/12/2021;9315;9371;9250;9308
USDGNF:CUR;03/12/2021;9311;9450;9260;9315
USDGNF:CUR;02/12/2021;9318;9450;9225;9311
USDGNF:CUR;01/12/2021;9324;9332.28;9200;9318
USDGNF:CUR;30/11/2021;9329;9450;9200;9324
USDGNF:CUR;29/11/2021;9319.5;9450;9250;9329
USDGNF:CUR;26/11/2021;9355;9365;9300;9339
USDGNF:CUR;25/11/2021;9370;9400;9355;9355
USDGNF:CUR;24/11/2021;9382;9400;9300;9370
USDGNF:CUR;23/11/2021;9391;9400;9300;9382
USDGNF:CUR;22/11/2021;9448.5;9448.5;9360;9391
USDGNF:CUR;19/11/2021;9406;9412.57;9400;9406
USDGNF:CUR;18/11/2021;9414;9414;9350;9406
USDGNF:CUR;17/11/2021;9421;9431.04;9370;9414
USDGNF:CUR;16/11/2021;9432;9432;9375;9421
USDGNF:CUR;15/11/2021;9456;9456;9380;9432
USDGNF:CUR;12/11/2021;9456;9483.51;9400;9456
USDGNF:CUR;11/11/2021;9476;9476;9455;9456
USDGNF:CUR;10/11/2021;9476;9483.51;9425;9476
USDGNF:CUR;09/11/2021;9501;9501;9455;9476
USDGNF:CUR;08/11/2021;9501;9550;9450;9501
USDGNF:CUR;05/11/2021;9508;9508;9450;9501
USDGNF:CUR;04/11/2021;9510;9510;9450;9508
USDGNF:CUR;03/11/2021;9551;9551;9475;9510
USDGNF:CUR;02/11/2021;9551;9551;9500;9551
USDGNF:CUR;01/11/2021;9550;9561.43;9525;9551
USDGNF:CUR;29/10/2021;9571;9571;9540.72;9550
USDGNF:CUR;28/10/2021;9574;9575;9525;9571
USDGNF:CUR;27/10/2021;9582;9582;9568.42;9574
USDGNF:CUR;26/10/2021;9596;9596;9550;9582
USDGNF:CUR;25/10/2021;9593;9596;9565;9596
USDGNF:CUR;22/10/2021;9602;9615;9550;9594
USDGNF:CUR;21/10/2021;9618;9627;9575;9602
USDGNF:CUR;20/10/2021;9628;9628;9570;9618
USDGNF:CUR;19/10/2021;9646;9646;9575;9628
USDGNF:CUR;18/10/2021;9658;9678.5;9600;9646
USDGNF:CUR;15/10/2021;9660;9660;9600;9646
USDGNF:CUR;14/10/2021;9687;9687;9646.55;9660
USDGNF:CUR;13/10/2021;9687;9687;9650;9687
USDGNF:CUR;12/10/2021;9698;9698;9655;9687
USDGNF:CUR;11/10/2021;9699.5;9703;9697;9698
USDGNF:CUR;08/10/2021;9703;9703;9650;9703
USDGNF:CUR;07/10/2021;9701;9703;9681.6;9703
USDGNF:CUR;06/10/2021;9701;9701;9650;9701
USDGNF:CUR;05/10/2021;9701;9701;9655;9701
USDGNF:CUR;04/10/2021;9703;9704;9650;9700
USDGNF:CUR;01/10/2021;9704;9704;9684.59;9704
USDGNF:CUR;30/09/2021;9710;9712;9665;9704
USDGNF:CUR;29/09/2021;9713;9713;9690.58;9710
USDGNF:CUR;28/09/2021;9715;9715;9675;9713
USDGNF:CUR;27/09/2021;9710;9715;9670;9715
USDGNF:CUR;24/09/2021;9714;9715;9675;9715
USDGNF:CUR;23/09/2021;9714;9714;9670;9714
USDGNF:CUR;22/09/2021;9716;9718;9675;9714
USDGNF:CUR;21/09/2021;9719;9719;9660;9716
USDGNF:CUR;20/09/2021;9724;9727;9675;9719
USDGNF:CUR;17/09/2021;9727;9727;9680;9727
USDGNF:CUR;16/09/2021;9718;9727;9675;9727
USDGNF:CUR;15/09/2021;9718;9718;9675;9718
USDGNF:CUR;14/09/2021;9717;9718;9675;9718
USDGNF:CUR;13/09/2021;9722;9725;9675;9717
USDGNF:CUR;10/09/2021;9720;9724;9698.09;9717
USDGNF:CUR;09/09/2021;9726;9726;9701.81;9720
USDGNF:CUR;08/09/2021;9737;9737;9706.55;9726
USDGNF:CUR;07/09/2021;9737;9737;9698.09;9737
USDGNF:CUR;06/09/2021;9735;9737;9732.25;9737
USDGNF:CUR;03/09/2021;9737;9740;9735;9737
USDGNF:CUR;02/09/2021;9740;9740;9720.52;9737
USDGNF:CUR;01/09/2021;9740;9740;9707.55;9740
USDGNF:CUR;31/08/2021;9744;9744;9700;9740
USDGNF:CUR;30/08/2021;9750;9750;9705.06;9744
USDGNF:CUR;27/08/2021;9748;9750;9713.78;9750
USDGNF:CUR;26/08/2021;9742;9750;9728.5;9748
USDGNF:CUR;25/08/2021;9748;9750;9650;9742
USDGNF:CUR;24/08/2021;9757;9758;9700;9748
USDGNF:CUR;23/08/2021;9757;9758;9650;9757
USDGNF:CUR;20/08/2021;9758;9758;9650;9758
USDGNF:CUR;19/08/2021;9747;9758;9675;9758
USDGNF:CUR;18/08/2021;9741;9747;9650;9747
USDGNF:CUR;17/08/2021;9724;9741;9650;9741
USDGNF:CUR;16/08/2021;9722;9724;9650;9724
USDGNF:CUR;13/08/2021;9724;9724;9650;9724
USDGNF:CUR;12/08/2021;9714;9724;9685;9724
USDGNF:CUR;11/08/2021;9707;9714;9646.67;9714
USDGNF:CUR;10/08/2021;9710;9710;9650;9707
USDGNF:CUR;09/08/2021;9705;9731.75;9650;9710
USDGNF:CUR;06/08/2021;9709;9709;9650;9706
USDGNF:CUR;05/08/2021;9706;9709;9655;9709
USDGNF:CUR;04/08/2021;9704;9706;9650;9706
USDGNF:CUR;03/08/2021;9698;9704;9675;9704
USDGNF:CUR;02/08/2021;9700;9701;9675;9698
USDGNF:CUR;30/07/2021;9707;9707;9681.05;9701
USDGNF:CUR;29/07/2021;9711;9750;9680;9707
USDGNF:CUR;28/07/2021;9715;9715;9670;9711
USDGNF:CUR;27/07/2021;9722;9722;9675;9715
USDGNF:CUR;26/07/2021;9729;9755;9700;9722
USDGNF:CUR;23/07/2021;9731;9731;9700;9723
USDGNF:CUR;22/07/2021;9739;9748.46;9711.68;9730
USDGNF:CUR;21/07/2021;9743;9755;9700;9739
USDGNF:CUR;20/07/2021;9743;9755;9742;9743
USDGNF:CUR;19/07/2021;9748;9755;9700;9743
USDGNF:CUR;16/07/2021;9758;9758;9700;9748
USDGNF:CUR;15/07/2021;9758;9758;9700;9758
USDGNF:CUR;14/07/2021;9761;9761;9740;9758
USDGNF:CUR;13/07/2021;9768;9768;9750;9761
USDGNF:CUR;12/07/2021;9766;9768;9748.46;9768
USDGNF:CUR;09/07/2021;9767;9767;9727.98;9767
USDGNF:CUR;08/07/2021;9776;9776;9747.47;9767
USDGNF:CUR;07/07/2021;9775;9776;9750;9776
USDGNF:CUR;06/07/2021;9763;9775;9750;9775
USDGNF:CUR;05/07/2021;9762;9763;9743.47;9763
USDGNF:CUR;02/07/2021;9769;9769;9743.47;9763
USDGNF:CUR;01/07/2021;9769;9769;9749.46;9769
USDGNF:CUR;30/06/2021;9765;9769;9740;9769
USDGNF:CUR;29/06/2021;9771;9771;9740;9765
USDGNF:CUR;28/06/2021;9765;9779.25;9748;9771
USDGNF:CUR;25/06/2021;9777;9777;9740;9775
USDGNF:CUR;24/06/2021;9774;9777;9730;9777
USDGNF:CUR;23/06/2021;9770;9774;9715;9774
USDGNF:CUR;22/06/2021;9765;9771;9700;9771
USDGNF:CUR;21/06/2021;9765;9772.5;9700;9765
USDGNF:CUR;18/06/2021;9761;9765;9740;9765
USDGNF:CUR;17/06/2021;9763;9763;9680;9761
USDGNF:CUR;16/06/2021;9760;9763;9690;9763
USDGNF:CUR;15/06/2021;9756;9760;9670;9760
USDGNF:CUR;14/06/2021;9753;9756;9675;9756
USDGNF:CUR;11/06/2021;9761;9800;9670;9753
USDGNF:CUR;10/06/2021;9751;9800;9749;9761
USDGNF:CUR;09/06/2021;9750;9800;9650;9750
USDGNF:CUR;08/06/2021;9757;9760;9675;9750
USDGNF:CUR;07/06/2021;9751;9757;9727.5;9757
USDGNF:CUR;04/06/2021;9749;9751;9670;9751
