Symbol;Date;Open;High;Low;Close
USDLRD:CUR;10/05/2022;150;150;150;150
USDLRD:CUR;09/05/2022;150.5;150.5;150.5;150.5
USDLRD:CUR;06/05/2022;149.5;149.5;149.5;149.5
USDLRD:CUR;05/05/2022;150.5;150.5;149.5;149.5
USDLRD:CUR;04/05/2022;149;149;149;149
USDLRD:CUR;03/05/2022;149.5;149.5;149;149
USDLRD:CUR;02/05/2022;149.5;149.5;149.5;149.5
USDLRD:CUR;29/04/2022;150.5;150.5;150.5;150.5
USDLRD:CUR;28/04/2022;150.5;150.5;150.5;150.5
USDLRD:CUR;27/04/2022;150.5;150.5;150.5;150.5
USDLRD:CUR;26/04/2022;150.5;150.5;150.5;150.5
USDLRD:CUR;25/04/2022;150.3;150.3;150.3;150.3
USDLRD:CUR;22/04/2022;150.5;150.5;150.5;150.5
USDLRD:CUR;21/04/2022;151;151;151;151
USDLRD:CUR;20/04/2022;150.7;150.7;150.7;150.7
USDLRD:CUR;19/04/2022;151.1;151.1;151.1;151.1
USDLRD:CUR;18/04/2022;151;151;151;151
USDLRD:CUR;15/04/2022;151;151;151;151
USDLRD:CUR;14/04/2022;151.3;151.3;151.3;151.3
USDLRD:CUR;13/04/2022;151.3;151.3;151.3;151.3
USDLRD:CUR;12/04/2022;151.1;151.1;151.1;151.1
USDLRD:CUR;11/04/2022;151.3;151.3;151.3;151.3
USDLRD:CUR;08/04/2022;151.5;151.5;151.5;151.5
USDLRD:CUR;07/04/2022;151.5;151.5;151.5;151.5
USDLRD:CUR;06/04/2022;151.5;151.5;151.5;151.5
USDLRD:CUR;05/04/2022;151.5;151.5;151.5;151.5
USDLRD:CUR;04/04/2022;151.5;151.5;151.5;151.5
USDLRD:CUR;01/04/2022;151.5;151.5;151.5;151.5
USDLRD:CUR;31/03/2022;151.8;151.8;151.8;151.8
USDLRD:CUR;30/03/2022;152;152;152;152
USDLRD:CUR;29/03/2022;152;152;152;152
USDLRD:CUR;28/03/2022;152;152;152;152
USDLRD:CUR;25/03/2022;152;152;152;152
USDLRD:CUR;24/03/2022;152;152;152;152
USDLRD:CUR;23/03/2022;152.1;152.1;152.1;152.1
USDLRD:CUR;22/03/2022;152.1;152.1;152.1;152.1
USDLRD:CUR;21/03/2022;152;152;152;152
USDLRD:CUR;18/03/2022;152.4;152.4;152.4;152.4
USDLRD:CUR;17/03/2022;152.6;152.6;152.6;152.6
USDLRD:CUR;16/03/2022;152.6;152.6;152.6;152.6
USDLRD:CUR;15/03/2022;152.5;152.5;152.5;152.5
USDLRD:CUR;14/03/2022;152.8;152.8;152.8;152.8
USDLRD:CUR;11/03/2022;152.8;152.8;152.8;152.8
