Symbol;Date;Open;High;Low;Close
USDLSL:CUR;10/05/2022;16.155;16.255;16.0415;16.1091
USDLSL:CUR;09/05/2022;15.995;16.2575;15.995;16.1813
USDLSL:CUR;06/05/2022;15.966;16.1675;15.8886;15.975
USDLSL:CUR;05/05/2022;15.4475;16.0675;15.4191;15.9825
USDLSL:CUR;04/05/2022;15.79;15.8663;15.4025;15.44
USDLSL:CUR;03/05/2022;16.11;16.1388;15.7304;15.7516
USDLSL:CUR;02/05/2022;15.795;16.185;15.743;16.0975
USDLSL:CUR;29/04/2022;16.0238;16.0238;15.7088;15.77
USDLSL:CUR;28/04/2022;15.895;16.1225;15.8269;16.0225
USDLSL:CUR;27/04/2022;15.8425;15.98;15.7535;15.8975
USDLSL:CUR;26/04/2022;15.67;15.8575;15.6168;15.84
USDLSL:CUR;25/04/2022;15.5888;15.7863;15.57;15.6688
USDLSL:CUR;22/04/2022;15.4;15.6688;15.3463;15.5988
USDLSL:CUR;21/04/2022;15.0413;15.4138;15.0016;15.3541
USDLSL:CUR;20/04/2022;14.95;15.0875;14.9115;15.0225
USDLSL:CUR;19/04/2022;14.6375;14.9913;14.6272;14.9475
USDLSL:CUR;18/04/2022;14.645;14.7163;14.5787;14.6475
USDLSL:CUR;15/04/2022;14.6575;14.6775;14.5807;14.5923
USDLSL:CUR;14/04/2022;14.545;14.7363;14.4917;14.6588
USDLSL:CUR;13/04/2022;14.51;14.5813;14.4283;14.555
USDLSL:CUR;12/04/2022;14.5575;14.59;14.4415;14.5
USDLSL:CUR;11/04/2022;14.6547;14.6825;14.5366;14.5613
USDLSL:CUR;08/04/2022;14.7413;14.7625;14.6087;14.6325
USDLSL:CUR;07/04/2022;14.65;14.805;14.6322;14.735
USDLSL:CUR;06/04/2022;14.6475;14.7613;14.595;14.6488
USDLSL:CUR;05/04/2022;14.575;14.6838;14.5006;14.665
USDLSL:CUR;04/04/2022;14.665;14.665;14.5461;14.5738
USDLSL:CUR;01/04/2022;14.6125;14.6925;14.525;14.655
USDLSL:CUR;31/03/2022;14.4663;14.635;14.3933;14.6013
USDLSL:CUR;30/03/2022;14.5125;14.535;14.4161;14.4524
USDLSL:CUR;29/03/2022;14.695;14.7138;14.4805;14.53
USDLSL:CUR;28/03/2022;14.5275;14.7263;14.4891;14.6625
USDLSL:CUR;25/03/2022;14.5113;14.6088;14.4665;14.5313
USDLSL:CUR;24/03/2022;14.7488;14.7838;14.4933;14.5138
USDLSL:CUR;23/03/2022;14.8074;14.825;14.7217;14.7399
USDLSL:CUR;22/03/2022;14.9015;14.9863;14.7686;14.8238
USDLSL:CUR;21/03/2022;14.9475;15.0038;14.8602;14.899
USDLSL:CUR;18/03/2022;14.9125;15.0188;14.8822;14.9588
USDLSL:CUR;17/03/2022;14.897;14.9713;14.8354;14.9113
USDLSL:CUR;16/03/2022;15.0941;15.1288;14.8921;14.8948
USDLSL:CUR;15/03/2022;15.1163;15.1725;15.0453;15.1025
USDLSL:CUR;14/03/2022;15.03;15.1275;15.0038;15.1063
USDLSL:CUR;11/03/2022;15.04;15.11;14.9604;15.0213
USDLSL:CUR;10/03/2022;14.9925;15.1538;14.9783;15.0363
USDLSL:CUR;09/03/2022;15.2615;15.2953;14.9636;14.9888
USDLSL:CUR;08/03/2022;15.3328;15.3888;15.1931;15.2978
USDLSL:CUR;07/03/2022;15.36;15.4588;15.2425;15.3475
USDLSL:CUR;04/03/2022;15.1707;15.485;15.1707;15.3875
USDLSL:CUR;03/03/2022;15.3025;15.3775;15.1392;15.19
USDLSL:CUR;02/03/2022;15.425;15.5513;15.2697;15.3013
