Symbol;Date;Open;High;Low;Close
USDLYD:CUR;10/05/2022;4.7991;4.7991;4.7991;4.7991
USDLYD:CUR;09/05/2022;4.7785;4.7991;4.7785;4.7991
USDLYD:CUR;08/05/2022;4.7785;4.7785;4.7785;4.7785
USDLYD:CUR;07/05/2022;4.7785;4.7785;4.7785;4.7785
USDLYD:CUR;06/05/2022;4.7785;4.7785;4.7785;4.7785
USDLYD:CUR;05/05/2022;4.7785;4.7785;4.7785;4.7785
USDLYD:CUR;04/05/2022;4.7785;4.7785;4.778;4.7785
USDLYD:CUR;03/05/2022;4.7785;4.7785;4.7785;4.7785
USDLYD:CUR;02/05/2022;4.7785;4.7785;4.7785;4.7785
USDLYD:CUR;01/05/2022;4.7785;4.7785;4.7785;4.7785
USDLYD:CUR;30/04/2022;4.7785;4.7785;4.7785;4.7785
USDLYD:CUR;29/04/2022;4.7785;4.7785;4.778;4.7785
USDLYD:CUR;28/04/2022;4.7526;4.7785;4.7526;4.7785
USDLYD:CUR;27/04/2022;4.735;4.735;4.735;4.735
USDLYD:CUR;26/04/2022;4.7334;4.735;4.7334;4.735
USDLYD:CUR;25/04/2022;4.6987;4.7334;4.6987;4.7334
USDLYD:CUR;24/04/2022;4.6987;4.6987;4.6987;4.6987
USDLYD:CUR;23/04/2022;4.6987;4.6987;4.6987;4.6987
USDLYD:CUR;22/04/2022;4.6987;4.6987;4.6987;4.6987
USDLYD:CUR;21/04/2022;4.7035;4.7035;4.6987;4.6987
USDLYD:CUR;20/04/2022;4.7044;4.7044;4.7035;4.7035
USDLYD:CUR;19/04/2022;4.697;4.7044;4.697;4.7044
USDLYD:CUR;18/04/2022;4.6746;4.6746;4.6746;4.6746
USDLYD:CUR;17/04/2022;4.6746;4.6746;4.6746;4.6746
USDLYD:CUR;16/04/2022;4.6746;4.6746;4.6746;4.6746
USDLYD:CUR;15/04/2022;4.6746;4.6746;4.6746;4.6746
USDLYD:CUR;14/04/2022;4.6916;4.6916;4.6746;4.6746
USDLYD:CUR;13/04/2022;4.6864;4.6916;4.6864;4.6916
USDLYD:CUR;12/04/2022;4.6839;4.6864;4.6835;4.6864
USDLYD:CUR;11/04/2022;4.6693;4.6839;4.6693;4.6839
USDLYD:CUR;10/04/2022;4.6693;4.6693;4.6693;4.6693
USDLYD:CUR;09/04/2022;4.6693;4.6693;4.6693;4.6693
USDLYD:CUR;08/04/2022;4.6693;4.6693;4.6693;4.6693
USDLYD:CUR;07/04/2022;4.6781;4.6781;4.6693;4.6693
USDLYD:CUR;06/04/2022;4.6606;4.6781;4.6606;4.6781
USDLYD:CUR;05/04/2022;4.651;4.6606;4.651;4.6606
USDLYD:CUR;04/04/2022;4.631;4.651;4.631;4.651
USDLYD:CUR;03/04/2022;4.6311;4.6311;4.631;4.631
USDLYD:CUR;02/04/2022;4.631;4.6311;4.631;4.6311
