Symbol;Date;Open;High;Low;Close
USDMAD:CUR;10/05/2022;10.023;10.0512;10.008;10.0398
USDMAD:CUR;09/05/2022;10.003;10.0551;9.99;10.0245
USDMAD:CUR;06/05/2022;10.002;10.0295;9.9714;10.0042
USDMAD:CUR;05/05/2022;9.9392;10.0327;9.9269;10.0035
USDMAD:CUR;04/05/2022;9.999;10.007;9.9322;9.9385
USDMAD:CUR;03/05/2022;10.0075;10.015;9.9733;9.9995
USDMAD:CUR;02/05/2022;9.985;10.016;9.9755;10.0065
USDMAD:CUR;29/04/2022;10.012;10.0174;9.9519;9.9865
USDMAD:CUR;28/04/2022;9.9708;10.0257;9.9641;10.0132
USDMAD:CUR;27/04/2022;9.9365;9.9977;9.9255;9.972
USDMAD:CUR;26/04/2022;9.9284;9.9617;9.8904;9.938
USDMAD:CUR;25/04/2022;9.8401;9.9372;9.8354;9.9296
USDMAD:CUR;22/04/2022;9.7982;9.8607;9.7875;9.8413
USDMAD:CUR;21/04/2022;9.792;9.8075;9.7468;9.8016
USDMAD:CUR;20/04/2022;9.843;9.845;9.78;9.792
USDMAD:CUR;19/04/2022;9.8505;9.866;9.8161;9.8435
USDMAD:CUR;18/04/2022;9.818;9.861;9.8115;9.8517
USDMAD:CUR;15/04/2022;9.7858;9.8307;9.7837;9.8155
USDMAD:CUR;14/04/2022;9.78;9.843;9.7332;9.786
USDMAD:CUR;13/04/2022;9.8395;9.848;9.78;9.78
USDMAD:CUR;12/04/2022;9.7962;9.842;9.7794;9.841
USDMAD:CUR;11/04/2022;9.7596;9.8024;9.7263;9.7964
USDMAD:CUR;08/04/2022;9.7561;9.7842;9.7242;9.7611
USDMAD:CUR;07/04/2022;9.7142;9.7627;9.6944;9.7557
USDMAD:CUR;06/04/2022;9.6999;9.7482;9.6899;9.7149
USDMAD:CUR;05/04/2022;9.7408;9.7475;9.6883;9.7001
USDMAD:CUR;04/04/2022;9.7203;9.758;9.7156;9.742
