Symbol;Date;Open;High;Low;Close
USDMGA:CUR;10/05/2022;3987;3991.5;3987;3990
USDMGA:CUR;09/05/2022;3990.08;3995;3983.77;3987
USDMGA:CUR;06/05/2022;3985.5;3990.08;3963;3988
USDMGA:CUR;05/05/2022;3956;3996;3956;3990.08
USDMGA:CUR;04/05/2022;3985;3990.08;3956;3956
USDMGA:CUR;03/05/2022;3987;3990.08;3985;3985
USDMGA:CUR;02/05/2022;3987;3991.25;3975;3987
USDMGA:CUR;29/04/2022;3985;3991.25;3976.02;3987
USDMGA:CUR;28/04/2022;3985;3991.25;3978.08;3985
USDMGA:CUR;27/04/2022;3980;3990.9;3979.08;3985
USDMGA:CUR;26/04/2022;3980;3990.9;3979.08;3980
USDMGA:CUR;25/04/2022;3990.9;3995;3980;3980
USDMGA:CUR;22/04/2022;3985;3991.16;3980;3985
USDMGA:CUR;21/04/2022;3985;3991.16;3980;3985
USDMGA:CUR;20/04/2022;3985;3991.16;3981.01;3985
USDMGA:CUR;19/04/2022;3980;3991.16;3980;3985
USDMGA:CUR;18/04/2022;3980;3991.16;3975;3980
USDMGA:CUR;15/04/2022;3988;3991.16;3980;3980
USDMGA:CUR;14/04/2022;3980;3991.16;3980;3988
USDMGA:CUR;13/04/2022;3987.5;3991.16;3980;3980
USDMGA:CUR;12/04/2022;3985;3991.16;3975;3987.5
USDMGA:CUR;11/04/2022;3990;3991.16;3975;3985
USDMGA:CUR;08/04/2022;3988.5;3990;3970;3990
USDMGA:CUR;07/04/2022;3985;3989.58;3975;3988.5
USDMGA:CUR;06/04/2022;3985;3989.58;3960;3985
USDMGA:CUR;05/04/2022;3984;3988.76;3974.97;3985
USDMGA:CUR;04/04/2022;3974.97;3984;3960;3984
USDMGA:CUR;01/04/2022;3974;3984.57;3972.97;3980
USDMGA:CUR;31/03/2022;3970;3985.57;3965;3974
USDMGA:CUR;30/03/2022;3965;3985.57;3965;3970
