Symbol;Date;Open;High;Low;Close
USDMUR:CUR;10/05/2022;43.01;43.35;42.6;42.8
USDMUR:CUR;09/05/2022;43.65;43.65;42.6;42.6
USDMUR:CUR;06/05/2022;42.8;43.2;42.6;43.1
USDMUR:CUR;05/05/2022;42.85;43.65;42.5;42.85
USDMUR:CUR;04/05/2022;43;43.15;42.55;42.85
USDMUR:CUR;03/05/2022;42.55;42.55;42.55;42.55
USDMUR:CUR;02/05/2022;43.65;43.65;42.55;42.55
USDMUR:CUR;29/04/2022;42.8;43.15;42.8;43.15
USDMUR:CUR;28/04/2022;42.8;43.15;42.74;42.9
USDMUR:CUR;27/04/2022;42.75;43.05;42.45;42.45
USDMUR:CUR;26/04/2022;42.76;43.05;42.45;43.05
USDMUR:CUR;25/04/2022;42.75;43.65;42.75;42.75
USDMUR:CUR;22/04/2022;42.91;43.4;42.65;42.75
USDMUR:CUR;21/04/2022;42.94;43.2;42.65;42.9
USDMUR:CUR;20/04/2022;42.91;43.2;42.6;42.85
USDMUR:CUR;19/04/2022;42.85;43.2;42.65;42.9
USDMUR:CUR;18/04/2022;42.8;43.65;42;42.9
USDMUR:CUR;15/04/2022;42.81;43.2;42.55;42.9
USDMUR:CUR;14/04/2022;42.81;43.25;42.45;42.75
USDMUR:CUR;13/04/2022;43.45;43.7;42.8;42.8
USDMUR:CUR;12/04/2022;43.3;43.4;43;43.1
USDMUR:CUR;11/04/2022;43;43.66;43;43.3
USDMUR:CUR;08/04/2022;44.85;45.15;43;43
USDMUR:CUR;07/04/2022;44.51;45.15;44;44.7
USDMUR:CUR;06/04/2022;44.51;45.15;44.1;44.7
USDMUR:CUR;05/04/2022;44.4;45.15;44.1;44.8
USDMUR:CUR;04/04/2022;44.5;45.15;43.65;44.55
USDMUR:CUR;01/04/2022;44.3;45.2;43.8;44.5
USDMUR:CUR;31/03/2022;44.51;45.3;43.8;45.2
USDMUR:CUR;30/03/2022;44.51;45.2;43.8;44.2
USDMUR:CUR;29/03/2022;44.5;44.8;43.75;44.5
USDMUR:CUR;28/03/2022;44.3;45.2;43.65;44.8
USDMUR:CUR;25/03/2022;43.5;45.2;43.5;44.3
USDMUR:CUR;24/03/2022;44.21;44.57;43.45;44.3
USDMUR:CUR;23/03/2022;44.5;45.25;43.45;44.3
USDMUR:CUR;22/03/2022;44.31;44.85;43.5;44.5
USDMUR:CUR;21/03/2022;44.3;44.8;43.49;44.15
USDMUR:CUR;18/03/2022;43.45;44.8;43.2;44.15
USDMUR:CUR;17/03/2022;43.95;44.8;43;44.2
USDMUR:CUR;16/03/2022;43.9;44.8;43.3;44.2
USDMUR:CUR;15/03/2022;43.6;44.8;43.25;44.2
USDMUR:CUR;14/03/2022;43.8;44.5;42.9;44.25
USDMUR:CUR;11/03/2022;44.4;44.45;42.9;44.35
USDMUR:CUR;10/03/2022;43.7;44.5;42.8;44.15
USDMUR:CUR;09/03/2022;43.5;44.25;42.8;44
USDMUR:CUR;08/03/2022;43.11;44.2;42.8;43.6
USDMUR:CUR;07/03/2022;44.05;44.6;43.1;43.1
USDMUR:CUR;04/03/2022;44.05;44.4;43.65;44.1
USDMUR:CUR;03/03/2022;43.85;44.55;43.65;44.15
USDMUR:CUR;02/03/2022;43.62;44.45;43.5;44.15
USDMUR:CUR;01/03/2022;43.35;43.35;43.35;43.35
USDMUR:CUR;28/02/2022;43.75;44.25;43.35;43.35
USDMUR:CUR;25/02/2022;43.15;44.05;43;43.85
USDMUR:CUR;24/02/2022;43.3;44.05;43.1;43.95
USDMUR:CUR;23/02/2022;43.24;44.05;43.1;43.85
USDMUR:CUR;22/02/2022;43.61;44;42.8;43.7
USDMUR:CUR;21/02/2022;43.15;44;42.8;43.6
USDMUR:CUR;18/02/2022;43.01;44.05;43;43.7
USDMUR:CUR;17/02/2022;43.35;44.05;43;43
USDMUR:CUR;16/02/2022;43.6;44.05;43;43.75
USDMUR:CUR;15/02/2022;43.28;44;42.95;43.25
USDMUR:CUR;14/02/2022;43.26;43.95;43;43.25
USDMUR:CUR;11/02/2022;43.7;43.91;43;43.6
USDMUR:CUR;10/02/2022;43.66;44;42.9;43.55
USDMUR:CUR;09/02/2022;43.45;44;42.9;43.55
USDMUR:CUR;08/02/2022;43.16;44;43.05;43.7
USDMUR:CUR;07/02/2022;43.65;44;42.8;43.7
USDMUR:CUR;04/02/2022;43.65;44;42.6;43.4
USDMUR:CUR;03/02/2022;43;44;42.82;43.5
USDMUR:CUR;02/02/2022;43.85;43.85;43.85;43.85
USDMUR:CUR;01/02/2022;43.55;43.55;43.55;43.55
USDMUR:CUR;31/01/2022;43;43.9;43;43.55
USDMUR:CUR;28/01/2022;43.7;44.05;43;43
USDMUR:CUR;27/01/2022;43.66;44.05;43.25;43.7
USDMUR:CUR;26/01/2022;43.66;43.85;43.1;43.85
USDMUR:CUR;25/01/2022;43.4;44.05;42.9;43.75
USDMUR:CUR;24/01/2022;43;44.05;43;43.55
USDMUR:CUR;21/01/2022;43.4;44.15;43.1;43.55
USDMUR:CUR;20/01/2022;43.4;44.05;43.1;43.9
USDMUR:CUR;19/01/2022;43;44.05;42.8;43.65
USDMUR:CUR;18/01/2022;43.7;43.7;43.7;43.7
USDMUR:CUR;17/01/2022;43;44.05;43;43.7
USDMUR:CUR;14/01/2022;43.02;44.05;43;43.65
USDMUR:CUR;13/01/2022;43.75;44.05;42.95;43.65
USDMUR:CUR;12/01/2022;43.65;44.05;42.95;43.75
USDMUR:CUR;11/01/2022;42.95;44;42.95;43.7
USDMUR:CUR;10/01/2022;42.6;44.05;42.6;43.75
USDMUR:CUR;07/01/2022;43.54;44.05;42.95;43.55
USDMUR:CUR;06/01/2022;42.95;44.05;42.95;43.55
USDMUR:CUR;05/01/2022;42.96;43.95;42.94;42.95
USDMUR:CUR;04/01/2022;42.95;43.75;42.95;42.95
USDMUR:CUR;03/01/2022;43.45;43.45;43.45;43.45
USDMUR:CUR;31/12/2021;43.2;44.05;42.7;43.45
USDMUR:CUR;30/12/2021;42.95;44.05;42.95;43.75
USDMUR:CUR;29/12/2021;43.1;44.05;42.95;43.45
USDMUR:CUR;28/12/2021;43.1;44.05;42.95;43.55
USDMUR:CUR;27/12/2021;42.95;44.05;42.9;43.95
USDMUR:CUR;24/12/2021;43.3;44.05;42.8;43.55
USDMUR:CUR;23/12/2021;43.3;44.05;42.8;43.75
USDMUR:CUR;22/12/2021;43.1;44.05;43.1;43.7
USDMUR:CUR;21/12/2021;42.95;43.75;42.95;43.75
USDMUR:CUR;20/12/2021;43;44.05;43;43.55
USDMUR:CUR;17/12/2021;43.1;44;42.95;43.7
USDMUR:CUR;16/12/2021;43.05;43.71;42.95;42.95
USDMUR:CUR;15/12/2021;42.95;44;42.95;43.1
USDMUR:CUR;14/12/2021;42.9;44;42.9;43.5
USDMUR:CUR;13/12/2021;42.9;43.7;42.9;43.5
USDMUR:CUR;10/12/2021;42.9;43.65;42.65;43.5
USDMUR:CUR;09/12/2021;42.95;44;42.6;43.5
USDMUR:CUR;08/12/2021;42.92;44;42.6;43.5
USDMUR:CUR;07/12/2021;42.8;43.85;42.57;42.82
USDMUR:CUR;06/12/2021;42.9;43.65;42.65;42.82
USDMUR:CUR;03/12/2021;43;43.65;42.65;42.85
USDMUR:CUR;02/12/2021;42.6;43.65;42.57;42.82
USDMUR:CUR;01/12/2021;42.95;43.65;42.57;43.55
USDMUR:CUR;30/11/2021;42.82;43.65;42.57;43.35
USDMUR:CUR;29/11/2021;42.82;43.95;42.81;43.95
USDMUR:CUR;26/11/2021;42.95;43.65;42.82;42.82
USDMUR:CUR;25/11/2021;42.6;43.85;42.6;43.85
USDMUR:CUR;24/11/2021;43;43.8;42.9;43.8
