Symbol;Date;Open;High;Low;Close
USDNGN:CUR;10/05/2022;414.8;414.8;414.8;414.8
USDNGN:CUR;09/05/2022;414.69;415;414.6;414.8
USDNGN:CUR;06/05/2022;414.62;414.69;414.62;414.69
USDNGN:CUR;05/05/2022;414.69;414.69;414.62;414.62
USDNGN:CUR;04/05/2022;414.69;415;414.65;414.69
USDNGN:CUR;03/05/2022;414.69;414.69;414.68;414.69
USDNGN:CUR;02/05/2022;414.76;414.77;414.69;414.69
USDNGN:CUR;29/04/2022;414.83;414.83;414.76;414.76
USDNGN:CUR;28/04/2022;414.92;414.92;414.83;414.83
USDNGN:CUR;27/04/2022;414.98;414.98;414.92;414.92
USDNGN:CUR;26/04/2022;414.08;414.98;414.07;414.98
USDNGN:CUR;25/04/2022;415.08;415.08;414.08;414.08
USDNGN:CUR;22/04/2022;415.08;415.08;415.05;415.08
USDNGN:CUR;21/04/2022;415;415.08;415;415.08
USDNGN:CUR;20/04/2022;414;415;414;415
USDNGN:CUR;19/04/2022;414;414.02;414;414
USDNGN:CUR;18/04/2022;414.02;414.05;414;414
USDNGN:CUR;15/04/2022;414.03;414.03;414.02;414.02
USDNGN:CUR;14/04/2022;414.08;414.1;414.03;414.03
USDNGN:CUR;13/04/2022;414.09;414.1;414.08;414.08
USDNGN:CUR;12/04/2022;415.12;415.13;414.09;414.09
USDNGN:CUR;11/04/2022;415.15;415.15;415.12;415.12
USDNGN:CUR;08/04/2022;415.15;415.15;415;415.15
USDNGN:CUR;07/04/2022;415.22;415.25;415.15;415.15
USDNGN:CUR;06/04/2022;415.22;415.22;415.2;415.22
USDNGN:CUR;05/04/2022;415.22;415.23;415.22;415.22
USDNGN:CUR;04/04/2022;415.22;415.25;415;415.22
USDNGN:CUR;01/04/2022;415.25;415.25;415.22;415.22
USDNGN:CUR;31/03/2022;415.25;415.25;415.22;415.25
USDNGN:CUR;30/03/2022;415.25;415.25;415.25;415.25
USDNGN:CUR;29/03/2022;415.23;415.25;415.22;415.25
USDNGN:CUR;28/03/2022;415.25;415.25;415;415.23
USDNGN:CUR;25/03/2022;415.25;415.25;415;415.25
USDNGN:CUR;24/03/2022;415.25;415.25;410.5;415.25
USDNGN:CUR;23/03/2022;415.32;415.32;415.25;415.25
USDNGN:CUR;22/03/2022;415.39;415.39;415.32;415.32
USDNGN:CUR;21/03/2022;415.42;415.42;415;415.39
USDNGN:CUR;18/03/2022;415.42;415.45;415;415.42
USDNGN:CUR;17/03/2022;415.42;415.42;415.4;415.42
USDNGN:CUR;16/03/2022;415.45;415.45;415;415.42
USDNGN:CUR;15/03/2022;415.3;415.45;415.3;415.45
USDNGN:CUR;14/03/2022;415.34;415.35;415;415.3
USDNGN:CUR;11/03/2022;415.34;415.34;415.3;415.34
USDNGN:CUR;10/03/2022;415.34;415.35;415.34;415.34
USDNGN:CUR;09/03/2022;415.34;415.34;415.3;415.34
USDNGN:CUR;08/03/2022;415.27;415.34;415.25;415.34
USDNGN:CUR;07/03/2022;415.41;415.41;415;415.27
USDNGN:CUR;04/03/2022;415.46;415.46;415.41;415.41
USDNGN:CUR;03/03/2022;415.59;415.59;415.46;415.46
USDNGN:CUR;02/03/2022;415.59;415.59;415.59;415.59
USDNGN:CUR;01/03/2022;415.52;415.59;415;415.59
USDNGN:CUR;28/02/2022;415.39;415.52;415;415.52
USDNGN:CUR;25/02/2022;415.39;415.39;415.39;415.39
USDNGN:CUR;24/02/2022;415.39;415.39;415.39;415.39
USDNGN:CUR;23/02/2022;415.39;415.39;415.39;415.39
USDNGN:CUR;22/02/2022;415.37;415.39;415.37;415.39
USDNGN:CUR;21/02/2022;415.37;415.37;415.37;415.37
USDNGN:CUR;18/02/2022;415.37;415.4;415.37;415.37
USDNGN:CUR;17/02/2022;415.31;415.37;415.3;415.37
USDNGN:CUR;16/02/2022;415.31;415.31;415.3;415.31
USDNGN:CUR;15/02/2022;415.91;415.95;415.31;415.31
USDNGN:CUR;14/02/2022;416.51;416.55;415;415.91
USDNGN:CUR;11/02/2022;416.37;416.51;416.37;416.51
USDNGN:CUR;10/02/2022;416.25;416.37;416.25;416.37
USDNGN:CUR;09/02/2022;416.05;416.25;416.05;416.25
USDNGN:CUR;08/02/2022;415.88;416.05;415;416.05
USDNGN:CUR;07/02/2022;415.7;415.88;415;415.88
USDNGN:CUR;04/02/2022;415.54;415.7;415.52;415.7
USDNGN:CUR;03/02/2022;415.33;415.54;415.3;415.54
USDNGN:CUR;02/02/2022;414.26;415.36;414.26;415.33
USDNGN:CUR;01/02/2022;415.33;415.33;414.26;414.26
USDNGN:CUR;31/01/2022;415.16;415.33;415;415.33
USDNGN:CUR;28/01/2022;414.99;415.16;414.99;415.16
USDNGN:CUR;27/01/2022;414.82;414.99;414.82;414.99
USDNGN:CUR;26/01/2022;414.62;414.82;414.62;414.82
USDNGN:CUR;25/01/2022;414.53;414.64;414.53;414.62
USDNGN:CUR;24/01/2022;414.45;415;414.45;414.53
USDNGN:CUR;21/01/2022;414.45;414.5;414.45;414.45
USDNGN:CUR;20/01/2022;414.17;414.45;414.17;414.45
USDNGN:CUR;19/01/2022;414;414.17;414;414.17
USDNGN:CUR;18/01/2022;413.79;414;413.79;414
USDNGN:CUR;17/01/2022;413.79;415;413.79;413.79
USDNGN:CUR;14/01/2022;413.6;413.79;413.6;413.79
USDNGN:CUR;13/01/2022;413.44;413.61;413.44;413.6
USDNGN:CUR;12/01/2022;413.1;414;413.1;413.44
USDNGN:CUR;11/01/2022;413.14;413.14;413.1;413.1
USDNGN:CUR;10/01/2022;412.96;414.04;412.96;413.14
USDNGN:CUR;07/01/2022;412.79;412.96;412.79;412.96
USDNGN:CUR;06/01/2022;412.55;412.79;412.55;412.79
USDNGN:CUR;05/01/2022;412.49;412.67;412.49;412.55
USDNGN:CUR;04/01/2022;412.49;413;412.49;412.49
USDNGN:CUR;03/01/2022;411.7;412.49;411.68;412.49
USDNGN:CUR;31/12/2021;411;411.7;411;411.7
USDNGN:CUR;30/12/2021;410.95;413;410.95;411
USDNGN:CUR;29/12/2021;410.95;413;410.94;410.95
USDNGN:CUR;28/12/2021;410.95;410.95;410.9;410.95
USDNGN:CUR;27/12/2021;410.93;410.95;410.92;410.95
USDNGN:CUR;24/12/2021;410.93;410.93;410.93;410.93
USDNGN:CUR;23/12/2021;410.92;410.93;410.9;410.93
USDNGN:CUR;22/12/2021;410.91;410.92;410.9;410.92
USDNGN:CUR;21/12/2021;409.91;410.91;409.91;410.91
USDNGN:CUR;20/12/2021;409.91;413;409.91;409.91
USDNGN:CUR;17/12/2021;409.83;409.91;409.82;409.91
USDNGN:CUR;16/12/2021;409.73;409.83;409.72;409.83
USDNGN:CUR;15/12/2021;409.72;413;409.7;409.73
USDNGN:CUR;14/12/2021;409.95;413;409.72;409.72
USDNGN:CUR;13/12/2021;409.72;413;409.72;409.95
USDNGN:CUR;10/12/2021;409.75;409.75;409.72;409.72
USDNGN:CUR;09/12/2021;409.74;409.75;409.74;409.74
USDNGN:CUR;08/12/2021;409.74;409.74;409.72;409.74
USDNGN:CUR;07/12/2021;409.74;409.74;409.74;409.74
USDNGN:CUR;06/12/2021;409.73;413;409.73;409.74
USDNGN:CUR;03/12/2021;409.7;409.73;409.7;409.73
USDNGN:CUR;02/12/2021;409.66;409.72;409.66;409.7
USDNGN:CUR;01/12/2021;409.64;409.66;409.64;409.66
USDNGN:CUR;30/11/2021;409.64;409.65;409.64;409.64
USDNGN:CUR;29/11/2021;409.64;413;409.64;409.64
USDNGN:CUR;26/11/2021;409.65;409.65;409.64;409.64
USDNGN:CUR;25/11/2021;409.63;409.63;409.63;409.63
USDNGN:CUR;24/11/2021;409.63;409.63;409.6;409.63
USDNGN:CUR;23/11/2021;410.59;410.59;409.63;409.63
USDNGN:CUR;22/11/2021;410.59;413;410.59;410.59
USDNGN:CUR;19/11/2021;410.57;410.6;410.57;410.59
USDNGN:CUR;18/11/2021;410.43;410.57;410.43;410.57
USDNGN:CUR;17/11/2021;410.43;410.43;410.4;410.43
USDNGN:CUR;16/11/2021;410.42;410.43;410.4;410.43
USDNGN:CUR;15/11/2021;410.39;413;410.39;410.42
USDNGN:CUR;12/11/2021;410.37;410.39;410.35;410.39
USDNGN:CUR;11/11/2021;410.34;410.37;410.33;410.37
USDNGN:CUR;10/11/2021;410.32;410.34;410.3;410.34
USDNGN:CUR;09/11/2021;410.29;410.32;410.25;410.32
USDNGN:CUR;08/11/2021;410.27;413;409;410.29
USDNGN:CUR;05/11/2021;410.24;410.27;410.22;410.27
USDNGN:CUR;04/11/2021;410.21;413.58;410.2;410.24
USDNGN:CUR;03/11/2021;410.17;413.98;410.15;410.21
USDNGN:CUR;02/11/2021;410.05;410.17;410.05;410.17
USDNGN:CUR;01/11/2021;410.06;413;409;410.05
USDNGN:CUR;29/10/2021;410;410.06;410;410.06
USDNGN:CUR;28/10/2021;410.02;410.02;410;410
USDNGN:CUR;27/10/2021;409.99;410.02;409.98;410.02
USDNGN:CUR;26/10/2021;409.96;409.99;409.95;409.99
USDNGN:CUR;25/10/2021;409.9;413;409.9;409.96
USDNGN:CUR;22/10/2021;409.88;409.91;409.88;409.91
USDNGN:CUR;21/10/2021;409.82;409.88;409.8;409.88
USDNGN:CUR;20/10/2021;409.89;409.89;409.82;409.82
USDNGN:CUR;19/10/2021;409.91;409.95;409.89;409.89
USDNGN:CUR;18/10/2021;409.91;413;409.9;409.91
USDNGN:CUR;15/10/2021;409.85;409.91;409.82;409.91
USDNGN:CUR;14/10/2021;409.82;409.85;409.8;409.85
USDNGN:CUR;13/10/2021;409.87;412.5;409.8;409.82
USDNGN:CUR;12/10/2021;409.77;412.77;409.75;409.87
USDNGN:CUR;11/10/2021;409.81;413;409.77;409.77
USDNGN:CUR;08/10/2021;409.81;409.81;409.8;409.81
USDNGN:CUR;07/10/2021;409.82;412;409.78;409.81
USDNGN:CUR;06/10/2021;409.8;409.82;409.8;409.82
USDNGN:CUR;05/10/2021;409.8;409.8;409.8;409.8
USDNGN:CUR;04/10/2021;409.77;413;409.77;409.8
USDNGN:CUR;01/10/2021;409.8;409.8;409.77;409.77
USDNGN:CUR;30/09/2021;408.76;409.8;408.76;409.8
USDNGN:CUR;29/09/2021;408.76;413;408.76;408.76
USDNGN:CUR;28/09/2021;411;411;408.75;408.76
USDNGN:CUR;27/09/2021;411;413;411;411
USDNGN:CUR;24/09/2021;411;411.93;411;411
USDNGN:CUR;23/09/2021;411;411.5;411;411
USDNGN:CUR;22/09/2021;411;412;411;411
USDNGN:CUR;21/09/2021;411;411;410.5;411
USDNGN:CUR;20/09/2021;411;411.5;411;411
USDNGN:CUR;17/09/2021;411;411;411;411
USDNGN:CUR;16/09/2021;411;411.5;411;411
USDNGN:CUR;15/09/2021;411;411;411;411
USDNGN:CUR;14/09/2021;411;411;409;411
USDNGN:CUR;13/09/2021;410.93;411.5;410.93;411
USDNGN:CUR;10/09/2021;410.9;411.5;410.9;410.93
USDNGN:CUR;09/09/2021;410.8;411;410.5;410.9
USDNGN:CUR;08/09/2021;411;411;410.5;410.8
USDNGN:CUR;07/09/2021;411.02;411.02;410;411
USDNGN:CUR;06/09/2021;411.02;411.02;411;411.02
USDNGN:CUR;03/09/2021;411;411.02;410.5;411.02
USDNGN:CUR;02/09/2021;411;411.5;410.25;411
USDNGN:CUR;01/09/2021;411;411.5;411;411
USDNGN:CUR;31/08/2021;411;411.5;409;411
USDNGN:CUR;30/08/2021;411;411.5;411;411
USDNGN:CUR;27/08/2021;411;411;410;411
USDNGN:CUR;26/08/2021;411.05;411.05;411;411
