Symbol;Date;Open;High;Low;Close
USDSLL:CUR;10/05/2022;12579;12579;12579;12579
USDSLL:CUR;09/05/2022;12579;12675;12566.4;12675
USDSLL:CUR;06/05/2022;12470;12579;12457.5;12566.4
USDSLL:CUR;05/05/2022;12575;12575;12470;12470
USDSLL:CUR;04/05/2022;12470;12470;12470;12470
USDSLL:CUR;03/05/2022;12470;12580;12470;12580
USDSLL:CUR;02/05/2022;12470;12570;12457.5;12470
USDSLL:CUR;29/04/2022;12470;12560;12300.7;12470
USDSLL:CUR;28/04/2022;12313;12575;12313;12470
USDSLL:CUR;27/04/2022;12313;12313;12313;12313
USDSLL:CUR;26/04/2022;12313.1;12375;12313;12313
USDSLL:CUR;25/04/2022;12235;12400;12235;12313.1
USDSLL:CUR;22/04/2022;12237.3;12400;12235;12313.1
USDSLL:CUR;21/04/2022;12237.3;12410;12235;12237.3
USDSLL:CUR;20/04/2022;12237.3;12325;12235;12237.3
USDSLL:CUR;19/04/2022;12235;12237.3;12235;12237.3
USDSLL:CUR;18/04/2022;12237;12320;12222.8;12222.8
USDSLL:CUR;15/04/2022;12237;12320;12237;12320
USDSLL:CUR;14/04/2022;12026;12300;12026;12224.8
USDSLL:CUR;13/04/2022;12026;12115;12026;12026
USDSLL:CUR;12/04/2022;12026;12125;12014;12026
USDSLL:CUR;11/04/2022;12026;12100;12014;12026
USDSLL:CUR;08/04/2022;11770.3;12120;11770.3;12026
USDSLL:CUR;07/04/2022;11770.3;12100;11760.3;11770.3
USDSLL:CUR;06/04/2022;11770.3;11840;11758.5;11770.3
USDSLL:CUR;05/04/2022;11770.3;11840;11758.5;11770.3
USDSLL:CUR;04/04/2022;11770;11845;11758.5;11770.3
USDSLL:CUR;01/04/2022;11741.3;11770.3;11729.6;11770.3
USDSLL:CUR;31/03/2022;11741.3;11830;11741;11741.3
USDSLL:CUR;30/03/2022;11741.3;11741.3;11741;11741.3
USDSLL:CUR;29/03/2022;11741.3;11820;11741;11741.3
USDSLL:CUR;28/03/2022;11714;11800;11714;11741.3
USDSLL:CUR;25/03/2022;11619.1;11800;11607.5;11741.3
USDSLL:CUR;24/03/2022;11619.1;11810;11607.5;11619.1
USDSLL:CUR;23/03/2022;11619.1;11680;11615;11619.1
USDSLL:CUR;22/03/2022;11619.1;11680;11615;11619.1
USDSLL:CUR;21/03/2022;11619;11685;11619;11619.1
USDSLL:CUR;18/03/2022;11596.1;11675;11596.1;11619.1
USDSLL:CUR;17/03/2022;11596.1;11619;11584.5;11596.1
USDSLL:CUR;16/03/2022;11596.1;11675;11590;11596.1
USDSLL:CUR;15/03/2022;11596.1;11670;11584.5;11596.1
USDSLL:CUR;14/03/2022;11596;11675;11584.5;11596.1
USDSLL:CUR;11/03/2022;11517.7;11670;11517.7;11596.1
USDSLL:CUR;10/03/2022;11517.7;11685;11511;11517.7
USDSLL:CUR;09/03/2022;11517.7;11538.8;11506.2;11517.7
USDSLL:CUR;08/03/2022;11517.7;11600;11506.2;11517.7
USDSLL:CUR;07/03/2022;11516;11600;11515;11517.7
USDSLL:CUR;04/03/2022;11580;11800;11516;11517.7
USDSLL:CUR;03/03/2022;11580;11605;11518;11580
USDSLL:CUR;02/03/2022;11579.95;11800;11573;11580
USDSLL:CUR;01/03/2022;11579.95;11800;11574.8;11579.95
USDSLL:CUR;28/02/2022;11578;11800;11568.4;11579.95
USDSLL:CUR;25/02/2022;11446.1;11655;11446.1;11579.95
USDSLL:CUR;24/02/2022;11446.1;11650;11446;11446.1
USDSLL:CUR;23/02/2022;11446.1;11525;11446;11446.1
USDSLL:CUR;22/02/2022;11446.1;11461;11445;11446.1
USDSLL:CUR;21/02/2022;11461;11467.9;11446.1;11446.1
USDSLL:CUR;18/02/2022;11467.9;11467.9;11456.4;11467.9
USDSLL:CUR;17/02/2022;11467.9;11520;11456.4;11467.9
USDSLL:CUR;16/02/2022;11467.9;11468;11467.9;11467.9
USDSLL:CUR;15/02/2022;11467.9;11468;11456.4;11467.9
USDSLL:CUR;14/02/2022;11468;11650;11303.6;11467.9
USDSLL:CUR;11/02/2022;11303.6;11475;11303.6;11467.9
USDSLL:CUR;10/02/2022;11303.6;11650;11303.6;11303.6
USDSLL:CUR;09/02/2022;11303.6;11385;11292.3;11303.6
USDSLL:CUR;08/02/2022;11303.6;11380;11301;11303.6
USDSLL:CUR;07/02/2022;11301;11320;11281;11303.6
USDSLL:CUR;04/02/2022;11349.9;11400;11292.3;11303.6
USDSLL:CUR;03/02/2022;11349.9;11405;11304;11349.9
USDSLL:CUR;02/02/2022;11349.9;11425;11338.6;11349.9
USDSLL:CUR;01/02/2022;11349.9;11405;11345;11349.9
USDSLL:CUR;31/01/2022;11347;11400;11338.6;11349.9
USDSLL:CUR;28/01/2022;11350;11420;11338.7;11347
USDSLL:CUR;27/01/2022;11209;11415;11197.8;11350
USDSLL:CUR;26/01/2022;11209;11300;11197;11209
USDSLL:CUR;25/01/2022;11209;11295;11197.8;11209
USDSLL:CUR;24/01/2022;11205;11300;11197.8;11209
