Symbol;Date;Open;High;Low;Close
USDSSP:CUR;10/05/2022;425.0699;425.0699;425.0699;425.0699
USDSSP:CUR;09/05/2022;424.672;425.0699;415;425.0699
USDSSP:CUR;08/05/2022;424.672;424.672;424.672;424.672
USDSSP:CUR;07/05/2022;424.672;424.672;424.672;424.672
USDSSP:CUR;06/05/2022;424.173;424.672;415;424.672
USDSSP:CUR;05/05/2022;424.7282;424.7282;415;424.173
USDSSP:CUR;04/05/2022;424.7282;424.7282;415;424.7282
USDSSP:CUR;03/05/2022;424.728;424.7282;424.728;424.7282
USDSSP:CUR;02/05/2022;424.7282;424.7282;424.728;424.728
USDSSP:CUR;01/05/2022;424.7282;424.7282;424.7282;424.7282
USDSSP:CUR;30/04/2022;424.7282;424.7282;424.7282;424.7282
USDSSP:CUR;29/04/2022;423.4402;424.7282;423.4402;424.7282
USDSSP:CUR;28/04/2022;423.6111;423.6111;415;423.4402
USDSSP:CUR;27/04/2022;421.9548;423.6111;415;423.6111
USDSSP:CUR;26/04/2022;420.04;421.9548;415;421.9548
USDSSP:CUR;25/04/2022;420.2089;420.2089;415;420.04
USDSSP:CUR;24/04/2022;420.2089;420.2089;420.2089;420.2089
USDSSP:CUR;23/04/2022;420.2089;420.2089;420.2089;420.2089
USDSSP:CUR;22/04/2022;419.5637;420.2089;415;420.2089
USDSSP:CUR;21/04/2022;419.4317;419.5637;415;419.5637
USDSSP:CUR;20/04/2022;419.062;419.4317;415;419.4317
USDSSP:CUR;19/04/2022;419.062;419.062;419.062;419.062
USDSSP:CUR;18/04/2022;419.062;419.062;419.062;419.062
USDSSP:CUR;17/04/2022;419.062;419.062;419.062;419.062
USDSSP:CUR;16/04/2022;419.062;419.062;419.062;419.062
USDSSP:CUR;15/04/2022;419.062;419.062;419.062;419.062
USDSSP:CUR;14/04/2022;419.7601;419.7601;415;419.062
USDSSP:CUR;13/04/2022;419.6041;419.7601;418;419.7601
USDSSP:CUR;12/04/2022;419.5829;419.6041;418;419.6041
USDSSP:CUR;11/04/2022;419.9145;419.9145;418;419.5829
USDSSP:CUR;10/04/2022;419.9145;419.9145;419.9145;419.9145
USDSSP:CUR;09/04/2022;419.9145;419.9145;419.9145;419.9145
USDSSP:CUR;08/04/2022;421.4126;421.4126;421.4126;421.4126
USDSSP:CUR;07/04/2022;421.4126;421.4126;418;421.4126
USDSSP:CUR;06/04/2022;421.6089;421.6089;418;421.4126
USDSSP:CUR;05/04/2022;422.0646;422.0646;418;421.6089
USDSSP:CUR;04/04/2022;422.7325;422.7325;418;422.0646
USDSSP:CUR;03/04/2022;422.7325;422.7325;422.7325;422.7325
USDSSP:CUR;02/04/2022;422.7325;422.7325;422.7325;422.7325
USDSSP:CUR;01/04/2022;422.905;422.905;422.905;422.905
USDSSP:CUR;31/03/2022;423.321;423.321;420;422.905
USDSSP:CUR;30/03/2022;422.981;423.321;420;423.321
USDSSP:CUR;29/03/2022;422.5639;422.981;420;422.981
USDSSP:CUR;28/03/2022;422.5639;422.5639;420;422.5639
USDSSP:CUR;27/03/2022;422.5639;422.5639;422.5639;422.5639
USDSSP:CUR;26/03/2022;422.5639;422.5639;422.5639;422.5639
USDSSP:CUR;25/03/2022;423.6527;423.6527;420;422.5639
USDSSP:CUR;24/03/2022;423.6527;423.6527;420;423.6527
USDSSP:CUR;23/03/2022;423.2672;423.6527;420;423.6527
USDSSP:CUR;22/03/2022;424.0505;424.0505;420;423.2672
USDSSP:CUR;21/03/2022;424.2726;424.2726;420;424.0505
USDSSP:CUR;20/03/2022;424.2726;424.2726;424.2726;424.2726
USDSSP:CUR;19/03/2022;424.2726;424.2726;424.2726;424.2726
USDSSP:CUR;18/03/2022;424.2726;424.2726;418;424.2726
USDSSP:CUR;17/03/2022;423.258;424.2726;420;424.2726
USDSSP:CUR;16/03/2022;423.258;423.258;420;423.258
USDSSP:CUR;15/03/2022;423.6876;423.6876;420;423.258
USDSSP:CUR;14/03/2022;424.4368;424.4368;420;423.6876
USDSSP:CUR;13/03/2022;424.4368;424.4368;424.4368;424.4368
USDSSP:CUR;12/03/2022;424.4368;424.4368;424.4368;424.4368
USDSSP:CUR;11/03/2022;424.4368;424.4368;420;424.4368
USDSSP:CUR;10/03/2022;424.4368;424.4368;420;424.4368
USDSSP:CUR;09/03/2022;425.3513;425.3513;420;424.4368
USDSSP:CUR;08/03/2022;424.4682;425.3513;420;425.3513
USDSSP:CUR;07/03/2022;424.9123;424.9123;424.4682;424.4682
