Symbol;Date;Open;High;Low;Close
USDTND:CUR;10/05/2022;3.0895;3.1;3.0703;3.073
USDTND:CUR;09/05/2022;3.0733;3.09;3.057;3.0659
USDTND:CUR;06/05/2022;3.0623;3.0829;3.0393;3.0489
USDTND:CUR;05/05/2022;3.0347;3.0806;3.031;3.0503
USDTND:CUR;04/05/2022;3.061;3.0839;3.0331;3.0429
USDTND:CUR;03/05/2022;3.0602;3.061;3.0602;3.061
USDTND:CUR;02/05/2022;3.0736;3.0736;3.0602;3.0602
USDTND:CUR;29/04/2022;3.0595;3.0768;3.0407;3.0501
USDTND:CUR;28/04/2022;3.0525;3.085;3.0458;3.0588
USDTND:CUR;27/04/2022;3.0397;3.0681;3.0158;3.0525
USDTND:CUR;26/04/2022;3.0173;3.06;3.0028;3.0397
USDTND:CUR;25/04/2022;3.0327;3.048;3.0064;3.0257
USDTND:CUR;22/04/2022;3.002;3.0352;2.9908;3.0087
USDTND:CUR;21/04/2022;2.9986;3.0307;2.975;2.9942
USDTND:CUR;20/04/2022;3.0071;3.0301;2.9882;2.9906
USDTND:CUR;19/04/2022;2.981;3.03;2.9798;3.0071
USDTND:CUR;18/04/2022;2.9887;3.03;2.9779;2.981
USDTND:CUR;15/04/2022;2.9993;3.015;2.9864;3.002
USDTND:CUR;14/04/2022;2.9838;3.0157;2.9683;2.9953
USDTND:CUR;13/04/2022;2.9952;3.022;2.9701;2.9836
USDTND:CUR;12/04/2022;2.9852;3.01;2.9748;2.9957
USDTND:CUR;11/04/2022;2.978;3.005;2.9672;2.989
USDTND:CUR;08/04/2022;2.9746;3.005;2.9589;2.9905
USDTND:CUR;07/04/2022;2.9825;3.005;2.945;2.975
USDTND:CUR;06/04/2022;2.9808;3;2.9585;2.9867
USDTND:CUR;05/04/2022;2.9901;2.9932;2.945;2.9848
USDTND:CUR;04/04/2022;2.9405;2.9926;2.9405;2.9681
USDTND:CUR;01/04/2022;2.945;2.9707;2.933;2.9658
USDTND:CUR;31/03/2022;2.9227;2.966;2.9178;2.9398
USDTND:CUR;30/03/2022;2.945;2.9585;2.9115;2.9227
USDTND:CUR;29/03/2022;2.9553;2.9789;2.917;2.9358
USDTND:CUR;28/03/2022;2.9742;2.9839;2.9414;2.9538
USDTND:CUR;25/03/2022;2.9739;2.9769;2.9319;2.9533
USDTND:CUR;24/03/2022;2.9554;2.9799;2.9316;2.9741
