Symbol;Date;Open;High;Low;Close
USDUGX:CUR;10/05/2022;3575;3595;3570;3575
USDUGX:CUR;09/05/2022;3535;3588;3535;3580
USDUGX:CUR;06/05/2022;3550;3560;3535;3553.44
USDUGX:CUR;05/05/2022;3550;3570;3535;3545
USDUGX:CUR;04/05/2022;3535;3558;3530;3550
USDUGX:CUR;03/05/2022;3548;3555;3530;3540
USDUGX:CUR;02/05/2022;3554.48;3554.48;3550;3550
USDUGX:CUR;29/04/2022;3560;3568;3545;3550
USDUGX:CUR;28/04/2022;3560;3570;3538;3556
USDUGX:CUR;27/04/2022;3538;3575;3525;3560
USDUGX:CUR;26/04/2022;3525;3548;3515;3536
USDUGX:CUR;25/04/2022;3527;3530;3510;3525
USDUGX:CUR;22/04/2022;3515;3540;3511.49;3511.49
USDUGX:CUR;21/04/2022;3530;3533;3505;3525
USDUGX:CUR;20/04/2022;3514;3533;3512;3530
USDUGX:CUR;19/04/2022;3515;3537;3505;3515
USDUGX:CUR;18/04/2022;3530.6;3530.6;3511.49;3511.49
USDUGX:CUR;15/04/2022;3515;3515;3515;3515
USDUGX:CUR;14/04/2022;3515;3518;3505;3513.58
USDUGX:CUR;13/04/2022;3515;3540;3505;3515
USDUGX:CUR;12/04/2022;3531;3535;3511.49;3513.58
USDUGX:CUR;11/04/2022;3529;3545;3520;3523.86
USDUGX:CUR;08/04/2022;3535;3541;3535;3540
USDUGX:CUR;07/04/2022;3547;3550;3537;3540
USDUGX:CUR;06/04/2022;3540;3556;3522;3545
USDUGX:CUR;05/04/2022;3551;3554;3539;3540
USDUGX:CUR;04/04/2022;3580;3590;3529;3550
USDUGX:CUR;01/04/2022;3581;3595;3560;3564
USDUGX:CUR;31/03/2022;3585;3586;3575;3580
USDUGX:CUR;30/03/2022;3591;3610;3575;3585
USDUGX:CUR;29/03/2022;3591;3595;3585;3590
USDUGX:CUR;28/03/2022;3590;3605;3585;3590
USDUGX:CUR;25/03/2022;3610;3615;3575;3590
USDUGX:CUR;24/03/2022;3605;3615;3575;3598
USDUGX:CUR;23/03/2022;3591;3615;3575;3605
USDUGX:CUR;22/03/2022;3578;3600;3575;3600
USDUGX:CUR;21/03/2022;3575;3582;3570;3577
USDUGX:CUR;18/03/2022;3576;3585;3570;3580
USDUGX:CUR;17/03/2022;3578;3587;3569;3575
USDUGX:CUR;16/03/2022;3595;3595;3572;3580
USDUGX:CUR;15/03/2022;3590;3610;3573;3585
USDUGX:CUR;14/03/2022;3613;3620;3590;3600
USDUGX:CUR;11/03/2022;3612;3620;3605;3608.56
USDUGX:CUR;10/03/2022;3615;3621;3605;3612
USDUGX:CUR;09/03/2022;3602;3620;3600;3608
