Symbol;Date;Open;High;Low;Close
USDXAF:CUR;10/05/2022;621.23;623.12;617.9;622.40997
USDXAF:CUR;09/05/2022;622.61;624.13;616.6;620.94
USDXAF:CUR;06/05/2022;622;625.67;616.25;621.76
USDXAF:CUR;05/05/2022;617.43;625.08;616.25;622.11
USDXAF:CUR;04/05/2022;622.42;624.01;616.91;617.37
USDXAF:CUR;03/05/2022;622.47;622.47;619.82;621.72
USDXAF:CUR;02/05/2022;622.67;622.76;619.82;621.76
USDXAF:CUR;29/04/2022;624.84;625.2;618.03;622.47
USDXAF:CUR;28/04/2022;621.23;626.39;611.95;624.6
USDXAF:CUR;27/04/2022;616.56;623.83;609.76;621.29
USDXAF:CUR;26/04/2022;612.13;616.67;605.85;616.62
USDXAF:CUR;25/04/2022;607.15;613.16;607.13;612.19
USDXAF:CUR;22/04/2022;605.35;608.95;600.66;607.18
USDXAF:CUR;21/04/2022;604.66;605.57;597.57;605.29
USDXAF:CUR;20/04/2022;607.99;608.21;603.42;604.12
USDXAF:CUR;19/04/2022;608.27;609.51;604.87;607.93
USDXAF:CUR;18/04/2022;606.99;609;604.87;608.33
USDXAF:CUR;15/04/2022;605.69;607.48;603.83;606.75
USDXAF:CUR;14/04/2022;602.4;609.68;599.61;605.63
USDXAF:CUR;13/04/2022;605.8;606.81;599.61;602.29
USDXAF:CUR;12/04/2022;602.65;606.13;599.41;605.63
USDXAF:CUR;11/04/2022;602.7;603.23;598.59;602.13
USDXAF:CUR;08/04/2022;602.9;605.29;597.45;603.07
USDXAF:CUR;07/04/2022;601.96;603.68;597.66;602.79
USDXAF:CUR;06/04/2022;601.35;603.18;595.35;601.91
USDXAF:CUR;05/04/2022;597.79;601.74;592.88;601.41
USDXAF:CUR;04/04/2022;593.67;598.39;593.64;597.74
USDXAF:CUR;01/04/2022;592.71;597.74;588.91;593.73
USDXAF:CUR;31/03/2022;587.72;592.98;585;592.61
USDXAF:CUR;30/03/2022;591.59;591.81;586.76;587.78
USDXAF:CUR;29/03/2022;597.3;597.9;588.88;591.54
USDXAF:CUR;28/03/2022;597.61;599.27;596.01;597.19
USDXAF:CUR;25/03/2022;595.13;597.36;592.06;597.36
USDXAF:CUR;24/03/2022;596;598.63;591.28;596.11
USDXAF:CUR;23/03/2022;594.59;598.23;591.28;595.95
USDXAF:CUR;22/03/2022;595.35;598.45;590.53;594.65
USDXAF:CUR;21/03/2022;594.11;596.65;589.18;595.46
USDXAF:CUR;18/03/2022;591.33;596.11;589.18;593.41
USDXAF:CUR;17/03/2022;594.43;595.84;588.83;591.27
USDXAF:CUR;16/03/2022;598.36;598.94;593.26;594.27
USDXAF:CUR;15/03/2022;599.43;600.03;593.26;598.63
USDXAF:CUR;14/03/2022;592;599.81;592;599.54
USDXAF:CUR;11/03/2022;593.95;601.63;591;600.48
USDXAF:CUR;10/03/2022;592.18;598;590.53;591
USDXAF:CUR;09/03/2022;601.63;602.29;591.06;591.97
USDXAF:CUR;08/03/2022;603.9;604.57;592;601.91
USDXAF:CUR;07/03/2022;589;606.92;589;604.23
USDXAF:CUR;04/03/2022;592.66;602.46;588;599.65
USDXAF:CUR;03/03/2022;589.73;594.43;585;592.71
USDXAF:CUR;02/03/2022;589.47;593.14;582;589.68
USDXAF:CUR;01/03/2022;584.74;591.43;581;589.41
USDXAF:CUR;28/02/2022;578;587.51;578;584.68
USDXAF:CUR;25/02/2022;586.04;587.41;575;578
USDXAF:CUR;24/02/2022;580.03;590.53;575;585.94
USDXAF:CUR;23/02/2022;579.06;580.39;575;579.98
USDXAF:CUR;22/02/2022;579.88;581.06;574;579.16
USDXAF:CUR;21/02/2022;575.59;580.13;573.71;579.67
USDXAF:CUR;18/02/2022;577.22;578.45;573.98;574
USDXAF:CUR;17/02/2022;576.61;579.26;574;577.33
USDXAF:CUR;16/02/2022;577.43;578.14;573.65;576.67
USDXAF:CUR;15/02/2022;580.03;580.34;572;577.38
USDXAF:CUR;14/02/2022;575.44;581.42;572;580.08
USDXAF:CUR;11/02/2022;573.99;576.87;572.79;573
USDXAF:CUR;10/02/2022;574.09;576.06;570.55;573.89
