Symbol;Date;Open;High;Low;Close
USDXOF:CUR;10/05/2022;620;624.09998;617.5;618
USDXOF:CUR;09/05/2022;621.25;621.25;620;621
USDXOF:CUR;06/05/2022;620.25;621.25;617.44;621.12
USDXOF:CUR;05/05/2022;621;621;615;620.25
USDXOF:CUR;04/05/2022;619.75;620.61;619.73;620.2
USDXOF:CUR;03/05/2022;617.5;627.01;617.5;619
USDXOF:CUR;02/05/2022;617.5;619.73;617.5;617.5
USDXOF:CUR;29/04/2022;618.75;618.88;617.5;617.5
USDXOF:CUR;28/04/2022;610.25;621.07;610.25;618.75
USDXOF:CUR;27/04/2022;610.25;616.36;610.25;610.25
USDXOF:CUR;26/04/2022;607.75;616.63;606;610.25
USDXOF:CUR;25/04/2022;603;608;603;607.75
USDXOF:CUR;22/04/2022;597.25;604.61;597.25;604.61
USDXOF:CUR;21/04/2022;603;603;597;597.25
USDXOF:CUR;20/04/2022;604.5;608.1;590;603
USDXOF:CUR;19/04/2022;603.5;605.07;603.5;605
USDXOF:CUR;18/04/2022;597.7;605.39;597.7;605.39
USDXOF:CUR;15/04/2022;597.75;598;597.7;598
USDXOF:CUR;14/04/2022;602.25;604.58;597.75;601.15
USDXOF:CUR;13/04/2022;600.25;608.77;600.25;602.25
USDXOF:CUR;12/04/2022;598;607.03;598;600.25
USDXOF:CUR;11/04/2022;601;601;598;598
USDXOF:CUR;08/04/2022;606.08;609.6;598.5;601
USDXOF:CUR;07/04/2022;605.3;606.75;596.36;605.97
USDXOF:CUR;06/04/2022;604.53;606.31;590;605.14
USDXOF:CUR;05/04/2022;590;604.92;590;594
USDXOF:CUR;04/04/2022;590;592.86;590;590
USDXOF:CUR;01/04/2022;584.5;598.33;584.5;590
USDXOF:CUR;31/03/2022;586.5;587;584;584.5
USDXOF:CUR;30/03/2022;593;593;586;586.5
USDXOF:CUR;29/03/2022;595;595;590;592.22
USDXOF:CUR;28/03/2022;591.25;600.89;591.25;595
USDXOF:CUR;25/03/2022;591.5;597.62;591.25;591.25
USDXOF:CUR;24/03/2022;591.5;599.85;590;591.5
USDXOF:CUR;23/03/2022;594.25;599.2;591;591.5
USDXOF:CUR;22/03/2022;588.7;597.24;588.5;594.25
USDXOF:CUR;21/03/2022;588.75;600.6;588.7;588.7
USDXOF:CUR;18/03/2022;591;599.67;588.75;588.75
USDXOF:CUR;17/03/2022;594.75;601.46;590;591
USDXOF:CUR;16/03/2022;593;604.09;593;594.75
USDXOF:CUR;15/03/2022;593;597.09;592.9;594
USDXOF:CUR;14/03/2022;593;597.09;593;593
USDXOF:CUR;11/03/2022;589.25;596.34;589.25;596.34
USDXOF:CUR;10/03/2022;597.5;598;589;589.25
USDXOF:CUR;09/03/2022;600.25;600.25;594.48;597.5
USDXOF:CUR;08/03/2022;599.75;601;599.75;600.25
USDXOF:CUR;07/03/2022;592.25;605.3;592.25;599
USDXOF:CUR;04/03/2022;587.5;595.8;587.5;592.25
USDXOF:CUR;03/03/2022;587.25;588.69;587;587.5
USDXOF:CUR;02/03/2022;598.41;602.09;581;587.99
