Symbol;Date;Open;High;Low;Close
USDZMW:CUR;10/05/2022;17;17;17;17
USDZMW:CUR;09/05/2022;17.01;17.056;16.955;16.995
USDZMW:CUR;06/05/2022;17;17.056;16.94;16.983
USDZMW:CUR;05/05/2022;16.915;17.025;16.875;16.982
USDZMW:CUR;04/05/2022;17.01;17.01;16.875;16.95
USDZMW:CUR;03/05/2022;17;17.015;16.95;16.95
USDZMW:CUR;02/05/2022;17.01;17.01;17.01;17.01
USDZMW:CUR;29/04/2022;17.05;17.05;17;17.0059
USDZMW:CUR;28/04/2022;16.987;16.987;16.987;16.987
USDZMW:CUR;27/04/2022;17;17.05;16.95;17.0077
USDZMW:CUR;26/04/2022;17.04;17.04;16.971;17.0018
USDZMW:CUR;25/04/2022;16.875;16.9356;16.846;16.9356
USDZMW:CUR;22/04/2022;17.44;17.44;16.8;16.846
USDZMW:CUR;21/04/2022;17.41;17.475;17.375;17.4257
USDZMW:CUR;20/04/2022;17.435;17.435;17.375;17.375
USDZMW:CUR;19/04/2022;17.375;17.43;17.36;17.36
USDZMW:CUR;18/04/2022;17.37;17.37;17.37;17.37
USDZMW:CUR;15/04/2022;17.37;17.37;17.37;17.37
USDZMW:CUR;14/04/2022;17.375;17.4;17.36;17.37
USDZMW:CUR;13/04/2022;17.375;17.43;17.35;17.3962
USDZMW:CUR;12/04/2022;17.475;17.5;17.375;17.375
USDZMW:CUR;11/04/2022;17.5;17.53;17.475;17.486
USDZMW:CUR;08/04/2022;17.492;17.5;17.475;17.475
USDZMW:CUR;07/04/2022;17.56;17.56;17.5;17.5
USDZMW:CUR;06/04/2022;17.55;17.55;17.475;17.5
USDZMW:CUR;05/04/2022;17.55;17.55;17.54;17.55
USDZMW:CUR;04/04/2022;17.7;17.75;17.525;17.544
USDZMW:CUR;01/04/2022;18.09;18.11;17.75;17.75
USDZMW:CUR;31/03/2022;17.975;18.09;17.975;18.09
USDZMW:CUR;30/03/2022;17.95;18.03;17.95;18.025
USDZMW:CUR;29/03/2022;17.975;18;17.9;17.9736
USDZMW:CUR;28/03/2022;17.88;17.975;17.88;17.9349
USDZMW:CUR;25/03/2022;17.75;17.8655;17.75;17.85
USDZMW:CUR;24/03/2022;17.77;17.825;17.75;17.8014
USDZMW:CUR;23/03/2022;17.7;17.8;17.675;17.75
USDZMW:CUR;22/03/2022;17.7;17.75;17.625;17.682
USDZMW:CUR;21/03/2022;17.725;17.7276;17.675;17.7276
USDZMW:CUR;18/03/2022;17.6935;17.6935;17.6935;17.6935
USDZMW:CUR;17/03/2022;17.7;17.725;17.625;17.6935
USDZMW:CUR;16/03/2022;17.7;17.75;17.7;17.7154
USDZMW:CUR;15/03/2022;17.95;17.95;17.6;17.79
USDZMW:CUR;14/03/2022;18.2;18.26;17.9;17.9
USDZMW:CUR;11/03/2022;18.175;18.23;18.15;18.2
USDZMW:CUR;10/03/2022;18.05;18.21;18.05;18.175
USDZMW:CUR;09/03/2022;18.05;18.125;18.05;18.081
USDZMW:CUR;08/03/2022;17.982;18.026;17.982;18.026
USDZMW:CUR;07/03/2022;18;18.06;18;18.0414
USDZMW:CUR;04/03/2022;17.95;18;17.95;18
USDZMW:CUR;03/03/2022;17.845;17.95;17.845;17.95
USDZMW:CUR;02/03/2022;17.8491;17.85;17.8491;17.85
USDZMW:CUR;01/03/2022;17.78;17.85;17.775;17.81
USDZMW:CUR;28/02/2022;17.72;17.775;17.72;17.775
USDZMW:CUR;25/02/2022;17.68;17.715;17.65;17.715
USDZMW:CUR;24/02/2022;17.65;17.7;17.61;17.61
USDZMW:CUR;23/02/2022;17.6;17.685;17.6;17.6329
USDZMW:CUR;22/02/2022;17.55;17.61;17.55;17.5632
USDZMW:CUR;21/02/2022;17.45;17.575;17.4;17.575
USDZMW:CUR;18/02/2022;17.45;17.455;17.4;17.455
USDZMW:CUR;17/02/2022;17.675;17.7;17.425;17.475
USDZMW:CUR;16/02/2022;18.05;18.05;17.75;17.75
USDZMW:CUR;15/02/2022;18.76;18.76;18.05;18.05
USDZMW:CUR;14/02/2022;18.733;18.785;18.68;18.76
USDZMW:CUR;11/02/2022;18.667;18.733;18.65;18.733
USDZMW:CUR;10/02/2022;18.535;18.667;18.535;18.667
USDZMW:CUR;09/02/2022;18.4765;18.535;18.45;18.535
USDZMW:CUR;08/02/2022;18.4;18.5;18.385;18.4765
USDZMW:CUR;07/02/2022;18.385;18.4;18.3818;18.4
USDZMW:CUR;04/02/2022;18.315;18.345;18.3;18.345
USDZMW:CUR;03/02/2022;18.2;18.3;18.2;18.3
USDZMW:CUR;02/02/2022;18.05;18.2275;18.05;18.19
USDZMW:CUR;01/02/2022;18.05;18.13;18.025;18.05
USDZMW:CUR;31/01/2022;18;18.1;18;18.05
USDZMW:CUR;28/01/2022;17.89;18;17.89;18
USDZMW:CUR;27/01/2022;17.8;17.89;17.8;17.89
USDZMW:CUR;26/01/2022;17.65;17.775;17.65;17.775
USDZMW:CUR;25/01/2022;17.6;17.65;17.6;17.65
USDZMW:CUR;24/01/2022;17.5;17.58;17.45;17.58
USDZMW:CUR;21/01/2022;17.415;17.5;17.4;17.48
USDZMW:CUR;20/01/2022;17.35;17.4;17.33;17.3786
USDZMW:CUR;19/01/2022;17.245;17.325;17.245;17.3
USDZMW:CUR;18/01/2022;17.22;17.27;17.185;17.245
USDZMW:CUR;17/01/2022;17.17;17.215;17.13;17.1914
USDZMW:CUR;14/01/2022;17.09;17.13;17.05;17.125
USDZMW:CUR;13/01/2022;16.99;17.1;16.95;17.0445
USDZMW:CUR;12/01/2022;16.9;17;16.9;16.972
USDZMW:CUR;07/01/2022;16.8;16.8;16.8;16.8
USDZMW:CUR;06/01/2022;16.8;16.8;16.75;16.7938
USDZMW:CUR;05/01/2022;16.7486;16.7486;16.7486;16.7486
USDZMW:CUR;04/01/2022;16.635;16.74;16.635;16.74
USDZMW:CUR;03/01/2022;16.6699;16.6699;16.6699;16.6699
USDZMW:CUR;31/12/2021;16.635;16.663;16.635;16.6431
USDZMW:CUR;30/12/2021;16.632;16.632;16.6264;16.6264
USDZMW:CUR;29/12/2021;16.595;16.615;16.595;16.6105
USDZMW:CUR;28/12/2021;16.575;16.6;16.575;16.5874
USDZMW:CUR;27/12/2021;16.515;16.59;16.515;16.5657
USDZMW:CUR;24/12/2021;16.5;16.55;16.5;16.5477
USDZMW:CUR;23/12/2021;16.48;16.525;16.48;16.5217
USDZMW:CUR;22/12/2021;16.48;16.51;16.48;16.496
USDZMW:CUR;21/12/2021;16.46;16.48;16.45;16.4718
USDZMW:CUR;20/12/2021;16.42;16.465;16.38;16.4484
USDZMW:CUR;17/12/2021;16.38;16.45;16.325;16.42
USDZMW:CUR;16/12/2021;16.325;16.377;16.325;16.3642
USDZMW:CUR;15/12/2021;16.25;16.35;16.25;16.325
USDZMW:CUR;14/12/2021;16.225;16.3;16.225;16.2712
USDZMW:CUR;13/12/2021;16.1;16.27;16.1;16.27
USDZMW:CUR;10/12/2021;15.95;16.15;15.95;16.125
USDZMW:CUR;09/12/2021;16.8;16.8;15.95;16
USDZMW:CUR;08/12/2021;17.5103;17.5103;16.85;16.85
USDZMW:CUR;07/12/2021;17.45;17.525;17.42;17.425
USDZMW:CUR;06/12/2021;17.82;17.82;17.6;17.65
USDZMW:CUR;03/12/2021;17.8;17.8244;17.8;17.8244
USDZMW:CUR;02/12/2021;17.81;17.81;17.8;17.8078
USDZMW:CUR;01/12/2021;17.785;17.8;17.785;17.792
USDZMW:CUR;30/11/2021;17.72;17.8075;17.72;17.7792
USDZMW:CUR;29/11/2021;17.75;17.78;17.75;17.78
USDZMW:CUR;26/11/2021;17.725;17.75;17.725;17.74
USDZMW:CUR;25/11/2021;17.7;17.74;17.69;17.732
USDZMW:CUR;24/11/2021;17.645;17.72;17.645;17.696
USDZMW:CUR;23/11/2021;17.66;17.68;17.625;17.6532
USDZMW:CUR;22/11/2021;17.6;17.65;17.575;17.6265
USDZMW:CUR;19/11/2021;17.57;17.64;17.57;17.6122
USDZMW:CUR;18/11/2021;17.57;17.6;17.54;17.6
USDZMW:CUR;17/11/2021;17.52;17.57;17.52;17.5503
USDZMW:CUR;16/11/2021;17.49;17.521;17.49;17.521
USDZMW:CUR;15/11/2021;17.4615;17.5;17.45;17.486
USDZMW:CUR;12/11/2021;17.44;17.475;17.44;17.4615
USDZMW:CUR;11/11/2021;17.45;17.475;17.435;17.44
USDZMW:CUR;10/11/2021;17.43;17.45;17.41;17.45
USDZMW:CUR;09/11/2021;17.39;17.435;17.3878;17.43
USDZMW:CUR;08/11/2021;17.37;17.415;17.35;17.39
USDZMW:CUR;05/11/2021;17.35;17.385;17.33;17.37
USDZMW:CUR;04/11/2021;17.32;17.35;17.3;17.34
USDZMW:CUR;03/11/2021;17.29;17.33;17.29;17.3147
USDZMW:CUR;02/11/2021;17.27;17.315;17.25;17.291
USDZMW:CUR;01/11/2021;17.23;17.28;17.23;17.2651
USDZMW:CUR;29/10/2021;17.2;17.25;17.2;17.2384
USDZMW:CUR;28/10/2021;17.185;17.23;17.15;17.2145
USDZMW:CUR;27/10/2021;17.15;17.2;17.1;17.1702
USDZMW:CUR;26/10/2021;17.05;17.145;17.05;17.1213
USDZMW:CUR;25/10/2021;17.0905;17.0905;17.0905;17.0905
USDZMW:CUR;22/10/2021;17.11;17.11;17.05;17.0905
USDZMW:CUR;21/10/2021;17.01;17.07;17.01;17.07
USDZMW:CUR;20/10/2021;17.01;17.07;17.01;17.0331
USDZMW:CUR;19/10/2021;16.915;17.025;16.9;16.9549
USDZMW:CUR;18/10/2021;16.92;16.92;16.92;16.92
USDZMW:CUR;15/10/2021;16.87;16.92;16.849;16.87
USDZMW:CUR;14/10/2021;16.87;16.9;16.826;16.87
USDZMW:CUR;13/10/2021;16.85;16.9;16.8362;16.875
USDZMW:CUR;12/10/2021;16.95;16.95;16.8752;16.9
USDZMW:CUR;11/10/2021;17.04;17.04;16.95;16.9733
USDZMW:CUR;08/10/2021;17.1;17.1017;17.05;17.1017
USDZMW:CUR;07/10/2021;17.0266;17.0266;17.0266;17.0266
USDZMW:CUR;06/10/2021;16.95;17.05;16.95;17.0266
USDZMW:CUR;05/10/2021;16.975;17.015;16.93;17.015
USDZMW:CUR;04/10/2021;16.85;16.8949;16.85;16.8949
USDZMW:CUR;01/10/2021;16.71;16.71;16.71;16.71
USDZMW:CUR;30/09/2021;16.7593;16.7593;16.725;16.725
USDZMW:CUR;29/09/2021;16.71;16.725;16.71;16.7147
USDZMW:CUR;28/09/2021;16.63;16.67;16.63;16.67
USDZMW:CUR;27/09/2021;16.575;16.65;16.575;16.63
USDZMW:CUR;24/09/2021;16.575;16.577;16.575;16.577
USDZMW:CUR;23/09/2021;16.5;16.55;16.5;16.55
USDZMW:CUR;22/09/2021;16.475;16.475;16.47;16.47
USDZMW:CUR;21/09/2021;16.42;16.4322;16.42;16.4322
USDZMW:CUR;20/09/2021;16.375;16.42;16.375;16.42
USDZMW:CUR;17/09/2021;16.35;16.385;16.35;16.385
USDZMW:CUR;16/09/2021;16.34;16.39;16.34;16.36
USDZMW:CUR;15/09/2021;16.29;16.35;16.29;16.3343
USDZMW:CUR;14/09/2021;16.27;16.31;16.27;16.2889
USDZMW:CUR;13/09/2021;16.25;16.27;16.22;16.2488
USDZMW:CUR;10/09/2021;16.19;16.215;16.165;16.2081
USDZMW:CUR;09/09/2021;16.165;16.18;16.165;16.18
USDZMW:CUR;08/09/2021;16.13;16.165;16.13;16.1546
USDZMW:CUR;07/09/2021;16.1307;16.1307;16.1307;16.1307
USDZMW:CUR;06/09/2021;16.0815;16.1;16.0815;16.0962
USDZMW:CUR;03/09/2021;16.05;16.085;16.05;16.0705
USDZMW:CUR;02/09/2021;15.975;16.05;15.975;16.0315
USDZMW:CUR;01/09/2021;15.94;16;15.94;15.975
USDZMW:CUR;31/08/2021;15.875;15.95;15.875;15.9135
USDZMW:CUR;30/08/2021;15.83;15.8628;15.825;15.8628
USDZMW:CUR;27/08/2021;16.3;16.3;15.825;15.825
USDZMW:CUR;26/08/2021;16.475;16.475;16.4;16.4
USDZMW:CUR;25/08/2021;16.7;16.725;16.45;16.45
USDZMW:CUR;24/08/2021;16.725;16.725;16.725;16.725
USDZMW:CUR;23/08/2021;17;17;16.725;16.725
USDZMW:CUR;20/08/2021;17.475;17.475;16.95;17
USDZMW:CUR;19/08/2021;18.6;18.6;17.45;17.5
USDZMW:CUR;18/08/2021;19.12;19.12;18.6;18.6
USDZMW:CUR;17/08/2021;19.15;19.15;19.115;19.128
USDZMW:CUR;16/08/2021;19.25;19.25;18.975;19.1756
USDZMW:CUR;13/08/2021;19.28;19.28;19.28;19.28
USDZMW:CUR;12/08/2021;19.28;19.28;19.28;19.28
USDZMW:CUR;11/08/2021;19.28;19.28;19.265;19.28
USDZMW:CUR;10/08/2021;19.25;19.28;19.235;19.276
USDZMW:CUR;09/08/2021;19.245;19.25;19.235;19.235
USDZMW:CUR;06/08/2021;19.23;19.245;19.2291;19.2291
USDZMW:CUR;05/08/2021;19.22;19.22;19.22;19.22
USDZMW:CUR;04/08/2021;19.175;19.235;19.175;19.225
USDZMW:CUR;03/08/2021;19.2;19.2;19.13;19.15
USDZMW:CUR;02/08/2021;19.2;19.2;19.2;19.2
USDZMW:CUR;30/07/2021;19.175;19.21;19.175;19.2
USDZMW:CUR;29/07/2021;19.25;19.25;19.25;19.25
USDZMW:CUR;28/07/2021;19.16;19.2;19.15;19.1538
USDZMW:CUR;27/07/2021;19.75;19.75;18.95;19.25
USDZMW:CUR;26/07/2021;20.95;20.95;20.95;20.95
USDZMW:CUR;23/07/2021;21.95;22;20.9;20.9
USDZMW:CUR;22/07/2021;22.25;22.25;21.95;22
USDZMW:CUR;21/07/2021;22.275;22.31;22.25;22.27
USDZMW:CUR;20/07/2021;22.45;22.45;22.275;22.275
USDZMW:CUR;19/07/2021;22.58;22.59;22.4;22.45
USDZMW:CUR;16/07/2021;22.625;22.63;22.575;22.58
USDZMW:CUR;15/07/2021;22.635;22.6485;22.625;22.625
USDZMW:CUR;14/07/2021;22.645;22.6485;22.61;22.635
USDZMW:CUR;13/07/2021;22.6395;22.6485;22.62;22.645
USDZMW:CUR;12/07/2021;22.635;22.65;22.595;22.6395
USDZMW:CUR;09/07/2021;22.62;22.6435;22.62;22.635
USDZMW:CUR;08/07/2021;22.62;22.6258;22.595;22.62
USDZMW:CUR;07/07/2021;22.615;22.62;22.615;22.62
USDZMW:CUR;06/07/2021;22.615;22.615;22.615;22.615
USDZMW:CUR;05/07/2021;22.615;22.615;22.615;22.615
USDZMW:CUR;02/07/2021;22.615;22.615;22.615;22.615
USDZMW:CUR;01/07/2021;22.61;22.615;22.61;22.615
USDZMW:CUR;30/06/2021;22.605;22.615;22.575;22.61
USDZMW:CUR;29/06/2021;22.605;22.605;22.575;22.605
USDZMW:CUR;28/06/2021;22.605;22.605;22.604;22.605
USDZMW:CUR;25/06/2021;22.57;22.604;22.57;22.596
USDZMW:CUR;24/06/2021;22.57;22.595;22.57;22.57
USDZMW:CUR;23/06/2021;22.57;22.582;22.57;22.57
USDZMW:CUR;22/06/2021;22.575;22.586;22.57;22.57
USDZMW:CUR;21/06/2021;22.575;22.575;22.57;22.575
USDZMW:CUR;18/06/2021;22.56;22.575;22.55;22.575
USDZMW:CUR;17/06/2021;22.56;22.57;22.56;22.56
USDZMW:CUR;16/06/2021;22.55;22.56;22.55;22.56
USDZMW:CUR;15/06/2021;22.55;22.56;22.55;22.55
USDZMW:CUR;14/06/2021;22.54;22.55;22.54;22.55
USDZMW:CUR;11/06/2021;22.5395;22.547;22.537;22.54
USDZMW:CUR;10/06/2021;22.535;22.5395;22.535;22.5395
USDZMW:CUR;09/06/2021;22.53;22.53;22.51;22.53
USDZMW:CUR;08/06/2021;22.525;22.53;22.525;22.53
USDZMW:CUR;07/06/2021;22.52;22.52;22.52;22.52
USDZMW:CUR;04/06/2021;22.52;22.53;22.5142;22.52
USDZMW:CUR;03/06/2021;22.51;22.525;22.51;22.52
USDZMW:CUR;02/06/2021;22.505;22.52;22.505;22.5116
USDZMW:CUR;01/06/2021;22.49;22.51;22.49;22.5037
USDZMW:CUR;31/05/2021;22.49;22.51;22.48;22.4945
USDZMW:CUR;28/05/2021;22.485;22.495;22.485;22.49
USDZMW:CUR;27/05/2021;22.485;22.491;22.47;22.485
USDZMW:CUR;26/05/2021;22.4825;22.485;22.47;22.485
USDZMW:CUR;25/05/2021;22.4825;22.4825;22.4825;22.4825
USDZMW:CUR;24/05/2021;22.45;22.4825;22.445;22.4825
USDZMW:CUR;21/05/2021;22.45;22.465;22.445;22.45
