Symbol;Date;Open;High;Low;Close
DXY:CUR;10/05/2022;103.727;103.96552;103.499;103.93504
DXY:CUR;09/05/2022;103.659;104.187;103.392;103.651
DXY:CUR;08/05/2022;103.659;104.061;103.186;103.659
DXY:CUR;06/05/2022;103.558;104.061;103.186;103.66
DXY:CUR;05/05/2022;102.677;103.942;102.352;103.752
DXY:CUR;04/05/2022;103.464;103.615;102.457;102.587
DXY:CUR;03/05/2022;103.596;103.673;103.029;103.465
DXY:CUR;02/05/2022;103.212;103.747;103.107;103.744
DXY:CUR;01/05/2022;103.212;103.286;103.151;103.283
DXY:CUR;29/04/2022;103.673;103.673;102.818;102.959
DXY:CUR;28/04/2022;103.037;103.928;102.979;103.623
DXY:CUR;27/04/2022;102.277;103.282;102.222;102.954
DXY:CUR;26/04/2022;101.727;102.363;101.51;102.303
DXY:CUR;25/04/2022;101.118;101.856;101.04;101.752
DXY:CUR;24/04/2022;101.118;101.171;101.04;101.079
DXY:CUR;22/04/2022;100.62;101.331;100.473;101.22
DXY:CUR;21/04/2022;100.349;100.638;99.818;100.578
DXY:CUR;20/04/2022;100.98;101.035;100.22;100.39
DXY:CUR;19/04/2022;100.833;101.028;100.696;100.961
DXY:CUR;18/04/2022;100.5;100.864;100.459;100.781
DXY:CUR;17/04/2022;100.5;100.587;100.459;100.521
DXY:CUR;15/04/2022;100.423;100.569;100.321;100.321
DXY:CUR;14/04/2022;99.792;100.761;99.571;100.321
DXY:CUR;13/04/2022;100.341;100.523;99.832;99.875
DXY:CUR;12/04/2022;100.035;100.333;99.74;100.292
DXY:CUR;11/04/2022;99.837;100.049;99.615;99.932
DXY:CUR;10/04/2022;99.837;100.189;99.743;99.837
DXY:CUR;08/04/2022;99.823;100.189;99.743;99.796
DXY:CUR;07/04/2022;99.65;99.832;99.399;99.751
DXY:CUR;06/04/2022;99.471;99.769;99.313;99.599
DXY:CUR;05/04/2022;98.997;99.524;98.838;99.472
DXY:CUR;04/04/2022;98.566;99.082;98.519;99
DXY:CUR;03/04/2022;98.566;98.744;98.309;98.566
DXY:CUR;01/04/2022;98.335;98.744;98.309;98.632
DXY:CUR;31/03/2022;97.833;98.396;97.69;98.312
DXY:CUR;30/03/2022;98.37;98.43;97.685;97.792
DXY:CUR;29/03/2022;99.076;99.295;98.037;98.404
DXY:CUR;28/03/2022;98.807;99.369;98.796;99.091
DXY:CUR;27/03/2022;98.807;98.834;98.4;98.807
DXY:CUR;25/03/2022;98.749;98.834;98.4;98.789
DXY:CUR;24/03/2022;98.635;98.957;98.595;98.789
DXY:CUR;23/03/2022;98.475;98.883;98.388;98.622
DXY:CUR;22/03/2022;98.491;98.965;98.323;98.493
DXY:CUR;21/03/2022;98.237;98.528;98.157;98.498
DXY:CUR;20/03/2022;98.237;98.305;98.205;98.304
DXY:CUR;18/03/2022;97.999;98.623;97.837;98.233
DXY:CUR;17/03/2022;98.503;98.508;97.727;97.974
DXY:CUR;16/03/2022;98.889;99.079;98.295;98.618
DXY:CUR;15/03/2022;99.126;99.2;98.638;99.097
DXY:CUR;14/03/2022;99.126;99.292;98.682;98.999
