Symbol;Date;Open;High;Low;Close
USDBRL:CUR;10/05/2022;5.1617;5.1628;5.109;5.1353
USDBRL:CUR;09/05/2022;5.0776;5.1617;5.0776;5.1617
USDBRL:CUR;06/05/2022;5.0288;5.1144;5.006;5.0774
USDBRL:CUR;05/05/2022;4.9195;5.0587;4.9167;5.028
USDBRL:CUR;04/05/2022;4.9558;5.0359;4.8913;4.9198
USDBRL:CUR;03/05/2022;5.0834;5.0834;4.955;4.9584
USDBRL:CUR;02/05/2022;4.9687;5.0938;4.9646;5.0848
USDBRL:CUR;29/04/2022;4.9399;4.9808;4.8584;4.9721
USDBRL:CUR;28/04/2022;4.9649;5.0451;4.934;4.9425
USDBRL:CUR;27/04/2022;4.9987;5.0397;4.927;4.9651
USDBRL:CUR;26/04/2022;4.8772;5.0019;4.8772;4.9989
USDBRL:CUR;25/04/2022;4.7963;4.9481;4.7963;4.8766
USDBRL:CUR;22/04/2022;4.6208;4.839;4.6208;4.7937
USDBRL:CUR;21/04/2022;4.6219;4.622;4.6219;4.622
USDBRL:CUR;20/04/2022;4.6658;4.6796;4.607;4.6219
USDBRL:CUR;19/04/2022;4.6528;4.6859;4.637;4.6675
USDBRL:CUR;18/04/2022;4.6965;4.7083;4.6432;4.6527
USDBRL:CUR;15/04/2022;4.6965;4.6965;4.6965;4.6965
USDBRL:CUR;14/04/2022;4.687;4.7411;4.6848;4.7013
USDBRL:CUR;13/04/2022;4.6775;4.7052;4.6505;4.6899
USDBRL:CUR;12/04/2022;4.688;4.695;4.621;4.6735
USDBRL:CUR;11/04/2022;4.7054;4.739;4.6774;4.6944
USDBRL:CUR;08/04/2022;4.7529;4.794;4.6931;4.697
USDBRL:CUR;07/04/2022;4.7088;4.7726;4.6885;4.7524
USDBRL:CUR;06/04/2022;4.6518;4.7256;4.6445;4.7161
USDBRL:CUR;05/04/2022;4.5945;4.6736;4.579;4.6506
USDBRL:CUR;04/04/2022;4.6588;4.6742;4.5875;4.5928
USDBRL:CUR;01/04/2022;4.7392;4.7392;4.6518;4.6575
USDBRL:CUR;31/03/2022;4.7704;4.7955;4.7205;4.739
USDBRL:CUR;30/03/2022;4.757;4.7919;4.7245;4.7685
USDBRL:CUR;29/03/2022;4.7677;4.7844;4.714;4.7561
USDBRL:CUR;28/03/2022;4.7519;4.819;4.7322;4.7675
USDBRL:CUR;25/03/2022;4.8268;4.8292;4.729;4.742
USDBRL:CUR;24/03/2022;4.8258;4.8585;4.7641;4.8253
USDBRL:CUR;23/03/2022;4.9103;4.9205;4.8208;4.8258
USDBRL:CUR;22/03/2022;4.9361;4.9507;4.9043;4.9094
USDBRL:CUR;21/03/2022;5.024;5.0287;4.9305;4.9354
USDBRL:CUR;18/03/2022;5.0395;5.0751;4.9915;5.0231
USDBRL:CUR;17/03/2022;5.0773;5.107;5.0275;5.039
USDBRL:CUR;16/03/2022;5.1592;5.1592;5.0714;5.0757
USDBRL:CUR;15/03/2022;5.1219;5.1692;5.0918;5.1631
USDBRL:CUR;14/03/2022;5.0586;5.1393;5.0364;5.1193
USDBRL:CUR;11/03/2022;5.0114;5.0816;4.981;5.0745
USDBRL:CUR;10/03/2022;5.014;5.076;5.0095;5.011
USDBRL:CUR;09/03/2022;5.0281;5.0357;4.9847;5.0123
USDBRL:CUR;08/03/2022;5.08;5.1002;5.044;5.0599
USDBRL:CUR;07/03/2022;5.0777;5.1147;5.027;5.1115
USDBRL:CUR;04/03/2022;5.05;5.1015;5.022;5.062
USDBRL:CUR;03/03/2022;5.0973;5.1146;5.0179;5.032
USDBRL:CUR;02/03/2022;5.2138;5.2223;5.0863;5.0995
USDBRL:CUR;01/03/2022;5.1595;5.1595;5.1595;5.1595
USDBRL:CUR;28/02/2022;5.1631;5.1631;5.1597;5.1599
USDBRL:CUR;25/02/2022;5.1192;5.18;5.0782;5.1623
USDBRL:CUR;24/02/2022;5.0045;5.163;5.0045;5.1231
USDBRL:CUR;23/02/2022;5.0615;5.0615;4.9933;5.0097
USDBRL:CUR;22/02/2022;5.107;5.107;5.043;5.0583
USDBRL:CUR;21/02/2022;5.1367;5.1544;5.0738;5.1036
USDBRL:CUR;18/02/2022;5.1712;5.1761;5.1079;5.1385
USDBRL:CUR;17/02/2022;5.135;5.183;5.123;5.1718
USDBRL:CUR;16/02/2022;5.1588;5.1773;5.122;5.1365
USDBRL:CUR;15/02/2022;5.2181;5.2206;5.1581;5.159
USDBRL:CUR;14/02/2022;5.2545;5.2661;5.1946;5.2149
USDBRL:CUR;11/02/2022;5.2353;5.2655;5.1798;5.2527
USDBRL:CUR;10/02/2022;5.2384;5.2552;5.1724;5.2496
USDBRL:CUR;09/02/2022;5.259;5.2902;5.2118;5.2354
USDBRL:CUR;08/02/2022;5.2629;5.289;5.2502;5.2593
USDBRL:CUR;07/02/2022;5.3253;5.3276;5.2486;5.2636
USDBRL:CUR;06/02/2022;5.3305;5.3305;5.3253;5.3253
USDBRL:CUR;04/02/2022;5.3012;5.3502;5.2774;5.3279
