Symbol;Date;Open;High;Low;Close
USDCLP:CUR;10/05/2022;868.21;870.59998;862.25;866.67999
USDCLP:CUR;09/05/2022;858.44;871.3;857.4;867
USDCLP:CUR;06/05/2022;861.66;862;853.15;858.44
USDCLP:CUR;05/05/2022;852.9;868.3;850.9;861.7
USDCLP:CUR;04/05/2022;854.9;866.1;851.4;852.9
USDCLP:CUR;03/05/2022;859.88;859.88;851.73;854.9
USDCLP:CUR;02/05/2022;851.13;863.9;848.13;859.88
USDCLP:CUR;29/04/2022;856.63;857.13;845.8;851.13
USDCLP:CUR;28/04/2022;845.57;861.9;845.57;856.9
USDCLP:CUR;27/04/2022;845.53;851.7;841.15;845.57
USDCLP:CUR;26/04/2022;843.53;852.5;839.78;845.53
USDCLP:CUR;25/04/2022;836.15;859.3;835.4;844.5
USDCLP:CUR;22/04/2022;823.75;840.6;823.75;836.15
USDCLP:CUR;21/04/2022;813.35;825;810.98;823.75
USDCLP:CUR;20/04/2022;819.3;821.2;811.6;813.7
USDCLP:CUR;19/04/2022;815.49;821.9;810.22;819.3
USDCLP:CUR;18/04/2022;813.85;820.2;813.1;816.4
USDCLP:CUR;15/04/2022;814.3;814.5;813.85;813.85
USDCLP:CUR;14/04/2022;804.75;817.6;804.29;814.3
USDCLP:CUR;13/04/2022;805;809.5;798.4;805.8
USDCLP:CUR;12/04/2022;816.15;817.6;800.28;806.4
USDCLP:CUR;11/04/2022;813.9;823.5;812.95;816.15
USDCLP:CUR;08/04/2022;805.22;818.7;797.1;813.9
USDCLP:CUR;07/04/2022;799.16;815.5;797.25;805.22
USDCLP:CUR;06/04/2022;786.66;801.6;785.99;799.16
USDCLP:CUR;05/04/2022;778.5;787.8;775.08;786.9
USDCLP:CUR;04/04/2022;782.47;782.7;775.25;778.5
USDCLP:CUR;01/04/2022;785.88;786.5;780.2;782.47
USDCLP:CUR;31/03/2022;788.08;791.4;783.12;785.88
USDCLP:CUR;30/03/2022;779.38;790.9;779.08;788.08
USDCLP:CUR;29/03/2022;777.75;783.9;771;779.38
USDCLP:CUR;28/03/2022;777.18;780.2;774.78;777.75
USDCLP:CUR;25/03/2022;788.36;790.5;775;777.18
USDCLP:CUR;24/03/2022;791.63;792.3;785.9;788.36
USDCLP:CUR;23/03/2022;792.03;797.4;790.1;791.63
USDCLP:CUR;22/03/2022;792.78;796.3;789.83;792.03
USDCLP:CUR;21/03/2022;802.53;806;792.08;792.78
USDCLP:CUR;18/03/2022;798.58;806.03;797.63;802.53
USDCLP:CUR;17/03/2022;797.13;800.5;793.58;798.58
USDCLP:CUR;16/03/2022;808.9;808.9;796.33;797.13
USDCLP:CUR;15/03/2022;813.05;818.2;808.9;808.9
USDCLP:CUR;14/03/2022;805.43;813.9;801.9;813.05
USDCLP:CUR;11/03/2022;801.4;805.93;797.2;805.43
USDCLP:CUR;10/03/2022;803.9;808.5;800.9;801.4
USDCLP:CUR;09/03/2022;809.37;809.7;799.71;803.9
USDCLP:CUR;08/03/2022;811.58;813.9;807.74;809.37
USDCLP:CUR;07/03/2022;806.11;812.9;803.97;811.58
USDCLP:CUR;04/03/2022;795.15;809.7;795.15;806.11
USDCLP:CUR;03/03/2022;804.18;808.5;794.35;795.15
USDCLP:CUR;02/03/2022;805.49;810.37;801.35;804.18
USDCLP:CUR;01/03/2022;798;808.7;792.35;805.49
USDCLP:CUR;28/02/2022;800.99;808.4;789.5;798
