Symbol;Date;Open;High;Low;Close
USDCOP:CUR;10/05/2022;4083.95;4094.83008;4054.94995;4070.94995
USDCOP:CUR;09/05/2022;4050.7;4093.95;4044;4083.95
USDCOP:CUR;06/05/2022;4081.2;4087.15;4024.95;4050.7
USDCOP:CUR;05/05/2022;4061.2;4099.6;4047.95;4081.2
USDCOP:CUR;04/05/2022;4022.95;4071.85;4012.95;4061.2
USDCOP:CUR;03/05/2022;4002.93;4023.95;3977.45;4022.95
USDCOP:CUR;02/05/2022;3950.95;4009.95;3950.95;4002.93
USDCOP:CUR;29/04/2022;3977.9;3983.85;3944.3;3950.95
USDCOP:CUR;28/04/2022;3947.95;3992.7;3947.53;3977.9
USDCOP:CUR;27/04/2022;3937.65;3979.9;3933.71;3947.95
USDCOP:CUR;26/04/2022;3929.45;3958.05;3925.52;3937.65
USDCOP:CUR;25/04/2022;3852.01;3952.62;3848.16;3929.45
USDCOP:CUR;22/04/2022;3770.01;3855.01;3766.24;3852.01
USDCOP:CUR;21/04/2022;3755.41;3773.01;3743.01;3770.01
USDCOP:CUR;20/04/2022;3745.5;3765.16;3739.5;3755.41
USDCOP:CUR;19/04/2022;3728.51;3764;3728.51;3745.5
USDCOP:CUR;18/04/2022;3719.01;3740.01;3712.71;3728.51
USDCOP:CUR;15/04/2022;3739.01;3741;3719.01;3719.01
USDCOP:CUR;14/04/2022;3719.01;3743.01;3715.45;3735.27
USDCOP:CUR;13/04/2022;3748.15;3756.82;3714.26;3719.01
USDCOP:CUR;12/04/2022;3733.82;3762.82;3704.83;3748.15
USDCOP:CUR;11/04/2022;3751.82;3756.82;3726.83;3733.82
USDCOP:CUR;08/04/2022;3764.27;3792.82;3743.82;3751.82
USDCOP:CUR;07/04/2022;3746.82;3774.82;3734.82;3764.27
USDCOP:CUR;06/04/2022;3735.77;3756.81;3719.82;3746.82
USDCOP:CUR;05/04/2022;3699.32;3744.72;3687.82;3735.77
USDCOP:CUR;04/04/2022;3743.87;3744.35;3684.82;3699.32
USDCOP:CUR;01/04/2022;3767.82;3792.77;3743.87;3743.87
USDCOP:CUR;31/03/2022;3748.52;3767.82;3742.92;3767.82
USDCOP:CUR;30/03/2022;3751.16;3761.77;3733.07;3748.52
USDCOP:CUR;29/03/2022;3781.21;3784.1;3751.16;3751.16
USDCOP:CUR;28/03/2022;3790.66;3804.01;3771.01;3781.21
USDCOP:CUR;25/03/2022;3783.01;3796.01;3756.21;3790.66
USDCOP:CUR;24/03/2022;3779.51;3813;3771.01;3783.01
USDCOP:CUR;23/03/2022;3756.52;3788.01;3728.01;3779.51
USDCOP:CUR;22/03/2022;3796.01;3814.76;3747.51;3756.52
USDCOP:CUR;21/03/2022;3814.76;3817.65;3796.01;3796.01
USDCOP:CUR;18/03/2022;3821.01;3834.02;3801.06;3814.76
USDCOP:CUR;17/03/2022;3831.01;3831.01;3801.16;3821.01
USDCOP:CUR;16/03/2022;3825.01;3836.01;3807.41;3831.01
USDCOP:CUR;15/03/2022;3793.61;3849.96;3780.5;3825.01
USDCOP:CUR;14/03/2022;3816.01;3826.01;3767.51;3793.61
USDCOP:CUR;11/03/2022;3818.01;3843.76;3802.61;3816.01
USDCOP:CUR;10/03/2022;3739.01;3834.01;3739.01;3818.01
USDCOP:CUR;09/03/2022;3767.06;3767.06;3724.11;3739.01
USDCOP:CUR;08/03/2022;3809.01;3811.9;3765.89;3767.06
USDCOP:CUR;07/03/2022;3826.01;3826.01;3794.51;3809.01
USDCOP:CUR;04/03/2022;3755.45;3826.01;3751.69;3826.01
USDCOP:CUR;03/03/2022;3834.01;3834.01;3741.61;3755.45
USDCOP:CUR;02/03/2022;3879.01;3886.01;3830.18;3834.01
USDCOP:CUR;01/03/2022;3933.01;3943.01;3876.56;3879.01
USDCOP:CUR;28/02/2022;3909.55;3939.01;3890.21;3933.01
USDCOP:CUR;25/02/2022;3923.01;3923.01;3896.01;3909.55
USDCOP:CUR;24/02/2022;3909.01;3975.01;3906.52;3923.01
USDCOP:CUR;23/02/2022;3926.01;3926.01;3900.01;3909.01
USDCOP:CUR;22/02/2022;3931.01;3936.01;3921.01;3926.01
USDCOP:CUR;21/02/2022;3928.01;3935.01;3928.01;3931.01
USDCOP:CUR;18/02/2022;3930.35;3935.37;3915.31;3928.01
