Symbol;Date;Open;High;Low;Close
USDJMD:CUR;10/05/2022;154.09;154.09;154.09;154.09
USDJMD:CUR;09/05/2022;153.31;153.31;153.16;153.16
USDJMD:CUR;06/05/2022;153.23;153.63;153.23;153.63
USDJMD:CUR;05/05/2022;153.74;153.78;153;153.78
USDJMD:CUR;04/05/2022;153.54;153.63;153.39;153.39
USDJMD:CUR;03/05/2022;153.59;153.59;153;153
USDJMD:CUR;02/05/2022;153.63;153.63;153;153
USDJMD:CUR;29/04/2022;153.98;153.98;153;153.78
USDJMD:CUR;28/04/2022;153.72;153.72;153;153
USDJMD:CUR;27/04/2022;153.67;153.67;153.58;153.58
USDJMD:CUR;26/04/2022;153.82;153.82;153;153.73
USDJMD:CUR;25/04/2022;153.76;153.76;153;153
USDJMD:CUR;22/04/2022;154.25;154.25;153.85;153.85
USDJMD:CUR;21/04/2022;153.98;153.98;153;153
USDJMD:CUR;20/04/2022;153.94;154;153.79;154
USDJMD:CUR;19/04/2022;152.93;152.93;152;152
USDJMD:CUR;18/04/2022;153.22;153.22;153;153.07
USDJMD:CUR;15/04/2022;153.32;153.32;153;153
USDJMD:CUR;14/04/2022;153.83;153.83;153;153.43
USDJMD:CUR;13/04/2022;153.84;153.84;153;153
USDJMD:CUR;12/04/2022;153.87;153.87;152.77;153.25
USDJMD:CUR;11/04/2022;153.17;153.17;152;152.77
USDJMD:CUR;08/04/2022;153.15;153.32;153;153.32
USDJMD:CUR;07/04/2022;153.09;153.09;151;152
USDJMD:CUR;06/04/2022;152.63;152.63;151;151
USDJMD:CUR;05/04/2022;152.47;152.47;152;152
USDJMD:CUR;04/04/2022;152.68;152.68;152.28;152.28
USDJMD:CUR;01/04/2022;152.83;152.83;152.58;152.58
USDJMD:CUR;31/03/2022;152.89;153;152;152
USDJMD:CUR;30/03/2022;152.91;152.91;152;152
USDJMD:CUR;29/03/2022;153;153;153;153
USDJMD:CUR;28/03/2022;152.31;152.8;151;152.8
USDJMD:CUR;25/03/2022;152.25;152.25;151;151
USDJMD:CUR;24/03/2022;151.86;151.86;151;151
USDJMD:CUR;23/03/2022;151.95;152.01;151;152.01
USDJMD:CUR;22/03/2022;151.53;151.53;151;151
USDJMD:CUR;21/03/2022;151;151;151;151
USDJMD:CUR;18/03/2022;151;151;151;151
USDJMD:CUR;17/03/2022;152.05;152.05;152.05;152.05
USDJMD:CUR;16/03/2022;152.13;152.2;152;152.2
USDJMD:CUR;15/03/2022;152.49;152.49;152;152
USDJMD:CUR;14/03/2022;152.26;152.26;152;152
USDJMD:CUR;11/03/2022;152;152.41;152;152.26
USDJMD:CUR;10/03/2022;152.2;152.44;152;152.44
USDJMD:CUR;09/03/2022;153.01;153.01;152;152
USDJMD:CUR;08/03/2022;153.06;153.06;152.64;152.64
USDJMD:CUR;07/03/2022;153;153.16;153;153.16
USDJMD:CUR;04/03/2022;153.26;153.26;153;153.06
USDJMD:CUR;03/03/2022;153.1;153.41;153;153.41
USDJMD:CUR;02/03/2022;153.3;153.78;153;153.25
USDJMD:CUR;01/03/2022;153;153.93;153;153.93
USDJMD:CUR;28/02/2022;154.23;154.23;153.8;153.8
USDJMD:CUR;25/02/2022;154.38;154.38;154;154.09
USDJMD:CUR;24/02/2022;154.69;154.69;154;154
USDJMD:CUR;23/02/2022;154.5;155;154.5;154.84
USDJMD:CUR;22/02/2022;154.63;154.63;154;154
USDJMD:CUR;21/02/2022;154.31;154.31;154.31;154.31
USDJMD:CUR;18/02/2022;155.55;155.55;155.27;155.27
USDJMD:CUR;17/02/2022;156.08;156.08;155.64;155.64
USDJMD:CUR;16/02/2022;156;156.17;156;156.17
USDJMD:CUR;15/02/2022;156.4;156.67;156.35;156.35
USDJMD:CUR;14/02/2022;156.01;156.56;155.99;156.56
USDJMD:CUR;11/02/2022;156.17;156.2;155.49;156.2
USDJMD:CUR;10/02/2022;156;156.33;156;156.33
USDJMD:CUR;09/02/2022;155.49;156.52;155;156.52
USDJMD:CUR;08/02/2022;155.4;155.47;155;155.47
USDJMD:CUR;07/02/2022;155.4;155.72;155;155.56
USDJMD:CUR;04/02/2022;155;155.42;155;155.42
USDJMD:CUR;03/02/2022;155.34;155.68;155;155.66
USDJMD:CUR;02/02/2022;155.48;155.84;155;155.84
USDJMD:CUR;01/02/2022;155;155.5;155;155.5
USDJMD:CUR;31/01/2022;155.59;155.73;154.9;154.9
USDJMD:CUR;28/01/2022;155.75;155.89;155;155.89
USDJMD:CUR;27/01/2022;154.95;155;154.8;155
USDJMD:CUR;26/01/2022;155.11;156;154.95;154.95
USDJMD:CUR;25/01/2022;154.49;154.72;154;154
USDJMD:CUR;24/01/2022;154.41;154.87;154;154.87
USDJMD:CUR;21/01/2022;154.41;154.43;154;154.43
USDJMD:CUR;20/01/2022;154.23;155;154;154.56
USDJMD:CUR;19/01/2022;154;154.2;154;154.05
USDJMD:CUR;18/01/2022;153.45;154.13;153.15;153.98
USDJMD:CUR;17/01/2022;152.64;152.64;152.64;152.64
USDJMD:CUR;14/01/2022;153;154.29;153;154.29
USDJMD:CUR;13/01/2022;153.44;154.03;153.44;153.64
USDJMD:CUR;12/01/2022;153.07;154.18;153;154.18
USDJMD:CUR;11/01/2022;153.28;153.59;153;153.59
USDJMD:CUR;10/01/2022;153.21;153.47;153;153.04
USDJMD:CUR;07/01/2022;153.61;153.61;153;153.46
USDJMD:CUR;06/01/2022;152.91;153.61;152.91;153.49
USDJMD:CUR;05/01/2022;153.07;153.76;152.91;153.76
USDJMD:CUR;04/01/2022;152.94;153.28;152;153.23
USDJMD:CUR;03/01/2022;153.02;153.02;152.94;152.94
USDJMD:CUR;31/12/2021;152.91;152.91;152.75;152.75
USDJMD:CUR;30/12/2021;152.98;153.06;152.91;152.91
USDJMD:CUR;29/12/2021;153.08;153.13;152.9;153.13
USDJMD:CUR;28/12/2021;152.54;152.73;152;152
USDJMD:CUR;27/12/2021;152.54;152.54;152;152
USDJMD:CUR;24/12/2021;152.78;152.78;152;152.56
USDJMD:CUR;23/12/2021;152.84;152.93;152;152.93
USDJMD:CUR;22/12/2021;153.01;153.01;152;152.99
USDJMD:CUR;21/12/2021;153.06;153.06;152.7;152.7
USDJMD:CUR;20/12/2021;153.01;153.21;152;153.21
USDJMD:CUR;17/12/2021;153.24;153.24;152.86;153.16
USDJMD:CUR;16/12/2021;153.29;153.29;153;153.13
USDJMD:CUR;15/12/2021;153.26;153.44;153;153.44
USDJMD:CUR;14/12/2021;153.53;153.53;153;153.41
USDJMD:CUR;13/12/2021;153.59;154;153;153.59
USDJMD:CUR;10/12/2021;153.86;153.86;153;153.59
USDJMD:CUR;09/12/2021;153.94;153.94;153;153.48
USDJMD:CUR;08/12/2021;154.21;154.23;153;153.83
USDJMD:CUR;07/12/2021;154.2;154.31;154;154
USDJMD:CUR;06/12/2021;154.15;154.2;154;154.18
USDJMD:CUR;03/12/2021;154.43;154.43;154;154.04
USDJMD:CUR;02/12/2021;154.43;154.43;153;154.33
