Symbol;Date;Open;High;Low;Close
USDSRD:CUR;10/05/2022;20.735;20.735;20.703;20.703
USDSRD:CUR;09/05/2022;20.808;20.808;20.707;20.707
USDSRD:CUR;06/05/2022;20.876;20.876;20.686;20.717
USDSRD:CUR;05/05/2022;20.71;20.876;20.71;20.77
USDSRD:CUR;04/05/2022;20.663;20.752;20.66;20.752
USDSRD:CUR;03/05/2022;20.683;20.742;20.683;20.742
USDSRD:CUR;02/05/2022;20.748;20.748;20.748;20.748
USDSRD:CUR;29/04/2022;20.69;20.748;20.69;20.748
USDSRD:CUR;28/04/2022;20.691;20.742;20.69;20.69
USDSRD:CUR;27/04/2022;20.709;20.709;20.67;20.684
USDSRD:CUR;26/04/2022;20.607;20.614;20.604;20.614
USDSRD:CUR;25/04/2022;20.61;20.69;20.61;20.63
USDSRD:CUR;22/04/2022;20.573;20.598;20.573;20.598
USDSRD:CUR;21/04/2022;20.705;20.705;20.632;20.638
USDSRD:CUR;20/04/2022;20.645;20.645;20.599;20.599
USDSRD:CUR;19/04/2022;20.591;20.715;20.591;20.634
USDSRD:CUR;18/04/2022;20.598;20.598;20.598;20.598
USDSRD:CUR;15/04/2022;20.598;20.598;20.598;20.598
USDSRD:CUR;14/04/2022;20.598;20.631;20.598;20.598
USDSRD:CUR;13/04/2022;20.54;20.579;20.54;20.579
USDSRD:CUR;12/04/2022;20.601;20.716;20.601;20.685
USDSRD:CUR;11/04/2022;20.558;20.576;20.555;20.576
USDSRD:CUR;08/04/2022;20.616;20.616;20.567;20.567
USDSRD:CUR;07/04/2022;20.558;20.559;20.555;20.555
USDSRD:CUR;06/04/2022;20.592;20.724;20.592;20.66
USDSRD:CUR;05/04/2022;20.685;20.685;20.6;20.6
USDSRD:CUR;04/04/2022;20.593;20.647;20.581;20.581
USDSRD:CUR;01/04/2022;20.646;20.742;20.614;20.742
USDSRD:CUR;31/03/2022;20.66;20.66;20.547;20.547
USDSRD:CUR;30/03/2022;20.564;20.6;20.564;20.576
USDSRD:CUR;29/03/2022;20.555;20.625;20.555;20.625
USDSRD:CUR;28/03/2022;20.629;20.629;20.576;20.576
USDSRD:CUR;25/03/2022;20.586;20.586;20.581;20.581
USDSRD:CUR;24/03/2022;20.7;20.7;20.611;20.657
USDSRD:CUR;23/03/2022;20.739;20.739;20.61;20.732
USDSRD:CUR;22/03/2022;20.56;20.563;20.556;20.556
USDSRD:CUR;21/03/2022;20.62;20.744;20.573;20.744
USDSRD:CUR;18/03/2022;20.539;20.539;20.539;20.539
USDSRD:CUR;17/03/2022;20.484;20.568;20.484;20.539
USDSRD:CUR;16/03/2022;20.494;20.511;20.494;20.511
USDSRD:CUR;15/03/2022;20.459;20.494;20.459;20.494
USDSRD:CUR;14/03/2022;20.464;20.503;20.464;20.468
USDSRD:CUR;11/03/2022;20.41;20.526;20.41;20.526
USDSRD:CUR;10/03/2022;20.488;20.531;20.478;20.531
USDSRD:CUR;09/03/2022;20.458;20.578;20.458;20.518
USDSRD:CUR;08/03/2022;20.372;20.461;20.372;20.461
USDSRD:CUR;07/03/2022;20.407;20.535;20.404;20.535
USDSRD:CUR;04/03/2022;20.315;20.6;20.315;20.6
USDSRD:CUR;03/03/2022;20.314;20.364;20.314;20.364
USDSRD:CUR;02/03/2022;20.329;20.362;20.329;20.362
USDSRD:CUR;01/03/2022;20.417;20.417;20.327;20.327
USDSRD:CUR;28/02/2022;20.264;20.416;20.264;20.416
USDSRD:CUR;25/02/2022;20.359;20.584;20.359;20.539
USDSRD:CUR;24/02/2022;20.502;20.636;20.502;20.582
USDSRD:CUR;23/02/2022;20.538;20.55;20.527;20.55
USDSRD:CUR;22/02/2022;20.532;20.57;20.53;20.57
