Symbol;Date;Open;High;Low;Close
USDVES:CUR;09/05/2022;4.5727;4.5727;4.5727;4.5727
USDVES:CUR;06/05/2022;4.5649;4.5649;4.5649;4.5649
USDVES:CUR;05/05/2022;4.5491;4.5491;4.5491;4.5491
USDVES:CUR;04/05/2022;4.5359;4.5359;4.5359;4.5359
USDVES:CUR;03/05/2022;4.5114;4.5114;4.5114;4.5114
USDVES:CUR;02/05/2022;4.4958;4.4958;4.4958;4.4958
USDVES:CUR;29/04/2022;4.4853;4.4853;4.4853;4.4853
USDVES:CUR;28/04/2022;4.4755;4.4755;4.4755;4.4755
USDVES:CUR;27/04/2022;4.4552;4.4552;4.4552;4.4552
USDVES:CUR;26/04/2022;4.4379;4.4379;4.4379;4.4379
USDVES:CUR;25/04/2022;4.4278;4.4278;4.4278;4.4278
USDVES:CUR;22/04/2022;4.4264;4.4264;4.4264;4.4264
USDVES:CUR;21/04/2022;4.4267;4.4267;4.4267;4.4267
USDVES:CUR;20/04/2022;4.4338;4.4338;4.4338;4.4338
USDVES:CUR;19/04/2022;4.4331;4.4331;4.4331;4.4331
USDVES:CUR;18/04/2022;4.4331;4.4331;4.4331;4.4331
USDVES:CUR;15/04/2022;4.4263;4.4263;4.4263;4.4263
USDVES:CUR;14/04/2022;4.4263;4.4263;4.4263;4.4263
USDVES:CUR;13/04/2022;4.4263;4.4263;4.4263;4.4263
USDVES:CUR;12/04/2022;4.4238;4.4238;4.4238;4.4238
USDVES:CUR;11/04/2022;4.4137;4.4137;4.4137;4.4137
USDVES:CUR;08/04/2022;4.4111;4.4111;4.4111;4.4111
USDVES:CUR;07/04/2022;4.4079;4.4079;4.4079;4.4079
USDVES:CUR;06/04/2022;4.4014;4.4014;4.4014;4.4014
USDVES:CUR;05/04/2022;4.4078;4.4078;4.4078;4.4078
USDVES:CUR;04/04/2022;4.4015;4.4015;4.4015;4.4015
USDVES:CUR;01/04/2022;4.3972;4.3972;4.3972;4.3972
USDVES:CUR;31/03/2022;4.3695;4.3695;4.3695;4.3695
USDVES:CUR;30/03/2022;4.3662;4.3662;4.3662;4.3662
USDVES:CUR;29/03/2022;4.3589;4.3589;4.3589;4.3589
USDVES:CUR;28/03/2022;4.3584;4.3584;4.3584;4.3584
USDVES:CUR;25/03/2022;4.331;4.331;4.331;4.331
USDVES:CUR;24/03/2022;4.331;4.331;4.331;4.331
USDVES:CUR;23/03/2022;4.3161;4.3161;4.3161;4.3161
USDVES:CUR;22/03/2022;4.2983;4.2983;4.2983;4.2983
USDVES:CUR;21/03/2022;4.2873;4.2873;4.2873;4.2873
USDVES:CUR;18/03/2022;4.298;4.298;4.298;4.298
USDVES:CUR;17/03/2022;4.2843;4.2843;4.2843;4.2843
USDVES:CUR;16/03/2022;4.2797;4.2797;4.2797;4.2797
USDVES:CUR;15/03/2022;4.2317;4.259;4.2317;4.259
USDVES:CUR;14/03/2022;4.2127;4.2127;4.2127;4.2127
USDVES:CUR;11/03/2022;4.2127;4.2127;4.2127;4.2127
USDVES:CUR;10/03/2022;4.3196;4.3196;4.3196;4.3196
USDVES:CUR;09/03/2022;4.3169;4.3169;4.3169;4.3169
USDVES:CUR;08/03/2022;4.3212;4.3212;4.3212;4.3212
USDVES:CUR;07/03/2022;4.3194;4.3194;4.3194;4.3194
USDVES:CUR;04/03/2022;4.3158;4.3158;4.3158;4.3158
USDVES:CUR;03/03/2022;4.3575;4.3575;4.3575;4.3575
USDVES:CUR;02/03/2022;4.3568;4.3568;4.3568;4.3568
USDVES:CUR;01/03/2022;4.3749;4.3749;4.3749;4.3749
USDVES:CUR;28/02/2022;4.3749;4.3749;4.3749;4.3749
USDVES:CUR;25/02/2022;4.3749;4.3749;4.3749;4.3749
USDVES:CUR;24/02/2022;4.3695;4.3695;4.3695;4.3695
USDVES:CUR;23/02/2022;4.3769;4.3769;4.3769;4.3769
USDVES:CUR;22/02/2022;4.3318;4.3318;4.3318;4.3318
USDVES:CUR;21/02/2022;4.3968;4.3968;4.3968;4.3968
USDVES:CUR;18/02/2022;4.4097;4.4097;4.4097;4.4097
USDVES:CUR;17/02/2022;4.3922;4.3922;4.3922;4.3922
USDVES:CUR;16/02/2022;4.4258;4.4258;4.4258;4.4258
USDVES:CUR;15/02/2022;4.4301;4.4301;4.4301;4.4301
USDVES:CUR;14/02/2022;4.4299;4.4299;4.4299;4.4299
USDVES:CUR;11/02/2022;4.4525;4.4525;4.4525;4.4525
USDVES:CUR;10/02/2022;4.454;4.454;4.454;4.454
USDVES:CUR;09/02/2022;4.4795;4.4795;4.4795;4.4795
USDVES:CUR;08/02/2022;4.483;4.483;4.483;4.483
USDVES:CUR;07/02/2022;4.4955;4.4955;4.4955;4.4955
USDVES:CUR;04/02/2022;4.5106;4.5106;4.5106;4.5106
USDVES:CUR;03/02/2022;4.515;4.515;4.515;4.515
USDVES:CUR;02/02/2022;4.5135;4.5135;4.5135;4.5135
USDVES:CUR;01/02/2022;4.5162;4.5162;4.5162;4.5162
USDVES:CUR;31/01/2022;4.5263;4.5263;4.5263;4.5263
USDVES:CUR;28/01/2022;4.5378;4.5378;4.5378;4.5378
USDVES:CUR;27/01/2022;4.5642;4.5642;4.5642;4.5642
USDVES:CUR;26/01/2022;4.5722;4.5722;4.5722;4.5722
USDVES:CUR;25/01/2022;4.5796;4.5796;4.5796;4.5796
USDVES:CUR;24/01/2022;4.5765;4.5765;4.5765;4.5765
USDVES:CUR;21/01/2022;4.5955;4.5955;4.5955;4.5955
USDVES:CUR;20/01/2022;4.604;4.604;4.604;4.604
USDVES:CUR;19/01/2022;4.6249;4.6249;4.6249;4.6249
USDVES:CUR;18/01/2022;4.6178;4.6178;4.6178;4.6178
USDVES:CUR;17/01/2022;4.62;4.62;4.62;4.62
USDVES:CUR;14/01/2022;4.62;4.62;4.62;4.62
USDVES:CUR;13/01/2022;4.6243;4.6243;4.6243;4.6243
USDVES:CUR;12/01/2022;4.6264;4.6264;4.6264;4.6264
USDVES:CUR;11/01/2022;4.6327;4.6327;4.6327;4.6327
USDVES:CUR;06/01/2022;4.6105;4.6105;4.6105;4.6105
USDVES:CUR;05/01/2022;4.5886;4.5886;4.5886;4.5886
USDVES:CUR;04/01/2022;4.5924;4.5924;4.5924;4.5924
USDVES:CUR;03/01/2022;4.5762;4.5762;4.5762;4.5762
USDVES:CUR;31/12/2021;4.5857;4.5857;4.5857;4.5857
USDVES:CUR;30/12/2021;4.5857;4.5857;4.5857;4.5857
