Symbol;Date;Open;High;Low;Close
USDARS:CUR;10/05/2022;116.88;116.93;116.75;116.93
USDARS:CUR;09/05/2022;116.27;116.75;116.27;116.75
USDARS:CUR;06/05/2022;115.89;116.3;115.89;116.18
USDARS:CUR;05/05/2022;115.89;116.16;115.89;116.15
USDARS:CUR;04/05/2022;115.84;116.02;115.75;116.01
USDARS:CUR;03/05/2022;115.73;115.88;115.61;115.87
USDARS:CUR;02/05/2022;115.19;115.8;115.19;115.73
USDARS:CUR;29/04/2022;115.06;115.32;115.06;115.31
USDARS:CUR;28/04/2022;114.91;115.18;114.91;115.18
USDARS:CUR;27/04/2022;114.57;115.04;114.57;115.03
USDARS:CUR;26/04/2022;114.68;114.84;114.57;114.84
USDARS:CUR;25/04/2022;114.11;114.71;114.11;114.68
USDARS:CUR;22/04/2022;113.97;114.24;113.97;114.12
USDARS:CUR;21/04/2022;113.85;114.11;113.85;114.08
USDARS:CUR;20/04/2022;113.67;113.97;113.67;113.96
USDARS:CUR;19/04/2022;113.61;113.79;113.61;113.78
USDARS:CUR;18/04/2022;112.95;113.68;112.95;113.61
USDARS:CUR;15/04/2022;112.89;112.89;112.89;112.89
USDARS:CUR;14/04/2022;112.84;112.9;112.81;112.81
USDARS:CUR;13/04/2022;112.65;112.95;112.65;112.95
USDARS:CUR;12/04/2022;112.47;112.76;112.46;112.65
USDARS:CUR;11/04/2022;112.04;112.6;112.04;112.47
USDARS:CUR;08/04/2022;111.97;112.16;111.86;112.15
USDARS:CUR;07/04/2022;111.83;111.98;111.59;111.97
USDARS:CUR;06/04/2022;111.68;111.84;111.59;111.83
USDARS:CUR;05/04/2022;111.44;111.72;111.44;111.69
USDARS:CUR;04/04/2022;111.01;111.57;111.01;111.57
USDARS:CUR;01/04/2022;110.89;111.12;110.89;111.12
USDARS:CUR;31/03/2022;110.98;111;110.97;111
USDARS:CUR;30/03/2022;110.8;110.93;110.8;110.88
USDARS:CUR;29/03/2022;110.78;110.82;110.78;110.8
USDARS:CUR;28/03/2022;110.06;110.7;110.06;110.68
USDARS:CUR;25/03/2022;110.06;110.39;110.05;110.38
USDARS:CUR;24/03/2022;110.06;110.12;110.06;110.12
USDARS:CUR;23/03/2022;110.06;110.18;110.06;110.17
USDARS:CUR;22/03/2022;109.96;110.07;109.96;110.06
USDARS:CUR;21/03/2022;109.66;110;109.66;109.96
USDARS:CUR;18/03/2022;109.51;109.67;109.51;109.67
USDARS:CUR;17/03/2022;109.3;109.52;109.3;109.51
USDARS:CUR;16/03/2022;109.26;109.42;109.26;109.41
USDARS:CUR;15/03/2022;109.19;109.31;109.19;109.2
USDARS:CUR;14/03/2022;108.77;109.24;108.77;109.19
USDARS:CUR;11/03/2022;108.88;108.88;108.69;108.77
USDARS:CUR;10/03/2022;108.69;108.79;108.69;108.77
USDARS:CUR;09/03/2022;108.66;108.69;108.36;108.69
USDARS:CUR;08/03/2022;108.44;108.55;108.36;108.55
USDARS:CUR;07/03/2022;108.44;108.46;108.44;108.44
USDARS:CUR;04/03/2022;107.82;108.17;107.82;108.02
USDARS:CUR;03/03/2022;107.88;108.04;107.88;108.03
USDARS:CUR;02/03/2022;107.44;107.95;107.44;107.82
USDARS:CUR;01/03/2022;107.39;107.39;107.33;107.39
USDARS:CUR;28/02/2022;107.26;107.39;107.26;107.39
USDARS:CUR;25/02/2022;107.26;107.44;107.26;107.44
USDARS:CUR;24/02/2022;107.17;107.41;107.17;107.37
USDARS:CUR;23/02/2022;107.08;107.32;107.08;107.28
USDARS:CUR;22/02/2022;107.15;107.19;107.03;107.19
USDARS:CUR;21/02/2022;106.78;107.06;106.78;107.06
USDARS:CUR;18/02/2022;106.56;106.78;106.56;106.78
USDARS:CUR;17/02/2022;106.46;106.67;106.45;106.67
USDARS:CUR;16/02/2022;106.46;106.58;106.46;106.46
USDARS:CUR;15/02/2022;106.25;106.47;106.25;106.35
USDARS:CUR;14/02/2022;106;106.43;106;106.25
USDARS:CUR;11/02/2022;106.01;106.14;105.7;106.14
USDARS:CUR;10/02/2022;105.99;106.01;105.99;106.01
USDARS:CUR;09/02/2022;105.7;105.91;105.7;105.88
USDARS:CUR;08/02/2022;105.74;105.8;105.66;105.8
USDARS:CUR;07/02/2022;105.67;105.7;105.56;105.57
USDARS:CUR;04/02/2022;105.38;105.41;105.3;105.3
USDARS:CUR;03/02/2022;105;105.31;105;105.27
USDARS:CUR;02/02/2022;104.9;105.21;104.9;105.15
USDARS:CUR;01/02/2022;105.07;105.14;105.07;105.11
USDARS:CUR;31/01/2022;104.83;105.02;104.73;105
USDARS:CUR;28/01/2022;104.77;104.83;104.73;104.83
USDARS:CUR;27/01/2022;104.67;104.76;104.57;104.75
USDARS:CUR;26/01/2022;104.61;104.7;104.41;104.7
USDARS:CUR;25/01/2022;104.47;104.62;104.24;104.61
USDARS:CUR;24/01/2022;104.24;104.54;104.24;104.42
USDARS:CUR;21/01/2022;104.17;104.36;104.17;104.34
USDARS:CUR;20/01/2022;104.09;104.31;104.09;104.21
USDARS:CUR;19/01/2022;104.16;104.25;104.14;104.14
USDARS:CUR;18/01/2022;103.96;104.19;103.96;104.06
USDARS:CUR;17/01/2022;104.02;104.02;104.02;104.02
USDARS:CUR;14/01/2022;103.79;103.87;103.79;103.84
USDARS:CUR;13/01/2022;103.66;103.76;103.5;103.76
USDARS:CUR;12/01/2022;103.51;103.66;103.46;103.66
USDARS:CUR;11/01/2022;103.57;103.58;103.46;103.46
USDARS:CUR;10/01/2022;103.18;103.52;103.18;103.45
USDARS:CUR;07/01/2022;103.04;103.29;103.04;103.28
USDARS:CUR;06/01/2022;103.09;103.23;103.04;103.22
USDARS:CUR;05/01/2022;102.97;103.15;102.97;103.04
USDARS:CUR;04/01/2022;102.95;103.09;102.9;103.09
USDARS:CUR;03/01/2022;103;103.04;102.63;102.9
USDARS:CUR;31/12/2021;102.63;102.68;102.63;102.68
USDARS:CUR;30/12/2021;102.58;102.76;102.57;102.68
USDARS:CUR;29/12/2021;102.59;102.69;102.5;102.63
USDARS:CUR;28/12/2021;102.45;102.61;102.45;102.6
USDARS:CUR;27/12/2021;102.2;102.58;102.2;102.54
USDARS:CUR;24/12/2021;102.27;102.27;102.2;102.25
USDARS:CUR;23/12/2021;102.17;102.34;102.17;102.21
USDARS:CUR;22/12/2021;102.12;102.27;102.12;102.27
USDARS:CUR;21/12/2021;102.02;102.24;102.02;102.12
USDARS:CUR;20/12/2021;101.85;102.15;101.85;102.12
USDARS:CUR;17/12/2021;101.77;101.96;101.77;101.86
USDARS:CUR;16/12/2021;101.72;101.91;101.66;101.81
USDARS:CUR;15/12/2021;101.66;101.83;101.66;101.82
USDARS:CUR;14/12/2021;101.6;101.78;101.6;101.66
USDARS:CUR;13/12/2021;101.44;101.74;101.44;101.6
USDARS:CUR;10/12/2021;101.4;101.59;101.4;101.49
USDARS:CUR;09/12/2021;101.46;101.54;101.4;101.52
USDARS:CUR;08/12/2021;101.31;101.36;101.31;101.31
USDARS:CUR;07/12/2021;101.34;101.41;101.18;101.41
