Symbol;Date;Open;High;Low;Close
USDCRC:CUR;10/05/2022;666.33;666.33;665;665.54999
USDCRC:CUR;09/05/2022;664.43;666.33;663.57;666.33
USDCRC:CUR;06/05/2022;662.825;665.84;662.51;663.57
USDCRC:CUR;05/05/2022;662.825;662.825;662;662.74
USDCRC:CUR;04/05/2022;664.25;664.25;660.03;662.825
USDCRC:CUR;03/05/2022;664.25;664.25;662;664.25
USDCRC:CUR;02/05/2022;659.775;664.25;659.775;664.25
USDCRC:CUR;29/04/2022;659.775;663.05;659.27;659.775
USDCRC:CUR;28/04/2022;659.775;663.06;659.775;659.775
USDCRC:CUR;27/04/2022;659.83;661.5;659.4;659.775
USDCRC:CUR;26/04/2022;659.83;659.83;655.48;659.83
USDCRC:CUR;25/04/2022;655.1;659.83;655.1;659.83
USDCRC:CUR;22/04/2022;656.075;656.56;653.8;656.075
USDCRC:CUR;21/04/2022;651.175;656.075;650.1;656.075
USDCRC:CUR;20/04/2022;651.175;651.88;650;651.175
USDCRC:CUR;19/04/2022;650.175;651.175;647.68;651.175
USDCRC:CUR;18/04/2022;649.925;650.52;647.68;650.175
USDCRC:CUR;15/04/2022;649.925;649.925;647;649.925
USDCRC:CUR;14/04/2022;649.925;649.925;647;649.925
USDCRC:CUR;13/04/2022;649.925;650.86;649;649.925
USDCRC:CUR;12/04/2022;654.825;654.825;649.925;649.925
USDCRC:CUR;11/04/2022;654.825;654.825;650;654.825
USDCRC:CUR;08/04/2022;655.375;657.36;654;654.825
USDCRC:CUR;07/04/2022;655.375;657.36;654.59;655.375
USDCRC:CUR;06/04/2022;653.57;655.375;653.57;655.375
USDCRC:CUR;05/04/2022;657.07;660.02;653.57;653.57
USDCRC:CUR;04/04/2022;663.06;663.06;657.07;657.07
USDCRC:CUR;01/04/2022;653.92;663.06;653.92;662.07
USDCRC:CUR;31/03/2022;653.92;660.48;653.92;653.92
USDCRC:CUR;30/03/2022;653.92;657.28;653.9;653.92
USDCRC:CUR;29/03/2022;653.57;655.13;653.57;653.92
USDCRC:CUR;28/03/2022;652.53;654.62;652.53;653.92
USDCRC:CUR;25/03/2022;650.82;653.92;650.24;653.92
USDCRC:CUR;24/03/2022;650.82;650.94;650;650.82
USDCRC:CUR;23/03/2022;648.7;650.82;644.51;650.82
USDCRC:CUR;22/03/2022;645.85;648.7;644;648.7
USDCRC:CUR;21/03/2022;642.28;645.85;642.28;645.85
