Symbol;Date;Open;High;Low;Close
USDDOP:CUR;10/05/2022;55.05;55.05;54.98;55.03
USDDOP:CUR;09/05/2022;55.01;55.22;54.9;55.05
USDDOP:CUR;06/05/2022;55.06;55.09;54.77;54.91
USDDOP:CUR;05/05/2022;54.6;55.07;54.6;55.06
USDDOP:CUR;04/05/2022;54.97;54.97;54.74;54.85
USDDOP:CUR;03/05/2022;54.92;54.97;54.7;54.97
USDDOP:CUR;02/05/2022;54.9;55.01;54.74;54.97
USDDOP:CUR;29/04/2022;55.01;55.01;54.61;55.01
USDDOP:CUR;28/04/2022;55;55.04;54.8;55.01
USDDOP:CUR;27/04/2022;54.96;55.01;54.7;55
USDDOP:CUR;26/04/2022;54.99;55;54.84;54.96
USDDOP:CUR;25/04/2022;54.99;55;54.84;54.99
USDDOP:CUR;22/04/2022;54.92;55.12;54.64;54.85
USDDOP:CUR;21/04/2022;54.95;54.95;54.71;54.92
USDDOP:CUR;20/04/2022;54.95;54.95;54.68;54.95
USDDOP:CUR;19/04/2022;54.94;54.95;54.65;54.95
USDDOP:CUR;18/04/2022;55.15;55.15;54.8;54.84
USDDOP:CUR;15/04/2022;54.94;54.95;54.8;54.95
USDDOP:CUR;14/04/2022;54.95;54.95;54.67;54.82
USDDOP:CUR;13/04/2022;54.87;54.95;54.56;54.95
USDDOP:CUR;12/04/2022;54.93;54.93;54.7;54.87
USDDOP:CUR;11/04/2022;54.95;54.95;54.62;54.93
USDDOP:CUR;08/04/2022;54.96;54.96;54.61;54.95
USDDOP:CUR;07/04/2022;54.94;54.96;54.51;54.85
USDDOP:CUR;06/04/2022;54.9;54.95;54.52;54.94
USDDOP:CUR;05/04/2022;54.93;54.93;54.59;54.9
USDDOP:CUR;04/04/2022;54.92;54.94;54.67;54.93
USDDOP:CUR;01/04/2022;54.95;54.96;54.76;54.92
USDDOP:CUR;31/03/2022;54.81;54.97;54.81;54.95
USDDOP:CUR;30/03/2022;54.88;54.96;54.71;54.96
USDDOP:CUR;29/03/2022;54.87;54.91;54.78;54.88
USDDOP:CUR;28/03/2022;54.89;54.97;54.57;54.87
USDDOP:CUR;25/03/2022;54.78;54.89;54.49;54.89
USDDOP:CUR;24/03/2022;54.78;54.78;54.57;54.78
USDDOP:CUR;23/03/2022;54.81;54.81;54.7;54.78
USDDOP:CUR;22/03/2022;54.87;54.91;54.6;54.81
USDDOP:CUR;21/03/2022;54.81;54.87;54.67;54.87
USDDOP:CUR;18/03/2022;54.78;54.87;54.58;54.87
USDDOP:CUR;17/03/2022;54.8;54.84;54.6;54.84
USDDOP:CUR;16/03/2022;54.75;54.81;54.7;54.8
USDDOP:CUR;15/03/2022;54.8;54.8;54.65;54.75
USDDOP:CUR;14/03/2022;54.77;54.97;54.62;54.8
USDDOP:CUR;11/03/2022;54.78;54.8;54.46;54.72
USDDOP:CUR;10/03/2022;54.77;54.78;54.46;54.72
USDDOP:CUR;09/03/2022;54.79;54.8;54.54;54.77
USDDOP:CUR;08/03/2022;54.93;54.96;54.54;54.79
USDDOP:CUR;07/03/2022;54.88;55.15;54.8;54.8
USDDOP:CUR;04/03/2022;54.7;54.91;54.45;54.88
USDDOP:CUR;03/03/2022;54.52;54.7;54.35;54.7
USDDOP:CUR;02/03/2022;54.36;55.12;54.22;54.42
USDDOP:CUR;01/03/2022;54.3;54.41;54.22;54.36
USDDOP:CUR;28/02/2022;54.47;55.21;54.3;54.41
USDDOP:CUR;25/02/2022;55.88;55.89;54.47;54.47
USDDOP:CUR;24/02/2022;55.47;56.06;55.09;55.88
USDDOP:CUR;23/02/2022;55.86;56.14;55.4;55.47
USDDOP:CUR;22/02/2022;56.56;56.67;55.64;55.86
USDDOP:CUR;21/02/2022;56.38;56.56;56.29;56.56
USDDOP:CUR;18/02/2022;56.58;56.58;56.2;56.2
USDDOP:CUR;17/02/2022;56.64;56.64;56.38;56.58
USDDOP:CUR;16/02/2022;56.69;56.73;56.5;56.64
USDDOP:CUR;15/02/2022;56.89;56.89;56.54;56.69
USDDOP:CUR;14/02/2022;57.06;57.11;56.7;56.77
USDDOP:CUR;11/02/2022;57.12;57.14;56.85;56.97
USDDOP:CUR;10/02/2022;57.25;57.25;57;57.12
USDDOP:CUR;09/02/2022;57.31;57.31;57.03;57.25
USDDOP:CUR;08/02/2022;57.45;57.47;57.13;57.2
USDDOP:CUR;07/02/2022;57.51;57.59;57.2;57.29
