Symbol;Date;Open;High;Low;Close
USDGTQ:CUR;10/05/2022;7.66;7.669;7.658;7.658
USDGTQ:CUR;09/05/2022;7.668;7.668;7.652;7.66
USDGTQ:CUR;06/05/2022;7.66;7.671;7.652;7.66
USDGTQ:CUR;05/05/2022;7.66;7.671;7.652;7.671
USDGTQ:CUR;04/05/2022;7.66;7.666;7.652;7.66
USDGTQ:CUR;03/05/2022;7.66;7.665;7.652;7.66
USDGTQ:CUR;02/05/2022;7.66;7.665;7.652;7.66
USDGTQ:CUR;29/04/2022;7.645;7.665;7.643;7.66
USDGTQ:CUR;28/04/2022;7.645;7.658;7.637;7.645
USDGTQ:CUR;27/04/2022;7.643;7.654;7.635;7.645
USDGTQ:CUR;26/04/2022;7.643;7.651;7.635;7.643
USDGTQ:CUR;25/04/2022;7.653;7.653;7.635;7.643
USDGTQ:CUR;22/04/2022;7.648;7.654;7.635;7.643
USDGTQ:CUR;21/04/2022;7.648;7.656;7.64;7.648
USDGTQ:CUR;20/04/2022;7.65;7.656;7.642;7.648
USDGTQ:CUR;19/04/2022;7.645;7.658;7.637;7.65
USDGTQ:CUR;18/04/2022;7.645;7.658;7.637;7.645
USDGTQ:CUR;15/04/2022;7.645;7.659;7.645;7.645
USDGTQ:CUR;14/04/2022;7.645;7.659;7.637;7.645
USDGTQ:CUR;13/04/2022;7.655;7.664;7.645;7.645
USDGTQ:CUR;12/04/2022;7.658;7.665;7.647;7.655
USDGTQ:CUR;11/04/2022;7.66;7.669;7.65;7.658
USDGTQ:CUR;08/04/2022;7.665;7.669;7.657;7.66
USDGTQ:CUR;07/04/2022;7.665;7.675;7.657;7.665
USDGTQ:CUR;06/04/2022;7.665;7.675;7.662;7.665
USDGTQ:CUR;05/04/2022;7.67;7.675;7.662;7.665
USDGTQ:CUR;04/04/2022;7.679;7.679;7.66;7.67
USDGTQ:CUR;01/04/2022;7.67;7.68;7.662;7.668
USDGTQ:CUR;31/03/2022;7.67;7.681;7.67;7.67
USDGTQ:CUR;30/03/2022;7.67;7.681;7.67;7.67
USDGTQ:CUR;29/03/2022;7.668;7.679;7.668;7.67
USDGTQ:CUR;28/03/2022;7.682;7.682;7.668;7.668
USDGTQ:CUR;25/03/2022;7.679;7.684;7.67;7.678
USDGTQ:CUR;24/03/2022;7.678;7.684;7.67;7.679
USDGTQ:CUR;23/03/2022;7.68;7.685;7.678;7.678
USDGTQ:CUR;22/03/2022;7.68;7.688;7.68;7.68
USDGTQ:CUR;21/03/2022;7.692;7.692;7.68;7.68
USDGTQ:CUR;18/03/2022;7.69;7.694;7.687;7.69
USDGTQ:CUR;17/03/2022;7.69;7.695;7.682;7.69
USDGTQ:CUR;16/03/2022;7.685;7.695;7.685;7.69
USDGTQ:CUR;15/03/2022;7.69;7.698;7.677;7.685
USDGTQ:CUR;14/03/2022;7.701;7.701;7.682;7.69
USDGTQ:CUR;11/03/2022;7.69;7.702;7.682;7.69
USDGTQ:CUR;10/03/2022;7.69;7.702;7.69;7.69
USDGTQ:CUR;09/03/2022;7.69;7.701;7.684;7.69
USDGTQ:CUR;08/03/2022;7.693;7.704;7.687;7.69
USDGTQ:CUR;07/03/2022;7.71;7.711;7.693;7.693
USDGTQ:CUR;04/03/2022;7.7;7.712;7.692;7.705
USDGTQ:CUR;03/03/2022;7.7;7.712;7.7;7.7
USDGTQ:CUR;02/03/2022;7.71;7.713;7.695;7.7
USDGTQ:CUR;01/03/2022;7.71;7.713;7.7;7.71
USDGTQ:CUR;28/02/2022;7.717;7.717;7.692;7.71
USDGTQ:CUR;25/02/2022;7.7;7.717;7.692;7.715
USDGTQ:CUR;24/02/2022;7.695;7.713;7.687;7.7
USDGTQ:CUR;23/02/2022;7.7;7.708;7.692;7.695
USDGTQ:CUR;22/02/2022;7.69;7.708;7.682;7.7
USDGTQ:CUR;21/02/2022;7.7;7.7;7.69;7.69
USDGTQ:CUR;18/02/2022;7.685;7.72;7.677;7.69
USDGTQ:CUR;17/02/2022;7.68;7.72;7.672;7.685
USDGTQ:CUR;16/02/2022;7.68;7.713;7.672;7.68
USDGTQ:CUR;15/02/2022;7.68;7.72;7.665;7.68
USDGTQ:CUR;14/02/2022;7.692;7.72;7.672;7.68
USDGTQ:CUR;11/02/2022;7.68;7.695;7.675;7.68
USDGTQ:CUR;10/02/2022;7.68;7.695;7.68;7.68
USDGTQ:CUR;09/02/2022;7.685;7.692;7.677;7.68
USDGTQ:CUR;08/02/2022;7.69;7.691;7.679;7.685
USDGTQ:CUR;07/02/2022;7.695;7.695;7.681;7.69
USDGTQ:CUR;04/02/2022;7.68;7.695;7.68;7.69
USDGTQ:CUR;03/02/2022;7.68;7.692;7.672;7.68
USDGTQ:CUR;02/02/2022;7.68;7.692;7.667;7.68
USDGTQ:CUR;01/02/2022;7.675;7.69;7.675;7.68
USDGTQ:CUR;31/01/2022;7.675;7.69;7.667;7.675
USDGTQ:CUR;28/01/2022;7.675;7.69;7.668;7.675
USDGTQ:CUR;27/01/2022;7.675;7.686;7.667;7.675
USDGTQ:CUR;26/01/2022;7.686;7.688;7.667;7.685
USDGTQ:CUR;25/01/2022;7.675;7.689;7.667;7.675
USDGTQ:CUR;24/01/2022;7.692;7.692;7.667;7.675
USDGTQ:CUR;21/01/2022;7.69;7.695;7.682;7.685
USDGTQ:CUR;20/01/2022;7.69;7.7;7.682;7.69
USDGTQ:CUR;19/01/2022;7.69;7.704;7.688;7.69
USDGTQ:CUR;18/01/2022;7.69;7.708;7.674;7.69
USDGTQ:CUR;17/01/2022;7.708;7.708;7.69;7.69
USDGTQ:CUR;14/01/2022;7.695;7.708;7.695;7.695
USDGTQ:CUR;13/01/2022;7.7;7.709;7.692;7.695
