Symbol;Date;Open;High;Low;Close
USDHTG:CUR;10/05/2022;106.8495;106.8495;106.8495;106.8495
USDHTG:CUR;09/05/2022;106.8495;108;106.8495;108
USDHTG:CUR;06/05/2022;106.8495;106.8495;106.8495;106.8495
USDHTG:CUR;05/05/2022;106.8495;107;106.8495;107
USDHTG:CUR;04/05/2022;106.8495;107;106.8495;107
USDHTG:CUR;03/05/2022;106;106;106;106
USDHTG:CUR;02/05/2022;106;106;106;106
USDHTG:CUR;29/04/2022;104.7171;106;104.7171;106
USDHTG:CUR;28/04/2022;104.7171;106;104.7171;106
USDHTG:CUR;27/04/2022;104.7171;104.7171;104.7171;104.7171
USDHTG:CUR;26/04/2022;104.7171;106;104.7171;106
USDHTG:CUR;25/04/2022;106.2192;106.2192;106;106
USDHTG:CUR;22/04/2022;106.298;106.298;106;106
USDHTG:CUR;21/04/2022;105.9913;106;105.9913;106
USDHTG:CUR;20/04/2022;105.9913;106;105.9913;106
USDHTG:CUR;19/04/2022;105.8011;106;105.8011;106
USDHTG:CUR;18/04/2022;105.8011;106;105.8011;106
USDHTG:CUR;15/04/2022;105.6941;106;105.6941;106
USDHTG:CUR;14/04/2022;105.3864;107;105.3864;107
USDHTG:CUR;13/04/2022;105.3864;106;105.3864;106
USDHTG:CUR;12/04/2022;105.4554;106;105.4554;106
USDHTG:CUR;11/04/2022;105.8127;106;105.8127;106
USDHTG:CUR;08/04/2022;106.4512;106.4512;106;106
USDHTG:CUR;07/04/2022;104.6051;106;104.6051;106
USDHTG:CUR;06/04/2022;105;105;105;105
USDHTG:CUR;05/04/2022;104.1333;104.1333;104.1333;104.1333
USDHTG:CUR;04/04/2022;104.1333;104.1333;104;104
USDHTG:CUR;01/04/2022;103.8533;103.8533;103.8533;103.8533
USDHTG:CUR;31/03/2022;104;104;104;104
USDHTG:CUR;30/03/2022;104.8572;104.8572;104;104
USDHTG:CUR;29/03/2022;104.8572;104.8572;104;104
USDHTG:CUR;28/03/2022;104.8572;104.8572;104;104
USDHTG:CUR;25/03/2022;103.8113;104;103.8113;104
USDHTG:CUR;24/03/2022;103.8113;104;103.8113;104
USDHTG:CUR;23/03/2022;104;104;103.6031;104
USDHTG:CUR;22/03/2022;102.667;102.667;102.667;102.667
USDHTG:CUR;21/03/2022;102.667;103;102.667;103
USDHTG:CUR;18/03/2022;103.767;104;103.767;104
USDHTG:CUR;17/03/2022;103.1915;103.1915;103.1915;103.1915
USDHTG:CUR;16/03/2022;103.7909;104;103.7909;104
USDHTG:CUR;15/03/2022;103.4033;104;103.4033;104
USDHTG:CUR;14/03/2022;102.0033;103;102.0033;103
USDHTG:CUR;11/03/2022;105.3491;105.3491;104;104
USDHTG:CUR;10/03/2022;104;105.3491;104;105
USDHTG:CUR;09/03/2022;103.6014;103.6014;103.6014;103.6014
USDHTG:CUR;08/03/2022;104.4858;104.4858;104;104
USDHTG:CUR;07/03/2022;103.0166;103.0166;103;103
USDHTG:CUR;04/03/2022;103.0166;103.0166;103;103
USDHTG:CUR;03/03/2022;103.0166;103.0166;103;103
USDHTG:CUR;02/03/2022;103.0166;103.0166;103;103
USDHTG:CUR;01/03/2022;103;103.0166;103;103
USDHTG:CUR;28/02/2022;103.0166;103.0166;103.0166;103.0166
USDHTG:CUR;25/02/2022;102.8414;102.8414;102;102
USDHTG:CUR;24/02/2022;101.9322;103;101.9322;103
USDHTG:CUR;23/02/2022;101.9322;102;101.9322;102
USDHTG:CUR;22/02/2022;102.73;102.73;102;102
USDHTG:CUR;21/02/2022;102.73;102.73;102.73;102.73
USDHTG:CUR;18/02/2022;100.8894;100.8894;100.8894;100.8894
USDHTG:CUR;17/02/2022;101.4171;102;101.4171;102
USDHTG:CUR;16/02/2022;101.4171;102;101.4171;102
USDHTG:CUR;15/02/2022;100.3882;100.3882;100.3882;100.3882
USDHTG:CUR;14/02/2022;100.3882;101;100.3882;101
USDHTG:CUR;11/02/2022;100.8435;101;100.8435;101
USDHTG:CUR;10/02/2022;102.1496;102.1496;101;101
USDHTG:CUR;09/02/2022;102.1496;102.1496;102;102
USDHTG:CUR;08/02/2022;102.1496;102.1496;102;102
USDHTG:CUR;07/02/2022;102.1496;102.1496;102;102
USDHTG:CUR;04/02/2022;100.3982;100.3982;100;100
USDHTG:CUR;03/02/2022;100.3982;101;100.3982;101
USDHTG:CUR;02/02/2022;100.3982;102;100.3982;102
USDHTG:CUR;01/02/2022;100.3982;101;100.3982;101
USDHTG:CUR;31/01/2022;101.0283;101.0283;101;101
USDHTG:CUR;28/01/2022;101.6084;101.6084;101;101
USDHTG:CUR;27/01/2022;101.9095;101.9095;101;101
USDHTG:CUR;26/01/2022;101.9095;101.9095;100;100
USDHTG:CUR;25/01/2022;101.9095;101.9095;100;100
USDHTG:CUR;24/01/2022;101.9095;102;101.9095;102
USDHTG:CUR;21/01/2022;101.156;101.156;101;101
USDHTG:CUR;20/01/2022;101.156;101.156;101;101
USDHTG:CUR;19/01/2022;99.9179;101;99.9179;101
USDHTG:CUR;18/01/2022;99.9179;99.9179;99;99
USDHTG:CUR;17/01/2022;101.3695;101.3695;101.3695;101.3695
USDHTG:CUR;14/01/2022;102.2285;102.2285;100;100
USDHTG:CUR;13/01/2022;100.3781;102;100.3781;102
USDHTG:CUR;12/01/2022;100.3781;100.3781;100;100
USDHTG:CUR;11/01/2022;101.4392;101.4392;99;99
USDHTG:CUR;10/01/2022;101.4392;101.4392;101;101
