Symbol;Date;Open;High;Low;Close
USDMXN:CUR;10/05/2022;20.36178;20.43448;20.27619;20.34675
USDMXN:CUR;09/05/2022;20.00625;20.3995;20.00625;20.36409
USDMXN:CUR;06/05/2022;20.00625;20.2942;20.00625;20.13999
USDMXN:CUR;05/05/2022;20.00625;20.31126;20.0037;20.2332
USDMXN:CUR;04/05/2022;20.27429;20.3055;19.99954;20.05069
USDMXN:CUR;03/05/2022;20.46777;20.47529;20.2635;20.2861
USDMXN:CUR;02/05/2022;20.39575;20.50391;20.34339;20.45881
USDMXN:CUR;29/04/2022;20.39575;20.45359;20.28899;20.41539
USDMXN:CUR;28/04/2022;20.39575;20.63555;20.347;20.43436
USDMXN:CUR;27/04/2022;20.38895;20.5298;20.3232;20.38721
USDMXN:CUR;26/04/2022;20.19533;20.44594;20.1912;20.3824
USDMXN:CUR;25/04/2022;19.99801;20.47577;19.99801;20.22405
USDMXN:CUR;22/04/2022;19.99801;20.3773;19.99801;20.23979
USDMXN:CUR;21/04/2022;19.99801;20.23564;19.97769;20.19478
USDMXN:CUR;20/04/2022;20.04326;20.06802;19.94739;19.9902
USDMXN:CUR;19/04/2022;19.82863;20.08152;19.7604;20.02384
USDMXN:CUR;18/04/2022;19.77326;20.0078;19.77326;19.8152
USDMXN:CUR;15/04/2022;19.77326;19.98232;19.77326;19.95804
USDMXN:CUR;14/04/2022;19.77326;20.0261;19.7313;19.99047
USDMXN:CUR;13/04/2022;19.81645;19.82836;19.7401;19.76192
USDMXN:CUR;12/04/2022;19.90926;19.9456;19.7784;19.8047
USDMXN:CUR;11/04/2022;20.15774;20.15774;19.87999;19.94459
USDMXN:CUR;08/04/2022;20.15774;20.1858;20.02129;20.0296
USDMXN:CUR;07/04/2022;20.15774;20.18799;20.07304;20.15361
USDMXN:CUR;06/04/2022;19.98494;20.1924;19.97476;20.15341
USDMXN:CUR;05/04/2022;19.82498;20.00926;19.76267;19.98259
USDMXN:CUR;04/04/2022;19.8661;19.8671;19.7269;19.8082
USDMXN:CUR;01/04/2022;19.8661;19.92992;19.75242;19.86
USDMXN:CUR;31/03/2022;19.8661;19.96616;19.81668;19.89057
USDMXN:CUR;30/03/2022;19.94619;19.97599;19.8187;19.8838
USDMXN:CUR;29/03/2022;20.10272;20.11294;19.915;19.9671
USDMXN:CUR;28/03/2022;20.18829;20.18829;20.01226;20.08819
USDMXN:CUR;25/03/2022;20.18829;20.18829;19.9109;20.02729
USDMXN:CUR;24/03/2022;20.18829;20.23469;20.0944;20.0983
USDMXN:CUR;23/03/2022;20.27433;20.28569;20.1564;20.22629
USDMXN:CUR;22/03/2022;20.3617;20.4158;20.2528;20.2789
USDMXN:CUR;21/03/2022;20.36595;20.41139;20.27099;20.37298
USDMXN:CUR;18/03/2022;20.6;20.6;20.3537;20.3537
USDMXN:CUR;17/03/2022;20.6;20.66349;20.49954;20.50639
USDMXN:CUR;16/03/2022;20.82;20.846;20.6;20.6476
USDMXN:CUR;15/03/2022;20.9;20.9247;20.8134;20.82
USDMXN:CUR;14/03/2022;20.917;20.9745;20.825;20.9
USDMXN:CUR;11/03/2022;20.93;21.0481;20.84;20.897
USDMXN:CUR;10/03/2022;20.887;21.0591;20.871;20.925
USDMXN:CUR;09/03/2022;21.363;21.375;20.85;20.892
USDMXN:CUR;08/03/2022;21.295;21.4613;21.195;21.369
USDMXN:CUR;07/03/2022;20.93;21.361;20.92;21.3
USDMXN:CUR;04/03/2022;20.6322;20.969;20.629;20.935
USDMXN:CUR;03/03/2022;20.6125;20.751;20.593;20.6336
USDMXN:CUR;02/03/2022;20.632;20.79565;20.57806;20.64929
USDMXN:CUR;01/03/2022;20.51659;20.6756;20.39027;20.6506
USDMXN:CUR;28/02/2022;20.2597;20.61265;20.2597;20.4657
USDMXN:CUR;25/02/2022;20.2597;20.5704;20.2597;20.33349
USDMXN:CUR;24/02/2022;20.2597;20.78082;20.23759;20.58704
USDMXN:CUR;23/02/2022;20.2954;20.2977;20.1564;20.23699
USDMXN:CUR;22/02/2022;20.31209;20.3745;20.2747;20.29339
USDMXN:CUR;21/02/2022;20.263;20.34469;20.24773;20.33849
USDMXN:CUR;18/02/2022;20.263;20.32879;20.263;20.28759
USDMXN:CUR;17/02/2022;20.263;20.34552;20.235;20.3213
USDMXN:CUR;16/02/2022;20.3862;20.40975;20.25499;20.2891
USDMXN:CUR;15/02/2022;20.42421;20.44701;20.35098;20.3969
USDMXN:CUR;14/02/2022;20.5578;20.5694;20.39204;20.42152
USDMXN:CUR;11/02/2022;20.48189;20.63369;20.3672;20.55109
USDMXN:CUR;10/02/2022;20.48189;20.56439;20.35219;20.53046
USDMXN:CUR;09/02/2022;20.61669;20.62039;20.44483;20.48929
USDMXN:CUR;08/02/2022;20.58419;20.68432;20.58419;20.59996
USDMXN:CUR;07/02/2022;20.56476;20.6965;20.56476;20.5946
USDMXN:CUR;04/02/2022;20.54689;20.7858;20.54089;20.6732
USDMXN:CUR;03/02/2022;20.54689;20.6522;20.51819;20.57469
USDMXN:CUR;02/02/2022;20.59083;20.63837;20.48069;20.6058
USDMXN:CUR;01/02/2022;20.7677;20.7677;20.5009;20.54409
USDMXN:CUR;31/01/2022;20.7677;20.8437;20.6002;20.6002
USDMXN:CUR;28/01/2022;20.7334;20.89769;20.7143;20.78759
USDMXN:CUR;27/01/2022;20.7334;20.8092;20.65489;20.77969
USDMXN:CUR;26/01/2022;20.625;20.773;20.55209;20.7147
USDMXN:CUR;25/01/2022;20.6135;20.68779;20.57259;20.6067
USDMXN:CUR;24/01/2022;20.53009;20.68708;20.4353;20.57316
USDMXN:CUR;21/01/2022;20.45439;20.5548;20.4309;20.46199
USDMXN:CUR;20/01/2022;20.45439;20.51819;20.3847;20.49769
USDMXN:CUR;19/01/2022;20.40135;20.52218;20.32729;20.509
USDMXN:CUR;18/01/2022;20.2959;20.44551;20.27795;20.39621
USDMXN:CUR;17/01/2022;20.35858;20.35858;20.2777;20.2887
USDMXN:CUR;14/01/2022;20.35858;20.35869;20.28096;20.2954
USDMXN:CUR;13/01/2022;20.35858;20.4137;20.30389;20.31209
USDMXN:CUR;12/01/2022;20.40239;20.4395;20.32099;20.36119
USDMXN:CUR;11/01/2022;20.5044;20.5044;20.34322;20.40502
USDMXN:CUR;10/01/2022;20.5044;20.52099;20.3535;20.3701
USDMXN:CUR;07/01/2022;20.54089;20.54089;20.35421;20.367
USDMXN:CUR;06/01/2022;20.54089;20.74795;20.4083;20.5107
USDMXN:CUR;05/01/2022;20.5384;20.6051;20.34289;20.57951
USDMXN:CUR;04/01/2022;20.55599;20.63299;20.4153;20.53059
USDMXN:CUR;03/01/2022;20.55599;20.6469;20.41169;20.4958
USDMXN:CUR;31/12/2021;20.55599;20.55599;20.3253;20.4985
USDMXN:CUR;30/12/2021;20.55599;20.6096;20.48399;20.48399
USDMXN:CUR;29/12/2021;20.67797;20.67797;20.54969;20.5741
USDMXN:CUR;28/12/2021;20.71269;20.7201;20.5603;20.66209
USDMXN:CUR;27/12/2021;20.73954;20.74031;20.57889;20.6947
USDMXN:CUR;24/12/2021;20.73954;20.73954;20.57961;20.60059
USDMXN:CUR;23/12/2021;20.73954;20.73954;20.62619;20.6264
USDMXN:CUR;22/12/2021;20.81773;20.8574;20.70039;20.7094
USDMXN:CUR;21/12/2021;20.75889;20.86458;20.70955;20.81789
USDMXN:CUR;20/12/2021;21.1039;21.1039;20.69779;20.75819
USDMXN:CUR;17/12/2021;21.1039;21.1039;20.7;20.8115
USDMXN:CUR;16/12/2021;21.1039;21.1039;20.7658;20.80917
USDMXN:CUR;15/12/2021;20.99069;21.34361;20.99069;21.0261
USDMXN:CUR;14/12/2021;20.99069;21.27938;20.972;21.22879
USDMXN:CUR;13/12/2021;20.9498;21.02327;20.8414;21.0037
USDMXN:CUR;10/12/2021;20.95989;21.052;20.8451;20.8719
USDMXN:CUR;09/12/2021;20.95989;21.0694;20.9185;20.98718
USDMXN:CUR;08/12/2021;21.01849;21.0333;20.8887;20.94149
USDMXN:CUR;07/12/2021;21.22509;21.29669;21.0095;21.01479
USDMXN:CUR;06/12/2021;21.37669;21.37669;21.1748;21.24279
USDMXN:CUR;03/12/2021;21.37669;21.48711;21.16;21.27499
USDMXN:CUR;02/12/2021;21.37669;21.48159;21.2427;21.34219
USDMXN:CUR;01/12/2021;21.4491;21.5041;21.1299;21.4696
USDMXN:CUR;30/11/2021;21.6758;21.83189;21.2898;21.4484
USDMXN:CUR;29/11/2021;21.22769;21.98888;21.22769;21.6692
USDMXN:CUR;26/11/2021;21.22769;22.14819;21.22769;21.882
USDMXN:CUR;25/11/2021;21.22769;21.5949;21.22769;21.56845
USDMXN:CUR;24/11/2021;21.22769;21.5942;21.2091;21.4129
USDMXN:CUR;23/11/2021;20.66329;21.29408;20.66329;21.26659
USDMXN:CUR;22/11/2021;20.66329;21.02374;20.66329;20.99799
USDMXN:CUR;19/11/2021;20.66329;20.88649;20.66329;20.8169
USDMXN:CUR;18/11/2021;20.66329;20.88579;20.6371;20.76759
USDMXN:CUR;17/11/2021;20.7243;20.8008;20.6268;20.65379
USDMXN:CUR;16/11/2021;20.6116;20.84379;20.56119;20.75449
USDMXN:CUR;15/11/2021;20.621;20.67729;20.47179;20.61219
USDMXN:CUR;12/11/2021;20.62034;20.7212;20.45739;20.5153
USDMXN:CUR;11/11/2021;20.62034;20.6875;20.45334;20.63091
USDMXN:CUR;10/11/2021;20.3141;20.6375;20.31229;20.6102
USDMXN:CUR;09/11/2021;20.3141;20.37281;20.25259;20.3237
USDMXN:CUR;08/11/2021;20.59889;20.59889;20.2942;20.33009
USDMXN:CUR;05/11/2021;20.59889;20.63929;20.3169;20.31908
USDMXN:CUR;04/11/2021;20.59889;20.65456;20.49855;20.54747
USDMXN:CUR;03/11/2021;20.82259;20.97005;20.51199;20.54759
USDMXN:CUR;02/11/2021;20.82259;20.9104;20.71087;20.79129
USDMXN:CUR;01/11/2021;20.16559;20.8848;20.16559;20.8479
USDMXN:CUR;29/10/2021;20.16559;20.62409;20.16559;20.5405
USDMXN:CUR;28/10/2021;20.16559;20.41659;20.16559;20.3712
USDMXN:CUR;27/10/2021;20.16559;20.3334;20.1504;20.30545
USDMXN:CUR;26/10/2021;20.16559;20.2352;20.12013;20.2005
USDMXN:CUR;25/10/2021;20.3012;20.3012;20.15099;20.18799
USDMXN:CUR;22/10/2021;20.3012;20.33259;20.125;20.17687
USDMXN:CUR;21/10/2021;20.16869;20.3474;20.16869;20.30599
USDMXN:CUR;20/10/2021;20.24939;20.27949;20.16239;20.21319
USDMXN:CUR;19/10/2021;20.3887;20.41412;20.21561;20.23489
USDMXN:CUR;18/10/2021;20.56419;20.56419;20.3101;20.4192
USDMXN:CUR;15/10/2021;20.56419;20.5956;20.31979;20.3453
USDMXN:CUR;14/10/2021;20.58099;20.6576;20.50589;20.55415
USDMXN:CUR;13/10/2021;20.7574;20.79788;20.54999;20.55719
