Symbol;Date;Open;High;Low;Close
USDPEN:CUR;10/05/2022;3.82;3.82;3.7783;3.7783
USDPEN:CUR;09/05/2022;3.81;3.83;3.8083;3.82
USDPEN:CUR;06/05/2022;3.7852;3.815;3.7844;3.8062
USDPEN:CUR;05/05/2022;3.768;3.792;3.7583;3.789
USDPEN:CUR;04/05/2022;3.8153;3.816;3.76;3.76
USDPEN:CUR;03/05/2022;3.8325;3.8335;3.8143;3.8153
USDPEN:CUR;02/05/2022;3.8318;3.845;3.831;3.832
USDPEN:CUR;29/04/2022;3.84;3.84;3.835;3.835
USDPEN:CUR;28/04/2022;3.8222;3.852;3.8222;3.84
USDPEN:CUR;27/04/2022;3.8192;3.834;3.8192;3.826
USDPEN:CUR;26/04/2022;3.7992;3.823;3.7992;3.823
USDPEN:CUR;25/04/2022;3.7642;3.82;3.7637;3.803
USDPEN:CUR;22/04/2022;3.7318;3.77;3.7318;3.7642
USDPEN:CUR;21/04/2022;3.7093;3.7355;3.7093;3.7355
USDPEN:CUR;20/04/2022;3.7033;3.713;3.7;3.713
USDPEN:CUR;19/04/2022;3.7318;3.738;3.703;3.707
USDPEN:CUR;18/04/2022;3.7286;3.737;3.7286;3.7323
USDPEN:CUR;15/04/2022;3.727;3.727;3.727;3.727
USDPEN:CUR;14/04/2022;3.7293;3.732;3.7286;3.7286
USDPEN:CUR;13/04/2022;3.7208;3.74;3.7208;3.733
USDPEN:CUR;12/04/2022;3.7103;3.7208;3.702;3.7208
USDPEN:CUR;11/04/2022;3.7063;3.718;3.7061;3.7103
USDPEN:CUR;08/04/2022;3.701;3.714;3.696;3.71
USDPEN:CUR;07/04/2022;3.7148;3.7148;3.711;3.711
USDPEN:CUR;06/04/2022;3.695;3.695;3.6921;3.6921
USDPEN:CUR;05/04/2022;3.6362;3.702;3.6362;3.696
USDPEN:CUR;04/04/2022;3.6334;3.6387;3.615;3.628
USDPEN:CUR;01/04/2022;3.6723;3.676;3.637;3.637
USDPEN:CUR;31/03/2022;3.721;3.721;3.676;3.676
USDPEN:CUR;30/03/2022;3.723;3.732;3.723;3.724
USDPEN:CUR;29/03/2022;3.728;3.728;3.715;3.723
USDPEN:CUR;28/03/2022;3.7313;3.735;3.725;3.729
USDPEN:CUR;25/03/2022;3.7313;3.735;3.722;3.735
USDPEN:CUR;24/03/2022;3.7617;3.765;3.73;3.735
USDPEN:CUR;23/03/2022;3.777;3.777;3.763;3.7655
USDPEN:CUR;22/03/2022;3.7825;3.7825;3.763;3.776
USDPEN:CUR;21/03/2022;3.781;3.792;3.78;3.783
USDPEN:CUR;18/03/2022;3.745;3.781;3.745;3.781
USDPEN:CUR;17/03/2022;3.7153;3.739;3.705;3.739
USDPEN:CUR;16/03/2022;3.735;3.736;3.709;3.719
USDPEN:CUR;15/03/2022;3.73;3.745;3.72;3.734
USDPEN:CUR;14/03/2022;3.6991;3.718;3.6991;3.718
USDPEN:CUR;11/03/2022;3.709;3.709;3.697;3.6991
USDPEN:CUR;10/03/2022;3.7233;3.725;3.708;3.708
USDPEN:CUR;09/03/2022;3.739;3.739;3.7103;3.727
USDPEN:CUR;08/03/2022;3.7163;3.739;3.71;3.738
USDPEN:CUR;07/03/2022;3.755;3.755;3.72;3.72
USDPEN:CUR;04/03/2022;3.725;3.755;3.725;3.7512
USDPEN:CUR;03/03/2022;3.7441;3.749;3.728;3.728
USDPEN:CUR;02/03/2022;3.7817;3.786;3.745;3.7453
USDPEN:CUR;01/03/2022;3.7757;3.786;3.771;3.7763
USDPEN:CUR;28/02/2022;3.7932;3.7939;3.7696;3.773
USDPEN:CUR;25/02/2022;3.7957;3.8;3.7957;3.797
USDPEN:CUR;24/02/2022;3.7258;3.8;3.7227;3.793
USDPEN:CUR;23/02/2022;3.7134;3.73;3.7039;3.7185
USDPEN:CUR;22/02/2022;3.7548;3.759;3.7136;3.7136
USDPEN:CUR;21/02/2022;3.73;3.759;3.7287;3.7484
USDPEN:CUR;18/02/2022;3.7211;3.731;3.6945;3.7212
USDPEN:CUR;17/02/2022;3.7423;3.748;3.7152;3.7152
USDPEN:CUR;16/02/2022;3.796;3.798;3.7423;3.7423
USDPEN:CUR;15/02/2022;3.789;3.805;3.787;3.7921
USDPEN:CUR;14/02/2022;3.7667;3.794;3.7575;3.7868
USDPEN:CUR;11/02/2022;3.7312;3.767;3.7178;3.7434
USDPEN:CUR;10/02/2022;3.803;3.803;3.7256;3.7256
USDPEN:CUR;09/02/2022;3.8365;3.84;3.7924;3.7924
USDPEN:CUR;08/02/2022;3.8343;3.8441;3.8235;3.8235
USDPEN:CUR;07/02/2022;3.835;3.8505;3.8246;3.8346
USDPEN:CUR;04/02/2022;3.8433;3.8753;3.8318;3.8318
USDPEN:CUR;03/02/2022;3.8493;3.863;3.8462;3.8462
USDPEN:CUR;02/02/2022;3.8739;3.881;3.842;3.8472
USDPEN:CUR;01/02/2022;3.8283;3.883;3.8283;3.8742
USDPEN:CUR;31/01/2022;3.8481;3.85;3.8285;3.837
USDPEN:CUR;28/01/2022;3.833;3.85;3.828;3.8385
USDPEN:CUR;27/01/2022;3.838;3.8409;3.8207;3.8276
USDPEN:CUR;26/01/2022;3.845;3.847;3.8253;3.8253
USDPEN:CUR;25/01/2022;3.846;3.851;3.8347;3.8347
USDPEN:CUR;24/01/2022;3.837;3.848;3.8259;3.8407
USDPEN:CUR;21/01/2022;3.8311;3.8357;3.8001;3.8001
USDPEN:CUR;20/01/2022;3.8578;3.862;3.8239;3.8256
USDPEN:CUR;19/01/2022;3.8594;3.867;3.8516;3.8554
USDPEN:CUR;18/01/2022;3.8466;3.8607;3.8335;3.8597
USDPEN:CUR;17/01/2022;3.869;3.869;3.8367;3.8424
USDPEN:CUR;14/01/2022;3.889;3.889;3.866;3.866
USDPEN:CUR;13/01/2022;3.8909;3.9;3.8782;3.887
USDPEN:CUR;12/01/2022;3.906;3.906;3.8763;3.8844
USDPEN:CUR;11/01/2022;3.9284;3.933;3.8956;3.8956
USDPEN:CUR;10/01/2022;3.9259;3.933;3.9088;3.9207
USDPEN:CUR;07/01/2022;3.966;3.966;3.9192;3.9192
USDPEN:CUR;06/01/2022;3.959;3.971;3.9492;3.9555
USDPEN:CUR;05/01/2022;3.9525;3.96;3.9309;3.9529
USDPEN:CUR;04/01/2022;3.962;3.97;3.9405;3.9456
USDPEN:CUR;03/01/2022;3.99;3.997;3.974;3.974
USDPEN:CUR;31/12/2021;3.9797;3.99;3.9766;3.9852
USDPEN:CUR;30/12/2021;3.9715;3.988;3.9688;3.98
USDPEN:CUR;29/12/2021;3.9535;3.976;3.9442;3.9653
USDPEN:CUR;28/12/2021;3.9897;3.9897;3.9475;3.9475
USDPEN:CUR;27/12/2021;3.996;3.996;3.987;3.9875
USDPEN:CUR;24/12/2021;4;4.001;3.9815;4
USDPEN:CUR;23/12/2021;4.0291;4.033;3.9898;3.9931
USDPEN:CUR;22/12/2021;4.0464;4.051;4.0228;4.0294
USDPEN:CUR;21/12/2021;4.0455;4.056;4.0378;4.0447
USDPEN:CUR;20/12/2021;4.0326;4.05;4.0326;4.048
USDPEN:CUR;17/12/2021;4.0317;4.037;4.0242;4.0326
USDPEN:CUR;16/12/2021;4.0476;4.052;4.0263;4.0294
USDPEN:CUR;15/12/2021;4.051;4.056;4.0404;4.0416
USDPEN:CUR;14/12/2021;4.045;4.057;4.04;4.0454
USDPEN:CUR;13/12/2021;4.0529;4.065;4.0388;4.0424
USDPEN:CUR;10/12/2021;4.0712;4.079;4.0465;4.056
USDPEN:CUR;09/12/2021;4.0712;4.084;4.06;4.079
USDPEN:CUR;08/12/2021;4.0729;4.075;4.0712;4.0712
USDPEN:CUR;07/12/2021;4.08;4.085;4.0625;4.077
USDPEN:CUR;06/12/2021;4.0713;4.085;4.0694;4.0777
USDPEN:CUR;03/12/2021;4.0648;4.077;4.0547;4.069
USDPEN:CUR;02/12/2021;4.0648;4.074;4.0592;4.063
USDPEN:CUR;01/12/2021;4.0625;4.07;4.05;4.0649
