Symbol;Date;Open;High;Low;Close
USDSVC:CUR;10/05/2022;8.7498;8.7498;8.7498;8.7498
USDSVC:CUR;09/05/2022;8.7498;8.7498;8.7408;8.7498
USDSVC:CUR;06/05/2022;8.7495;8.7498;8.7408;8.7411
USDSVC:CUR;05/05/2022;8.7498;8.7498;8.7411;8.7495
USDSVC:CUR;04/05/2022;8.7495;8.7498;8.7408;8.7498
USDSVC:CUR;03/05/2022;8.7498;8.7498;8.7411;8.7495
USDSVC:CUR;02/05/2022;8.7495;8.7498;8.7408;8.7498
USDSVC:CUR;29/04/2022;8.7498;8.7498;8.7495;8.7495
USDSVC:CUR;28/04/2022;8.7495;8.7498;8.7408;8.7498
USDSVC:CUR;27/04/2022;8.7498;8.7498;8.7408;8.7495
USDSVC:CUR;26/04/2022;8.7495;8.7498;8.7408;8.7498
USDSVC:CUR;25/04/2022;8.7498;8.7498;8.7411;8.7495
USDSVC:CUR;22/04/2022;8.7495;8.7498;8.7408;8.7411
USDSVC:CUR;21/04/2022;8.7498;8.7498;8.7411;8.7495
USDSVC:CUR;20/04/2022;8.7495;8.7498;8.7408;8.7498
USDSVC:CUR;19/04/2022;8.7498;8.7498;8.7495;8.7495
USDSVC:CUR;18/04/2022;8.7495;8.7498;8.7408;8.7411
USDSVC:CUR;15/04/2022;8.7498;8.7498;8.7495;8.7495
USDSVC:CUR;14/04/2022;8.7495;8.7498;8.7408;8.7411
USDSVC:CUR;13/04/2022;8.7498;8.7498;8.7495;8.7495
USDSVC:CUR;12/04/2022;8.7495;8.7498;8.7237;8.7498
USDSVC:CUR;11/04/2022;8.7498;8.7498;8.7237;8.7495
USDSVC:CUR;08/04/2022;8.7495;8.7498;8.7408;8.7498
USDSVC:CUR;07/04/2022;8.7498;8.7498;8.7408;8.7495
USDSVC:CUR;06/04/2022;8.7495;8.7498;8.7408;8.7498
USDSVC:CUR;05/04/2022;8.7498;8.7498;8.7411;8.7495
USDSVC:CUR;04/04/2022;8.7495;8.7498;8.7408;8.7498
USDSVC:CUR;01/04/2022;8.7498;8.7498;8.7408;8.7495
USDSVC:CUR;31/03/2022;8.7495;8.7498;8.7495;8.7498
USDSVC:CUR;30/03/2022;8.7498;8.7498;8.7495;8.7495
USDSVC:CUR;29/03/2022;8.7495;8.7498;8.7495;8.7498
USDSVC:CUR;28/03/2022;8.7498;8.7498;8.7408;8.7495
USDSVC:CUR;25/03/2022;8.7495;8.7498;8.7408;8.7498
