Symbol;Date;Open;High;Low;Close
USDTTD:CUR;10/05/2022;6.7497;6.7652;6.6982;6.7652
USDTTD:CUR;09/05/2022;6.726;6.7542;6.6982;6.7497
USDTTD:CUR;06/05/2022;6.7416;6.7499;6.7042;6.7499
USDTTD:CUR;05/05/2022;6.7579;6.7579;6.7042;6.7416
USDTTD:CUR;04/05/2022;6.7579;6.7579;6.7452;6.7579
USDTTD:CUR;03/05/2022;6.7542;6.7579;6.7479;6.7579
USDTTD:CUR;02/05/2022;6.7542;6.7542;6.7452;6.7542
USDTTD:CUR;29/04/2022;6.7653;6.7653;6.7537;6.7542
USDTTD:CUR;28/04/2022;6.7493;6.7653;6.7493;6.7653
USDTTD:CUR;27/04/2022;6.7629;6.7656;6.7285;6.7493
USDTTD:CUR;26/04/2022;6.7763;6.7763;6.7285;6.7629
USDTTD:CUR;25/04/2022;6.7537;6.7763;6.7488;6.7763
USDTTD:CUR;22/04/2022;6.7488;6.7537;6.727;6.7488
USDTTD:CUR;21/04/2022;6.7568;6.7568;6.727;6.7488
USDTTD:CUR;20/04/2022;6.7502;6.7568;6.7352;6.7568
USDTTD:CUR;19/04/2022;6.7511;6.7511;6.7354;6.7502
USDTTD:CUR;18/04/2022;6.7511;6.7511;6.7354;6.7511
USDTTD:CUR;15/04/2022;6.7511;6.7511;6.7483;6.7511
USDTTD:CUR;14/04/2022;6.7573;6.7573;6.746;6.7511
USDTTD:CUR;13/04/2022;6.7605;6.7605;6.7505;6.7573
USDTTD:CUR;12/04/2022;6.7605;6.7605;6.722;6.7605
USDTTD:CUR;11/04/2022;6.7564;6.7605;6.7137;6.7605
USDTTD:CUR;08/04/2022;6.7398;6.7564;6.6822;6.7564
USDTTD:CUR;07/04/2022;6.749;6.749;6.6822;6.7398
USDTTD:CUR;06/04/2022;6.7028;6.749;6.6324;6.749
USDTTD:CUR;05/04/2022;6.748;6.748;6.6324;6.7028
USDTTD:CUR;04/04/2022;6.7404;6.7545;6.7182;6.748
USDTTD:CUR;01/04/2022;6.7595;6.7673;6.7404;6.7545
USDTTD:CUR;31/03/2022;6.7631;6.7631;6.7572;6.7595
USDTTD:CUR;30/03/2022;6.7631;6.7657;6.7572;6.7631
USDTTD:CUR;29/03/2022;6.7493;6.7685;6.7493;6.7631
USDTTD:CUR;28/03/2022;6.7575;6.7783;6.749;6.7493
USDTTD:CUR;25/03/2022;6.7684;6.7783;6.7377;6.7783
USDTTD:CUR;24/03/2022;6.7656;6.7684;6.7377;6.7684
USDTTD:CUR;23/03/2022;6.7577;6.7656;6.7218;6.7656
USDTTD:CUR;22/03/2022;6.7406;6.7577;6.7105;6.7577
USDTTD:CUR;21/03/2022;6.7129;6.7592;6.7105;6.7406
USDTTD:CUR;18/03/2022;6.745;6.745;6.7129;6.745
USDTTD:CUR;17/03/2022;6.745;6.745;6.7303;6.745
USDTTD:CUR;16/03/2022;6.7544;6.7544;6.7338;6.745
USDTTD:CUR;15/03/2022;6.7493;6.7567;6.7463;6.7544
USDTTD:CUR;14/03/2022;6.7591;6.7683;6.7493;6.7493
USDTTD:CUR;11/03/2022;6.7583;6.7683;6.7182;6.7683
USDTTD:CUR;10/03/2022;6.7675;6.7675;6.7182;6.7583
USDTTD:CUR;09/03/2022;6.7531;6.7675;6.736;6.7675
USDTTD:CUR;08/03/2022;6.7531;6.7531;6.7256;6.7531
USDTTD:CUR;07/03/2022;6.7178;6.7531;6.715;6.7531
USDTTD:CUR;04/03/2022;6.7465;6.7482;6.7166;6.7482
USDTTD:CUR;03/03/2022;6.7376;6.7465;6.7166;6.7465
USDTTD:CUR;02/03/2022;6.7392;6.7592;6.723;6.7376
USDTTD:CUR;01/03/2022;6.7457;6.7457;6.725;6.7392
USDTTD:CUR;28/02/2022;6.7441;6.7594;6.7322;6.7457
USDTTD:CUR;25/02/2022;6.769;6.769;6.7417;6.7493
USDTTD:CUR;24/02/2022;6.7606;6.769;6.7268;6.769
USDTTD:CUR;23/02/2022;6.7528;6.7606;6.7268;6.7606
USDTTD:CUR;22/02/2022;6.7528;6.7528;6.7277;6.7528
USDTTD:CUR;21/02/2022;6.7277;6.7528;6.7116;6.7528
USDTTD:CUR;18/02/2022;6.7227;6.7553;6.6887;6.7528
USDTTD:CUR;17/02/2022;6.7474;6.7592;6.6887;6.7227
USDTTD:CUR;16/02/2022;6.7564;6.7592;6.738;6.7474
USDTTD:CUR;15/02/2022;6.7493;6.7675;6.7383;6.7564
USDTTD:CUR;14/02/2022;6.7507;6.7675;6.7466;6.7493
USDTTD:CUR;11/02/2022;6.7667;6.7667;6.7363;6.7667
USDTTD:CUR;10/02/2022;6.7659;6.7667;6.7329;6.7667
USDTTD:CUR;09/02/2022;6.7475;6.7659;6.7329;6.7659
USDTTD:CUR;08/02/2022;6.7409;6.7475;6.6984;6.7475
USDTTD:CUR;07/02/2022;6.7133;6.7419;6.6984;6.7409
USDTTD:CUR;04/02/2022;6.7292;6.7419;6.6858;6.7419
USDTTD:CUR;03/02/2022;6.7416;6.7416;6.6858;6.7292
USDTTD:CUR;02/02/2022;6.7277;6.7416;6.7022;6.7416
USDTTD:CUR;01/02/2022;6.7495;6.7495;6.7022;6.7277
USDTTD:CUR;31/01/2022;6.7493;6.7499;6.7295;6.7495
USDTTD:CUR;28/01/2022;6.7672;6.7672;6.7452;6.7493
USDTTD:CUR;27/01/2022;6.753;6.7672;6.7256;6.7672
USDTTD:CUR;26/01/2022;6.7118;6.753;6.7118;6.7256
USDTTD:CUR;25/01/2022;6.7542;6.7542;6.7118;6.753
USDTTD:CUR;24/01/2022;6.7291;6.7542;6.7291;6.7542
USDTTD:CUR;21/01/2022;6.7583;6.7583;6.7291;6.746
USDTTD:CUR;20/01/2022;6.7342;6.7583;6.7095;6.7583
USDTTD:CUR;19/01/2022;6.7497;6.7497;6.7095;6.7342
USDTTD:CUR;18/01/2022;6.7493;6.7632;6.7321;6.7497
USDTTD:CUR;17/01/2022;6.7632;6.7632;6.7493;6.7493
USDTTD:CUR;14/01/2022;6.7857;6.7857;6.7493;6.7493
USDTTD:CUR;13/01/2022;6.7881;6.7881;6.7695;6.7857
USDTTD:CUR;12/01/2022;6.7495;6.7881;6.7495;6.7881
USDTTD:CUR;11/01/2022;6.7495;6.7633;6.7465;6.7495
USDTTD:CUR;10/01/2022;6.7656;6.7656;6.7409;6.7495
USDTTD:CUR;07/01/2022;6.7495;6.7656;6.7164;6.7495
USDTTD:CUR;06/01/2022;6.7723;6.7723;6.7164;6.7495
USDTTD:CUR;05/01/2022;6.7625;6.7723;6.7459;6.7723
USDTTD:CUR;04/01/2022;6.7625;6.7658;6.728;6.7625
USDTTD:CUR;03/01/2022;6.7533;6.7725;6.728;6.7625
USDTTD:CUR;31/12/2021;6.7588;6.7725;6.7466;6.7725
USDTTD:CUR;30/12/2021;6.7529;6.7588;6.7292;6.7588
USDTTD:CUR;29/12/2021;6.7647;6.7647;6.7292;6.7529
USDTTD:CUR;28/12/2021;6.7548;6.7647;6.7548;6.7647
USDTTD:CUR;27/12/2021;6.7692;6.7692;6.748;6.7548
USDTTD:CUR;24/12/2021;6.7716;6.7716;6.7503;6.7548
USDTTD:CUR;23/12/2021;6.7493;6.7716;6.7423;6.7716
USDTTD:CUR;22/12/2021;6.7703;6.7703;6.7415;6.7493
USDTTD:CUR;21/12/2021;6.7751;6.7751;6.7384;6.7703
USDTTD:CUR;20/12/2021;6.7744;6.7751;6.7523;6.7751
USDTTD:CUR;17/12/2021;6.771;6.7744;6.7532;6.7744
USDTTD:CUR;16/12/2021;6.761;6.771;6.7498;6.771
USDTTD:CUR;15/12/2021;6.7422;6.761;6.7422;6.761
USDTTD:CUR;14/12/2021;6.7521;6.7601;6.7422;6.7601
USDTTD:CUR;13/12/2021;6.7663;6.7663;6.7441;6.7521
USDTTD:CUR;10/12/2021;6.7663;6.7663;6.7529;6.7663
USDTTD:CUR;09/12/2021;6.7735;6.7735;6.7552;6.7663
USDTTD:CUR;08/12/2021;6.7735;6.7735;6.7477;6.7735
USDTTD:CUR;07/12/2021;6.7685;6.7735;6.7376;6.7735
USDTTD:CUR;06/12/2021;6.7192;6.7685;6.7192;6.7685
USDTTD:CUR;03/12/2021;6.7462;6.7582;6.7092;6.7582
USDTTD:CUR;02/12/2021;6.7291;6.7462;6.6835;6.7462
USDTTD:CUR;01/12/2021;6.7152;6.7291;6.6539;6.7291
USDTTD:CUR;30/11/2021;6.749;6.749;6.6539;6.7152
USDTTD:CUR;29/11/2021;6.7139;6.749;6.7139;6.749
USDTTD:CUR;26/11/2021;6.7493;6.7493;6.7139;6.7348
USDTTD:CUR;25/11/2021;6.7493;6.7496;6.7449;6.7493
USDTTD:CUR;24/11/2021;6.7682;6.7682;6.7371;6.7493
USDTTD:CUR;23/11/2021;6.7638;6.7682;6.7371;6.7682
USDTTD:CUR;22/11/2021;6.7493;6.7638;6.7242;6.7638
USDTTD:CUR;19/11/2021;6.7493;6.7493;6.7136;6.7493
USDTTD:CUR;18/11/2021;6.7332;6.7493;6.6959;6.7493
USDTTD:CUR;17/11/2021;6.754;6.754;6.6959;6.7332
USDTTD:CUR;16/11/2021;6.754;6.754;6.7314;6.754
USDTTD:CUR;15/11/2021;6.7539;6.754;6.7445;6.754
USDTTD:CUR;12/11/2021;6.7493;6.7539;6.7405;6.7539
USDTTD:CUR;11/11/2021;6.7493;6.7598;6.7492;6.7493
USDTTD:CUR;10/11/2021;6.7676;6.7676;6.7364;6.7493
USDTTD:CUR;09/11/2021;6.7654;6.7676;6.7335;6.7676
USDTTD:CUR;08/11/2021;6.7566;6.7654;6.7155;6.7654
USDTTD:CUR;05/11/2021;6.7413;6.7566;6.7155;6.7566
USDTTD:CUR;04/11/2021;6.7413;6.7413;6.6977;6.7413
USDTTD:CUR;03/11/2021;6.7394;6.7413;6.6977;6.7413
USDTTD:CUR;02/11/2021;6.7505;6.7505;6.7096;6.7394
USDTTD:CUR;01/11/2021;6.6998;6.7505;6.6998;6.7505
USDTTD:CUR;29/10/2021;6.7558;6.7558;6.6998;6.731
USDTTD:CUR;28/10/2021;6.6987;6.7558;6.6365;6.7558
USDTTD:CUR;27/10/2021;6.7493;6.7493;6.6365;6.6987
USDTTD:CUR;26/10/2021;6.7686;6.7686;6.7322;6.7493
USDTTD:CUR;25/10/2021;6.7375;6.7686;6.7375;6.7686
USDTTD:CUR;22/10/2021;6.7687;6.7687;6.7379;6.768
USDTTD:CUR;21/10/2021;6.7638;6.7687;6.7351;6.7687
USDTTD:CUR;20/10/2021;6.7536;6.7638;6.7281;6.7638
USDTTD:CUR;19/10/2021;6.7636;6.7636;6.7281;6.7536
USDTTD:CUR;18/10/2021;6.7496;6.7636;6.7496;6.7636
USDTTD:CUR;15/10/2021;6.7707;6.7757;6.7496;6.7576
USDTTD:CUR;14/10/2021;6.7583;6.7757;6.7412;6.7707
USDTTD:CUR;13/10/2021;6.7493;6.7583;6.7276;6.7583
USDTTD:CUR;12/10/2021;6.7792;6.7792;6.7276;6.7493
USDTTD:CUR;11/10/2021;6.7544;6.7792;6.7544;6.7792
USDTTD:CUR;08/10/2021;6.7682;6.7682;6.7373;6.7682
USDTTD:CUR;07/10/2021;6.7466;6.7682;6.7288;6.7682
USDTTD:CUR;06/10/2021;6.7466;6.7466;6.727;6.7466
USDTTD:CUR;05/10/2021;6.7466;6.7466;6.7051;6.7466
USDTTD:CUR;04/10/2021;6.7184;6.7466;6.7051;6.7051
USDTTD:CUR;01/10/2021;6.7594;6.7594;6.7184;6.7466
USDTTD:CUR;30/09/2021;6.7594;6.7594;6.7384;6.7594
USDTTD:CUR;29/09/2021;6.7493;6.7608;6.7363;6.7594
USDTTD:CUR;28/09/2021;6.7493;6.7608;6.7364;6.7493
USDTTD:CUR;27/09/2021;6.7545;6.7671;6.733;6.7493
USDTTD:CUR;24/09/2021;6.7671;6.7671;6.7423;6.7671
USDTTD:CUR;23/09/2021;6.7671;6.7671;6.7369;6.7671
USDTTD:CUR;22/09/2021;6.7686;6.7686;6.74;6.7671
USDTTD:CUR;21/09/2021;6.7599;6.7686;6.7425;6.7686
USDTTD:CUR;20/09/2021;6.7363;6.7599;6.7363;6.7599
USDTTD:CUR;17/09/2021;6.7525;6.7543;6.7349;6.7543
USDTTD:CUR;16/09/2021;6.7622;6.7622;6.7388;6.7525
USDTTD:CUR;15/09/2021;6.7553;6.7622;6.739;6.7622
USDTTD:CUR;14/09/2021;6.7493;6.7612;6.7324;6.7553
USDTTD:CUR;13/09/2021;6.7705;6.7705;6.7417;6.7493
USDTTD:CUR;10/09/2021;6.7623;6.7705;6.725;6.7705
USDTTD:CUR;09/09/2021;6.7637;6.7637;6.7278;6.7623
USDTTD:CUR;08/09/2021;6.7531;6.7637;6.7278;6.7637
USDTTD:CUR;07/09/2021;6.756;6.756;6.7132;6.7531
USDTTD:CUR;06/09/2021;6.7343;6.756;6.7289;6.756
USDTTD:CUR;03/09/2021;6.7393;6.756;6.7142;6.756
USDTTD:CUR;02/09/2021;6.7661;6.7661;6.7142;6.7393
USDTTD:CUR;01/09/2021;6.7612;6.7661;6.7433;6.7661
USDTTD:CUR;31/08/2021;6.7612;6.7632;6.7484;6.7612
USDTTD:CUR;30/08/2021;6.748;6.7632;6.7335;6.7612
USDTTD:CUR;27/08/2021;6.7728;6.7728;6.7168;6.7493
USDTTD:CUR;26/08/2021;6.7598;6.7728;6.7225;6.7728
USDTTD:CUR;25/08/2021;6.7674;6.7674;6.7225;6.7598
USDTTD:CUR;24/08/2021;6.7563;6.7674;6.7226;6.7674
USDTTD:CUR;23/08/2021;6.7356;6.7563;6.7226;6.7563
USDTTD:CUR;20/08/2021;6.7626;6.7626;6.7337;6.7532
USDTTD:CUR;19/08/2021;6.7623;6.7626;6.7355;6.7626
USDTTD:CUR;18/08/2021;6.7623;6.7635;6.7355;6.7623
USDTTD:CUR;17/08/2021;6.7482;6.7635;6.7381;6.7623
USDTTD:CUR;16/08/2021;6.7493;6.7493;6.7312;6.7482
USDTTD:CUR;13/08/2021;6.7748;6.7748;6.7342;6.7493
USDTTD:CUR;12/08/2021;6.7617;6.7748;6.7241;6.7748
USDTTD:CUR;11/08/2021;6.7578;6.7617;6.7021;6.7617
USDTTD:CUR;10/08/2021;6.7486;6.7578;6.7007;6.7578
USDTTD:CUR;09/08/2021;6.6805;6.7486;6.6805;6.7486
USDTTD:CUR;06/08/2021;6.7411;6.7411;6.6805;6.7377
USDTTD:CUR;05/08/2021;6.7434;6.7434;6.7036;6.7411
USDTTD:CUR;04/08/2021;6.7377;6.7434;6.7085;6.7434
USDTTD:CUR;03/08/2021;6.756;6.756;6.7145;6.7377
USDTTD:CUR;02/08/2021;6.7486;6.756;6.7145;6.756
USDTTD:CUR;30/07/2021;6.7616;6.7663;6.7259;6.756
USDTTD:CUR;29/07/2021;6.7493;6.7663;6.7242;6.7616
USDTTD:CUR;28/07/2021;6.7694;6.7694;6.7221;6.7493
USDTTD:CUR;27/07/2021;6.7694;6.7694;6.7394;6.7694
USDTTD:CUR;26/07/2021;6.7299;6.7694;6.7299;6.7694
USDTTD:CUR;23/07/2021;6.7577;6.7577;6.7178;6.7577
USDTTD:CUR;22/07/2021;6.7454;6.7577;6.6972;6.7178
USDTTD:CUR;21/07/2021;6.7416;6.7454;6.6949;6.7454
