Symbol;Date;Open;High;Low;Close
USDURY:CUR;10/05/2022;41.6;41.6;41.6;41.6
USDURY:CUR;09/05/2022;41.49;41.85;41.49;41.7
USDURY:CUR;06/05/2022;41.26;41.6;41.26;41.55
USDURY:CUR;05/05/2022;41.1;41.5;41.1;41.26
USDURY:CUR;04/05/2022;40.93;41.25;40.93;41.1
USDURY:CUR;03/05/2022;40.83;41.06;40.83;41.06
USDURY:CUR;02/05/2022;41.34;41.34;40.83;40.83
USDURY:CUR;29/04/2022;41.44;41.44;40.7;40.8
USDURY:CUR;28/04/2022;40.91;41.44;40.91;41.1
USDURY:CUR;27/04/2022;40.7;40.91;40.7;40.91
USDURY:CUR;26/04/2022;40.05;41.15;40.05;41.15
USDURY:CUR;25/04/2022;40.13;40.13;40.05;40.05
USDURY:CUR;22/04/2022;40.8;40.8;40.02;40.13
USDURY:CUR;21/04/2022;41.13;41.13;40.8;40.8
USDURY:CUR;20/04/2022;41.25;41.25;41.13;41.13
USDURY:CUR;19/04/2022;41.25;41.25;40.95;41
USDURY:CUR;18/04/2022;41.25;41.25;41.25;41.25
USDURY:CUR;15/04/2022;41.25;41.25;41.25;41.25
USDURY:CUR;14/04/2022;41.3;41.4;41.25;41.25
USDURY:CUR;13/04/2022;41.45;41.46;41.3;41.3
USDURY:CUR;12/04/2022;41.63;41.63;41.45;41.45
USDURY:CUR;11/04/2022;42.06;42.06;41.63;41.63
USDURY:CUR;08/04/2022;41.65;42.06;41.47;41.47
USDURY:CUR;07/04/2022;41.43;42.07;41.34;41.95
USDURY:CUR;06/04/2022;41.38;41.75;41.3;41.75
USDURY:CUR;05/04/2022;41.12;41.4;41.12;41.38
USDURY:CUR;04/04/2022;41.12;41.36;41.12;41.12
USDURY:CUR;01/04/2022;40.97;41.2;40.97;41.2
USDURY:CUR;31/03/2022;41.24;41.25;40.97;40.97
USDURY:CUR;30/03/2022;41.45;41.45;40.86;41
USDURY:CUR;29/03/2022;41.48;41.48;41.19;41.45
USDURY:CUR;28/03/2022;41.79;41.79;41.48;41.48
USDURY:CUR;25/03/2022;42.32;42.32;41.79;41.79
USDURY:CUR;24/03/2022;42.32;42.32;41.75;41.75
USDURY:CUR;23/03/2022;42.52;42.52;42;42
USDURY:CUR;22/03/2022;42.62;42.62;42.22;42.52
USDURY:CUR;21/03/2022;42.51;42.62;42.49;42.62
USDURY:CUR;18/03/2022;42.65;42.65;42.5;42.61
USDURY:CUR;17/03/2022;42.8;42.8;42.43;42.5
USDURY:CUR;16/03/2022;42.68;42.8;42.6;42.8
USDURY:CUR;15/03/2022;42.6;42.78;42.6;42.68
USDURY:CUR;14/03/2022;42.6;42.73;42.57;42.6
USDURY:CUR;11/03/2022;42.54;42.6;42.4;42.6
USDURY:CUR;10/03/2022;42.75;42.75;42.5;42.54
USDURY:CUR;09/03/2022;42.79;42.79;42.45;42.75
USDURY:CUR;08/03/2022;42.66;42.79;42.66;42.79
USDURY:CUR;07/03/2022;42.57;42.79;42.57;42.75
USDURY:CUR;04/03/2022;42.72;42.72;42.57;42.57
USDURY:CUR;03/03/2022;42.53;42.72;42.48;42.72
USDURY:CUR;02/03/2022;42.53;42.65;42.43;42.53
USDURY:CUR;01/03/2022;42.53;42.53;42.53;42.53
USDURY:CUR;28/02/2022;42.27;42.53;42.25;42.53
USDURY:CUR;25/02/2022;42.27;42.5;42.27;42.27
USDURY:CUR;24/02/2022;42.63;42.95;42.27;42.27
USDURY:CUR;23/02/2022;42.86;42.86;42.19;42.19
USDURY:CUR;22/02/2022;43.06;43.06;42.5;42.86
USDURY:CUR;21/02/2022;43.06;43.06;42.8;43.06
USDURY:CUR;18/02/2022;43.02;43.06;43.01;43.06
USDURY:CUR;17/02/2022;43.07;43.07;42.95;43.02
USDURY:CUR;16/02/2022;43.09;43.09;42.88;43.07
USDURY:CUR;15/02/2022;43.05;43.09;42.95;43.09
USDURY:CUR;14/02/2022;43.18;43.18;42.99;43.05
USDURY:CUR;11/02/2022;43.23;43.23;42.99;43.18
USDURY:CUR;10/02/2022;43.45;43.45;43.09;43.23
USDURY:CUR;09/02/2022;43.64;43.65;43.45;43.45
USDURY:CUR;08/02/2022;43.74;43.74;43.64;43.64
USDURY:CUR;07/02/2022;43.77;43.77;43.74;43.74
USDURY:CUR;04/02/2022;43.85;43.85;43.75;43.77
USDURY:CUR;03/02/2022;43.91;43.91;43.7;43.7
USDURY:CUR;02/02/2022;43.9;43.91;43.7;43.91
USDURY:CUR;01/02/2022;43.92;43.92;43.75;43.9
USDURY:CUR;31/01/2022;43.93;44.12;43.92;43.92
USDURY:CUR;28/01/2022;43.94;43.94;43.93;43.93
USDURY:CUR;27/01/2022;44.51;44.51;43.94;44.08
USDURY:CUR;26/01/2022;44.5;44.51;44.15;44.51
USDURY:CUR;25/01/2022;44.53;44.53;44.4;44.46
USDURY:CUR;24/01/2022;44.6;44.6;44.5;44.53
USDURY:CUR;21/01/2022;44.64;44.64;44.5;44.52
USDURY:CUR;20/01/2022;44.57;44.64;44.5;44.64
USDURY:CUR;19/01/2022;44.56;44.62;44.55;44.57
USDURY:CUR;18/01/2022;44.56;44.57;44.5;44.56
USDURY:CUR;17/01/2022;44.56;44.58;44.55;44.56
USDURY:CUR;14/01/2022;44.65;44.65;44.45;44.56
USDURY:CUR;13/01/2022;44.63;44.65;44.5;44.5
USDURY:CUR;12/01/2022;44.67;44.67;44.63;44.63
USDURY:CUR;11/01/2022;44.52;44.71;44.52;44.67
USDURY:CUR;10/01/2022;44.73;44.73;44.5;44.52
USDURY:CUR;07/01/2022;44.73;44.73;44.7;44.73
USDURY:CUR;06/01/2022;44.73;44.73;44.7;44.73
USDURY:CUR;05/01/2022;44.61;44.73;44.6;44.73
USDURY:CUR;04/01/2022;44.69;44.69;44.61;44.61
USDURY:CUR;03/01/2022;44.7;44.7;44.69;44.69
USDURY:CUR;31/12/2021;44.6;44.7;44.6;44.7
USDURY:CUR;30/12/2021;44.45;44.75;44.45;44.6
USDURY:CUR;29/12/2021;44.47;44.65;44.45;44.45
USDURY:CUR;28/12/2021;44.4;44.47;44.32;44.47
USDURY:CUR;27/12/2021;44.38;44.45;44.34;44.4
USDURY:CUR;24/12/2021;44.38;44.38;44.38;44.38
USDURY:CUR;23/12/2021;44.33;44.38;44.3;44.31
USDURY:CUR;22/12/2021;44.34;44.34;44.33;44.33
USDURY:CUR;21/12/2021;44.36;44.36;44.34;44.34
USDURY:CUR;20/12/2021;44.47;44.47;44.36;44.36
USDURY:CUR;17/12/2021;44.36;44.47;44.33;44.47
USDURY:CUR;16/12/2021;44.27;44.45;44.27;44.36
USDURY:CUR;15/12/2021;44.22;44.27;44.18;44.27
USDURY:CUR;14/12/2021;44.26;44.26;44.14;44.14
USDURY:CUR;13/12/2021;44.2;44.26;44.2;44.26
USDURY:CUR;10/12/2021;44.18;44.2;44.18;44.2
USDURY:CUR;09/12/2021;44.19;44.19;44.15;44.18
USDURY:CUR;08/12/2021;44.15;44.19;44.08;44.08
USDURY:CUR;07/12/2021;44.15;44.15;44.15;44.15
USDURY:CUR;06/12/2021;44.15;44.15;44.12;44.15
USDURY:CUR;03/12/2021;44.14;44.15;44.12;44.15
USDURY:CUR;02/12/2021;44.1;44.15;44.05;44.15
USDURY:CUR;01/12/2021;44;44.1;44;44.08
USDURY:CUR;30/11/2021;44.17;44.17;44;44
USDURY:CUR;29/11/2021;44.05;44.17;44.04;44.17
USDURY:CUR;26/11/2021;44.05;44.18;44.05;44.18
USDURY:CUR;25/11/2021;44.1;44.1;44.05;44.1
USDURY:CUR;24/11/2021;44.02;44.15;44.02;44.02
USDURY:CUR;23/11/2021;44.12;44.12;44;44.1
USDURY:CUR;22/11/2021;44.19;44.19;43.95;44.12
USDURY:CUR;19/11/2021;44.11;44.19;44;44.19
USDURY:CUR;18/11/2021;44.04;44.11;44.02;44.11
USDURY:CUR;17/11/2021;44.12;44.12;44;44.04
USDURY:CUR;16/11/2021;44.1;44.12;44.02;44.12
USDURY:CUR;15/11/2021;43.83;44.15;43.83;44.1
USDURY:CUR;12/11/2021;43.67;44.05;43.65;43.83
USDURY:CUR;11/11/2021;43.51;43.82;43.5;43.82
USDURY:CUR;10/11/2021;43.53;43.53;43.49;43.51
USDURY:CUR;09/11/2021;43.61;43.61;43.44;43.44
USDURY:CUR;08/11/2021;43.97;43.97;43.51;43.61
USDURY:CUR;05/11/2021;44.15;44.15;43.97;43.97
USDURY:CUR;04/11/2021;44.18;44.18;44.15;44.15
USDURY:CUR;03/11/2021;44.18;44.18;44.18;44.18
USDURY:CUR;02/11/2021;44.18;44.18;44.15;44.18
USDURY:CUR;01/11/2021;43.95;44.18;43.95;44.18
USDURY:CUR;29/10/2021;43.68;44.2;43.65;43.95
USDURY:CUR;28/10/2021;43.54;43.97;43.52;43.68
USDURY:CUR;27/10/2021;43.67;43.67;43.54;43.54
USDURY:CUR;26/10/2021;43.88;43.88;43.45;43.67
USDURY:CUR;25/10/2021;43.9;43.9;43.57;43.57
USDURY:CUR;22/10/2021;43.79;43.9;43.77;43.9
USDURY:CUR;21/10/2021;43.81;43.89;43.79;43.89
USDURY:CUR;20/10/2021;43.76;43.81;43.76;43.76
USDURY:CUR;19/10/2021;43.89;43.89;43.76;43.76
USDURY:CUR;18/10/2021;43.9;43.9;43.74;43.74
USDURY:CUR;15/10/2021;43.77;43.9;43.77;43.9
USDURY:CUR;14/10/2021;43.62;43.9;43.62;43.9
USDURY:CUR;13/10/2021;43.42;43.77;43.42;43.62
USDURY:CUR;12/10/2021;43.42;43.62;43.41;43.42
USDURY:CUR;11/10/2021;43.3;43.42;43.3;43.42
USDURY:CUR;08/10/2021;43.3;43.3;43.29;43.3
USDURY:CUR;07/10/2021;43.03;43.3;43.03;43.3
USDURY:CUR;06/10/2021;43.05;43.28;42.99;43.03
USDURY:CUR;05/10/2021;42.94;42.99;42.94;42.99
USDURY:CUR;04/10/2021;42.94;43;42.93;42.94
