Symbol;Date;Open;High;Low;Close
USDFJD:CUR;09/05/2022;2.1799;2.1799;2.1799;2.1799
USDFJD:CUR;06/05/2022;2.1624;2.1624;2.1624;2.1624
USDFJD:CUR;05/05/2022;2.15495;2.15495;2.15495;2.15495
USDFJD:CUR;04/05/2022;2.17985;2.17985;2.17985;2.17985
USDFJD:CUR;03/05/2022;2.18415;2.18415;2.18415;2.18415
USDFJD:CUR;02/05/2022;2.17225;2.17225;2.17225;2.17225
USDFJD:CUR;29/04/2022;2.15675;2.15675;2.15675;2.15675
USDFJD:CUR;28/04/2022;2.16755;2.16755;2.16755;2.16755
USDFJD:CUR;27/04/2022;2.1591;2.1591;2.1591;2.1591
USDFJD:CUR;26/04/2022;2.14845;2.14845;2.14845;2.14845
USDFJD:CUR;25/04/2022;2.14795;2.14795;2.14795;2.14795
USDFJD:CUR;22/04/2022;2.12175;2.12175;2.12175;2.12175
USDFJD:CUR;21/04/2022;2.1148;2.1148;2.1148;2.1148
USDFJD:CUR;20/04/2022;2.1054;2.1054;2.1054;2.1054
USDFJD:CUR;19/04/2022;2.11925;2.11925;2.11925;2.11925
USDFJD:CUR;18/04/2022;2.11475;2.11475;2.11475;2.11475
USDFJD:CUR;15/04/2022;2.11475;2.11475;2.11475;2.11475
USDFJD:CUR;14/04/2022;2.11475;2.11475;2.11475;2.11475
USDFJD:CUR;13/04/2022;2.1103;2.1103;2.1103;2.1103
USDFJD:CUR;12/04/2022;2.09705;2.09705;2.09705;2.09705
USDFJD:CUR;11/04/2022;2.1045;2.1045;2.1045;2.1045
USDFJD:CUR;08/04/2022;2.10405;2.10405;2.10405;2.10405
USDFJD:CUR;07/04/2022;2.09575;2.09575;2.09575;2.09575
USDFJD:CUR;06/04/2022;2.0878;2.0878;2.0878;2.0878
USDFJD:CUR;05/04/2022;2.0761;2.0761;2.0761;2.0761
USDFJD:CUR;04/04/2022;2.0835;2.0835;2.0835;2.0835
USDFJD:CUR;01/04/2022;2.0909;2.0909;2.0909;2.0909
USDFJD:CUR;31/03/2022;2.08435;2.08435;2.08435;2.08435
USDFJD:CUR;30/03/2022;2.0809;2.0809;2.0809;2.0809
USDFJD:CUR;29/03/2022;2.0883;2.0883;2.0883;2.0883
USDFJD:CUR;28/03/2022;2.094;2.094;2.094;2.094
USDFJD:CUR;25/03/2022;2.08305;2.08305;2.08305;2.08305
USDFJD:CUR;24/03/2022;2.08655;2.08655;2.08655;2.08655
USDFJD:CUR;23/03/2022;2.08565;2.08565;2.08565;2.08565
USDFJD:CUR;22/03/2022;2.0922;2.0922;2.0922;2.0922
USDFJD:CUR;21/03/2022;2.10625;2.10625;2.10625;2.10625
USDFJD:CUR;18/03/2022;2.10805;2.10805;2.10805;2.10805
USDFJD:CUR;17/03/2022;2.11965;2.11965;2.11965;2.11965
USDFJD:CUR;16/03/2022;2.13415;2.13415;2.13415;2.13415
USDFJD:CUR;15/03/2022;2.13415;2.13415;2.13415;2.13415
USDFJD:CUR;14/03/2022;2.12105;2.12105;2.12105;2.12105
USDFJD:CUR;11/03/2022;2.10995;2.10995;2.10995;2.10995
USDFJD:CUR;10/03/2022;2.09835;2.09835;2.09835;2.09835
USDFJD:CUR;09/03/2022;2.1077;2.1077;2.1077;2.1077
USDFJD:CUR;08/03/2022;2.11315;2.11315;2.11315;2.11315
USDFJD:CUR;07/03/2022;2.10205;2.10205;2.10205;2.10205
USDFJD:CUR;04/03/2022;2.1093;2.1093;2.1093;2.1093
USDFJD:CUR;03/03/2022;2.1093;2.1093;2.1093;2.1093
USDFJD:CUR;02/03/2022;2.12475;2.12475;2.12475;2.12475
USDFJD:CUR;01/03/2022;2.1242;2.1242;2.1242;2.1242
USDFJD:CUR;28/02/2022;2.1334;2.1334;2.1334;2.1334
USDFJD:CUR;25/02/2022;2.1356;2.1356;2.1356;2.1356
USDFJD:CUR;24/02/2022;2.12425;2.12425;2.12425;2.12425
USDFJD:CUR;23/02/2022;2.12655;2.12655;2.12655;2.12655
USDFJD:CUR;22/02/2022;2.12995;2.12995;2.12995;2.12995
USDFJD:CUR;21/02/2022;2.1336;2.1336;2.1336;2.1336
USDFJD:CUR;18/02/2022;2.1347;2.1347;2.1347;2.1347
USDFJD:CUR;17/02/2022;2.13365;2.13365;2.13365;2.13365
USDFJD:CUR;16/02/2022;2.1425;2.1425;2.1425;2.1425
USDFJD:CUR;15/02/2022;2.1471;2.1471;2.1471;2.1471
USDFJD:CUR;14/02/2022;2.14385;2.14385;2.14385;2.14385
USDFJD:CUR;11/02/2022;2.1345;2.1345;2.1345;2.1345
USDFJD:CUR;10/02/2022;2.1345;2.1345;2.1345;2.1345
USDFJD:CUR;09/02/2022;2.14145;2.14145;2.14145;2.14145
USDFJD:CUR;08/02/2022;2.14375;2.14375;2.14375;2.14375
USDFJD:CUR;07/02/2022;2.14925;2.14925;2.14925;2.14925
USDFJD:CUR;04/02/2022;2.14115;2.14115;2.14115;2.14115
USDFJD:CUR;03/02/2022;2.1425;2.1425;2.1425;2.1425
USDFJD:CUR;02/02/2022;2.1442;2.1442;2.1442;2.1442
USDFJD:CUR;01/02/2022;2.15435;2.15435;2.15435;2.15435
USDFJD:CUR;31/01/2022;2.16525;2.16525;2.16525;2.16525
USDFJD:CUR;28/01/2022;2.159;2.159;2.159;2.159
USDFJD:CUR;27/01/2022;2.1379;2.1379;2.1379;2.1379
USDFJD:CUR;26/01/2022;2.1379;2.1379;2.1379;2.1379
USDFJD:CUR;25/01/2022;2.1379;2.1379;2.1379;2.1379
USDFJD:CUR;24/01/2022;2.12995;2.12995;2.12995;2.12995
USDFJD:CUR;21/01/2022;2.1246;2.1246;2.1246;2.1246
USDFJD:CUR;20/01/2022;2.1228;2.1228;2.1228;2.1228
USDFJD:CUR;19/01/2022;2.1261;2.1261;2.1261;2.1261
