Symbol;Date;Open;High;Low;Close
USDPGK:CUR;09/05/2022;3.50345;3.50345;3.50345;3.50345
USDPGK:CUR;06/05/2022;3.56885;3.56885;3.56885;3.56885
USDPGK:CUR;05/05/2022;3.5243;3.5243;3.5243;3.5243
USDPGK:CUR;04/05/2022;3.52415;3.52415;3.52415;3.52415
USDPGK:CUR;03/05/2022;3.5243;3.5243;3.5243;3.5243
USDPGK:CUR;02/05/2022;3.5197;3.5197;3.5197;3.5197
USDPGK:CUR;29/04/2022;3.5243;3.5243;3.5243;3.5243
USDPGK:CUR;28/04/2022;3.5093;3.5093;3.5093;3.5093
USDPGK:CUR;27/04/2022;3.52625;3.52625;3.52625;3.52625
USDPGK:CUR;26/04/2022;3.5093;3.5093;3.5093;3.5093
USDPGK:CUR;25/04/2022;3.5093;3.5093;3.5093;3.5093
USDPGK:CUR;22/04/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;21/04/2022;3.5093;3.5093;3.5093;3.5093
USDPGK:CUR;20/04/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;19/04/2022;3.52095;3.52095;3.52095;3.52095
USDPGK:CUR;18/04/2022;3.4777;3.4777;3.4777;3.4777
USDPGK:CUR;15/04/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;14/04/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;13/04/2022;3.5093;3.5093;3.5093;3.5093
USDPGK:CUR;12/04/2022;3.52225;3.52225;3.52225;3.52225
USDPGK:CUR;11/04/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;08/04/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;07/04/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;06/04/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;05/04/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;04/04/2022;3.50995;3.50995;3.50995;3.50995
USDPGK:CUR;01/04/2022;3.50345;3.50345;3.50345;3.50345
USDPGK:CUR;31/03/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;30/03/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;29/03/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;28/03/2022;3.50995;3.50995;3.50995;3.50995
USDPGK:CUR;25/03/2022;3.5093;3.5093;3.5093;3.5093
USDPGK:CUR;24/03/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;23/03/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;22/03/2022;3.5243;3.5243;3.5243;3.5243
USDPGK:CUR;21/03/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;18/03/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;17/03/2022;3.5093;3.5093;3.5093;3.5093
USDPGK:CUR;16/03/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;15/03/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;14/03/2022;3.52555;3.52555;3.52555;3.52555
USDPGK:CUR;11/03/2022;3.5243;3.5243;3.5243;3.5243
USDPGK:CUR;10/03/2022;3.5093;3.5093;3.5093;3.5093
USDPGK:CUR;09/03/2022;3.5243;3.5243;3.5243;3.5243
USDPGK:CUR;08/03/2022;3.5248;3.5248;3.5248;3.5248
USDPGK:CUR;07/03/2022;3.5243;3.5243;3.5243;3.5243
USDPGK:CUR;04/03/2022;3.5093;3.5093;3.5093;3.5093
USDPGK:CUR;03/03/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;02/03/2022;3.52355;3.52355;3.52355;3.52355
USDPGK:CUR;01/03/2022;3.50345;3.50345;3.50345;3.50345
USDPGK:CUR;28/02/2022;3.5417;3.5417;3.5417;3.5417
USDPGK:CUR;25/02/2022;3.5417;3.5417;3.5417;3.5417
USDPGK:CUR;24/02/2022;3.5417;3.5417;3.5417;3.5417
USDPGK:CUR;23/02/2022;3.5417;3.5417;3.5417;3.5417
USDPGK:CUR;22/02/2022;3.5417;3.5417;3.5417;3.5417
USDPGK:CUR;21/02/2022;3.5112;3.5112;3.5112;3.5112
USDPGK:CUR;18/02/2022;3.5119;3.5119;3.5119;3.5119
USDPGK:CUR;17/02/2022;3.49125;3.49125;3.49125;3.49125
USDPGK:CUR;16/02/2022;3.5119;3.5119;3.5119;3.5119
