Symbol;Date;Open;High;Low;Close
USDALL:CUR;10/05/2022;113.94;114.25;113.26;114
USDALL:CUR;09/05/2022;113.92;114.48;113.31;113.89
USDALL:CUR;06/05/2022;113.85;114.5;112.75;113.77
USDALL:CUR;05/05/2022;113.07;114.1;112.88;114
USDALL:CUR;04/05/2022;114.4;114.55;113.04;113.08
USDALL:CUR;03/05/2022;113.99;114;113.99;114
USDALL:CUR;02/05/2022;114.19;114.19;114.1;114.1
USDALL:CUR;29/04/2022;115.34;115.41;113.62;114.25
USDALL:CUR;28/04/2022;114.08;115.57;113.88;115.32
USDALL:CUR;27/04/2022;113.05;114.6;112.65;114.12
USDALL:CUR;26/04/2022;111.9;113.12;111.87;113.05
USDALL:CUR;25/04/2022;111.08;111.08;111.05;111.05
USDALL:CUR;22/04/2022;110.65;111.46;110.14;111.16
USDALL:CUR;21/04/2022;110.44;110.74;109.36;110.35
USDALL:CUR;20/04/2022;111.33;111.45;109.95;110.41
USDALL:CUR;19/04/2022;112;112.1;111.13;111.35
USDALL:CUR;18/04/2022;111.67;111.67;111.56;111.56
USDALL:CUR;15/04/2022;111.19;111.87;111.04;111.78
USDALL:CUR;14/04/2022;110.7;112.26;110.08;111.54
USDALL:CUR;13/04/2022;111.3;111.7;110.65;110.86
USDALL:CUR;12/04/2022;111.03;111.6;110.25;111.55
USDALL:CUR;11/04/2022;111.2;111.25;110.02;111.01
USDALL:CUR;08/04/2022;111.05;111.63;110.63;111.22
USDALL:CUR;07/04/2022;111.1;111.4;110.17;110.85
USDALL:CUR;06/04/2022;111.01;111.45;110.17;111.07
USDALL:CUR;05/04/2022;110.38;111.08;109.3;111.02
USDALL:CUR;04/04/2022;109.65;110.51;109.21;110.42
USDALL:CUR;01/04/2022;109.49;109.92;109.04;109.78
USDALL:CUR;31/03/2022;108.68;109.54;108.26;109.49
USDALL:CUR;30/03/2022;109.65;109.9;108.54;108.67
USDALL:CUR;29/03/2022;110.8;111.05;108.99;109.65
USDALL:CUR;28/03/2022;110.9;111.61;110.27;110.73
USDALL:CUR;25/03/2022;110.7;110.9;110.08;110.69
USDALL:CUR;24/03/2022;111.15;111.7;110.24;110.72
USDALL:CUR;23/03/2022;111;111.7;110.65;111.15
USDALL:CUR;22/03/2022;110.65;110.65;110.65;110.65
USDALL:CUR;21/03/2022;110.75;110.8;110.3;110.4
USDALL:CUR;18/03/2022;110.52;111.4;110.17;110.75
USDALL:CUR;17/03/2022;110.98;111.25;109.98;110.49
USDALL:CUR;16/03/2022;111.68;111.95;110.59;110.98
USDALL:CUR;15/03/2022;111.26;112.1;110.92;111.68
USDALL:CUR;14/03/2022;112.24;112.24;112.15;112.15
USDALL:CUR;11/03/2022;111.58;112.42;110.75;112.35
USDALL:CUR;10/03/2022;110.83;111.9;109.9;111.55
USDALL:CUR;09/03/2022;113.24;113.4;110.66;110.84
USDALL:CUR;08/03/2022;115.34;115.9;112.77;113.3
USDALL:CUR;07/03/2022;113;115.94;112.86;115.4
USDALL:CUR;04/03/2022;110.71;113.06;110.5;112.73
USDALL:CUR;03/03/2022;109.63;110.97;109.52;110.25
USDALL:CUR;02/03/2022;109.05;110.45;108.62;109.6
USDALL:CUR;01/03/2022;107.98;109.37;107.6;109.07
USDALL:CUR;28/02/2022;108.5;108.5;107.5;107.98
USDALL:CUR;25/02/2022;107.92;108.4;107.3;107.37
USDALL:CUR;24/02/2022;107.04;108.99;107.04;108.15
USDALL:CUR;23/02/2022;106.86;107.16;106.3;107.11
USDALL:CUR;22/02/2022;107.03;107.27;106.2;106.88
USDALL:CUR;21/02/2022;106.25;107.1;106.1;107.07
USDALL:CUR;18/02/2022;106.59;107.07;106.1;107
USDALL:CUR;17/02/2022;106.51;107;106.05;106.58
USDALL:CUR;16/02/2022;106.66;106.79;106.02;106.53
USDALL:CUR;15/02/2022;107.09;107.14;106.34;106.65
USDALL:CUR;14/02/2022;105.82;107.35;105.8;107.1
USDALL:CUR;11/02/2022;106.07;106.9;105.7;106.64
USDALL:CUR;10/02/2022;105.95;106.53;105.32;106.06
USDALL:CUR;09/02/2022;105.9;106.2;105.5;106
USDALL:CUR;08/02/2022;105.87;106.31;105.46;106.12
USDALL:CUR;07/02/2022;105.95;106.13;105.37;105.88
USDALL:CUR;04/02/2022;105.99;106.21;105.29;105.85
USDALL:CUR;03/02/2022;107.16;107.55;105.6;106
USDALL:CUR;02/02/2022;107.39;107.47;106.62;107.16
USDALL:CUR;01/02/2022;107.44;107.74;106.98;107.37
USDALL:CUR;31/01/2022;108.35;108.35;107.35;107.48
USDALL:CUR;28/01/2022;108.22;108.45;107.63;108.12
USDALL:CUR;27/01/2022;107.41;108.36;107.3;108.23
USDALL:CUR;26/01/2022;106.7;107.46;106.59;107.4
USDALL:CUR;25/01/2022;106.71;107.2;106.55;106.69
USDALL:CUR;24/01/2022;107;107.15;106.5;106.74
USDALL:CUR;21/01/2022;107.24;107.36;106.53;106.7
USDALL:CUR;20/01/2022;107.2;107.35;106.6;107.25
USDALL:CUR;19/01/2022;107.42;107.45;106.76;107.09
USDALL:CUR;18/01/2022;106.81;107.49;106.51;107.38
USDALL:CUR;17/01/2022;106.75;107.1;106.43;106.83
USDALL:CUR;14/01/2022;106.57;107.1;105.98;106.95
USDALL:CUR;13/01/2022;105.93;106.66;105.16;106.59
USDALL:CUR;12/01/2022;106.88;107.05;105.84;105.93
USDALL:CUR;11/01/2022;107.17;107.39;106.7;106.86
USDALL:CUR;10/01/2022;107.05;107.61;106.57;107.16
USDALL:CUR;07/01/2022;107.13;107.3;106.44;106.6
USDALL:CUR;06/01/2022;106.76;107.2;106.35;107.07
USDALL:CUR;05/01/2022;105.72;106.87;105.72;106.77
USDALL:CUR;04/01/2022;105.69;105.69;105.5;105.5
USDALL:CUR;03/01/2022;105.82;105.82;105.69;105.69
USDALL:CUR;31/12/2021;106.34;106.6;105.64;105.93
