Symbol;Date;Open;High;Low;Close
USDBIH:CUR;10/05/2022;1.8524;1.8529;1.8475;1.8494
USDBIH:CUR;09/05/2022;1.8507;1.863;1.8464;1.8522
USDBIH:CUR;06/05/2022;1.8545;1.8651;1.8459;1.8543
USDBIH:CUR;05/05/2022;1.841;1.8631;1.8388;1.8572
USDBIH:CUR;04/05/2022;1.8587;1.8608;1.8395;1.8409
USDBIH:CUR;03/05/2022;1.8621;1.8637;1.8492;1.8587
USDBIH:CUR;02/05/2022;1.8545;1.8654;1.8524;1.8608
USDBIH:CUR;29/04/2022;1.8623;1.8654;1.8464;1.8541
USDBIH:CUR;28/04/2022;1.8512;1.8669;1.8323;1.8626
USDBIH:CUR;27/04/2022;1.8383;1.8596;1.8201;1.8519
USDBIH:CUR;26/04/2022;1.8252;1.8383;1.8081;1.8383
USDBIH:CUR;25/04/2022;1.7965;1.8276;1.7965;1.8256
USDBIH:CUR;22/04/2022;1.8042;1.8149;1.7965;1.8107
USDBIH:CUR;21/04/2022;1.8019;1.8105;1.788;1.805
USDBIH:CUR;20/04/2022;1.8126;1.8134;1.798;1.8014
USDBIH:CUR;19/04/2022;1.8136;1.8169;1.798;1.8124
USDBIH:CUR;18/04/2022;1.8114;1.8156;1.798;1.8137
USDBIH:CUR;15/04/2022;1.8059;1.8107;1.8055;1.8077
USDBIH:CUR;14/04/2022;1.7961;1.8173;1.7903;1.806
USDBIH:CUR;13/04/2022;1.8057;1.8087;1.7943;1.7954
USDBIH:CUR;12/04/2022;1.7962;1.8069;1.7939;1.806
USDBIH:CUR;11/04/2022;1.7877;1.8008;1.7856;1.7966
USDBIH:CUR;08/04/2022;1.7967;1.8045;1.7906;1.7977
USDBIH:CUR;07/04/2022;1.7951;1.7992;1.7818;1.7972
USDBIH:CUR;06/04/2022;1.7933;1.7982;1.7772;1.7944
USDBIH:CUR;05/04/2022;1.782;1.7941;1.7697;1.7931
USDBIH:CUR;04/04/2022;1.7619;1.784;1.7619;1.7825
USDBIH:CUR;01/04/2022;1.7672;1.7822;1.7579;1.7699
USDBIH:CUR;31/03/2022;1.7521;1.7835;1.7485;1.767
USDBIH:CUR;30/03/2022;1.7638;1.7835;1.7507;1.7525
USDBIH:CUR;29/03/2022;1.7777;1.7835;1.7559;1.7638
USDBIH:CUR;28/03/2022;1.7816;1.7867;1.7777;1.7799
USDBIH:CUR;25/03/2022;1.7778;1.7816;1.7715;1.7802
USDBIH:CUR;24/03/2022;1.7763;1.7872;1.7742;1.7783
USDBIH:CUR;23/03/2022;1.773;1.7836;1.7709;1.7768
USDBIH:CUR;22/03/2022;1.7754;1.784;1.7707;1.7728
USDBIH:CUR;21/03/2022;1.7698;1.7767;1.7672;1.7752
USDBIH:CUR;18/03/2022;1.763;1.779;1.7588;1.7693
USDBIH:CUR;17/03/2022;1.7717;1.7795;1.7558;1.7634
USDBIH:CUR;16/03/2022;1.7851;1.7861;1.7704;1.7722
USDBIH:CUR;15/03/2022;1.7872;1.7895;1.7755;1.7848
USDBIH:CUR;14/03/2022;1.7646;1.7938;1.7646;1.7874
USDBIH:CUR;11/03/2022;1.7804;1.7934;1.7646;1.7925
USDBIH:CUR;10/03/2022;1.7654;1.7957;1.7589;1.7794
USDBIH:CUR;09/03/2022;1.7936;1.7957;1.7626;1.7653
USDBIH:CUR;08/03/2022;1.8015;1.8022;1.7853;1.7944
USDBIH:CUR;07/03/2022;1.7658;1.8027;1.7658;1.8017
USDBIH:CUR;04/03/2022;1.7667;1.7953;1.7609;1.7887
USDBIH:CUR;03/03/2022;1.7583;1.7722;1.7522;1.7672
