Symbol;Date;Open;High;Low;Close
USDBYR:CUR;10/05/2022;3.3141;3.3141;3.3141;3.3141
USDBYR:CUR;09/05/2022;3.3141;3.3141;3.31;3.31
USDBYR:CUR;06/05/2022;3.3121;3.3141;3.31;3.31
USDBYR:CUR;05/05/2022;3.3121;3.3121;3.3;3.3121
USDBYR:CUR;04/05/2022;3.3011;3.3121;3.3011;3.3121
USDBYR:CUR;03/05/2022;3.3021;3.305;3.3011;3.3011
USDBYR:CUR;02/05/2022;3.3021;3.31;3.3021;3.3021
USDBYR:CUR;29/04/2022;3.3041;3.3041;3.3;3.3021
USDBYR:CUR;28/04/2022;3.3011;3.31;3.3011;3.3041
USDBYR:CUR;27/04/2022;3.3011;3.3011;3.3;3.3011
USDBYR:CUR;26/04/2022;3.3021;3.305;3.3011;3.3011
USDBYR:CUR;25/04/2022;3.3001;3.31;3.3001;3.3021
USDBYR:CUR;22/04/2022;3.3001;3.33;3.3001;3.3001
USDBYR:CUR;21/04/2022;3.2511;3.3001;3.2501;3.3001
USDBYR:CUR;20/04/2022;3.2511;3.27;3.2511;3.2511
USDBYR:CUR;19/04/2022;3.2511;3.2511;3.23;3.2511
USDBYR:CUR;18/04/2022;3.2511;3.2511;3.25;3.2511
USDBYR:CUR;15/04/2022;3.2511;3.2511;3.25;3.2511
USDBYR:CUR;14/04/2022;3.2511;3.2511;3.25;3.2511
USDBYR:CUR;13/04/2022;3.2511;3.2511;3.25;3.2511
USDBYR:CUR;12/04/2022;3.2511;3.2511;3.25;3.2511
USDBYR:CUR;11/04/2022;3.2511;3.2511;3.25;3.2511
USDBYR:CUR;08/04/2022;3.2511;3.2511;3.25;3.2511
USDBYR:CUR;07/04/2022;3.25;3.25;3.25;3.25
USDBYR:CUR;06/04/2022;3.25;3.25;3.25;3.25
USDBYR:CUR;05/04/2022;3.25;3.25;3.25;3.25
USDBYR:CUR;04/04/2022;3.252;3.252;3.252;3.252
USDBYR:CUR;01/04/2022;3.252;3.252;3.252;3.252
USDBYR:CUR;31/03/2022;3.252;3.252;3.252;3.252
USDBYR:CUR;30/03/2022;3.252;3.252;3.252;3.252
USDBYR:CUR;29/03/2022;3.252;3.252;3.252;3.252
USDBYR:CUR;28/03/2022;3.252;3.252;3.252;3.252
USDBYR:CUR;25/03/2022;3.252;3.252;3.252;3.252
USDBYR:CUR;24/03/2022;3.252;3.252;3.252;3.252
USDBYR:CUR;23/03/2022;3.249;3.256;3.247;3.252
USDBYR:CUR;22/03/2022;3.2614;3.263;3.245;3.253
USDBYR:CUR;21/03/2022;3.24;3.2653;3.24;3.2586
USDBYR:CUR;18/03/2022;3.2785;3.2876;3.239;3.24
USDBYR:CUR;17/03/2022;3.2859;3.2859;3.2351;3.2585
USDBYR:CUR;16/03/2022;3.2945;3.2945;3.2758;3.2855
USDBYR:CUR;15/03/2022;3.2903;3.305;3.2903;3.3017
USDBYR:CUR;14/03/2022;3.2655;3.28;3.2655;3.2683
USDBYR:CUR;11/03/2022;3.2625;3.282;3.255;3.2655
USDBYR:CUR;10/03/2022;3.2934;3.305;3.2625;3.2625
USDBYR:CUR;09/03/2022;3.0898;3.325;3.0898;3.2745
USDBYR:CUR;08/03/2022;3.0898;3.0898;3.0898;3.0898
USDBYR:CUR;07/03/2022;3.0898;3.0898;3.0898;3.0898
USDBYR:CUR;04/03/2022;3.0795;3.0898;3.078;3.0898
USDBYR:CUR;03/03/2022;3.0799;3.08;3.077;3.0798
USDBYR:CUR;02/03/2022;3.1;3.1;3.0625;3.0799
USDBYR:CUR;01/03/2022;2.955;2.971;2.87;2.971
USDBYR:CUR;28/02/2022;2.7477;3.124;2.7477;3.05
USDBYR:CUR;25/02/2022;2.768;2.768;2.736;2.7477
USDBYR:CUR;24/02/2022;2.7901;2.806;2.757;2.764
USDBYR:CUR;23/02/2022;2.633;2.643;2.623;2.6392
USDBYR:CUR;22/02/2022;2.6146;2.6376;2.6146;2.6376
USDBYR:CUR;21/02/2022;2.5638;2.5945;2.5638;2.5945
USDBYR:CUR;18/02/2022;2.5696;2.5696;2.559;2.5636
USDBYR:CUR;17/02/2022;2.5596;2.575;2.5596;2.5676
USDBYR:CUR;16/02/2022;2.5516;2.5596;2.5493;2.5531
USDBYR:CUR;15/02/2022;2.5766;2.5856;2.561;2.563
USDBYR:CUR;14/02/2022;2.5552;2.5787;2.5552;2.5787
USDBYR:CUR;11/02/2022;2.5536;2.5591;2.5505;2.5521
USDBYR:CUR;10/02/2022;2.5566;2.5566;2.5518;2.5521
USDBYR:CUR;09/02/2022;2.5616;2.5646;2.55;2.5561
USDBYR:CUR;08/02/2022;2.5581;2.5733;2.552;2.5678
USDBYR:CUR;07/02/2022;2.5733;2.578;2.5571;2.5582
USDBYR:CUR;04/02/2022;2.5746;2.5835;2.5679;2.5817
USDBYR:CUR;03/02/2022;2.5836;2.5929;2.5836;2.5886
USDBYR:CUR;02/02/2022;2.5766;2.5926;2.5766;2.5796
USDBYR:CUR;01/02/2022;2.5881;2.5889;2.5836;2.5836
USDBYR:CUR;31/01/2022;2.608;2.608;2.5896;2.5961
USDBYR:CUR;28/01/2022;2.6036;2.6136;2.6036;2.6046
USDBYR:CUR;27/01/2022;2.6156;2.6162;2.6152;2.616
USDBYR:CUR;26/01/2022;2.6146;2.6256;2.6096;2.6176
USDBYR:CUR;25/01/2022;2.5916;2.6196;2.5916;2.6096
USDBYR:CUR;24/01/2022;2.5675;2.5985;2.5675;2.5916
USDBYR:CUR;21/01/2022;2.5646;2.5726;2.5631;2.5656
USDBYR:CUR;20/01/2022;2.5746;2.5768;2.5606;2.5606
USDBYR:CUR;19/01/2022;2.5846;2.5956;2.5741;2.5751
USDBYR:CUR;18/01/2022;2.5821;2.5861;2.5766;2.5831
USDBYR:CUR;17/01/2022;2.5671;2.5819;2.567;2.581
USDBYR:CUR;14/01/2022;2.5516;2.5695;2.5516;2.5666
USDBYR:CUR;13/01/2022;2.563;2.563;2.5475;2.5516
USDBYR:CUR;12/01/2022;2.5716;2.5716;2.5596;2.5596
USDBYR:CUR;11/01/2022;2.5776;2.5776;2.5696;2.5706
USDBYR:CUR;10/01/2022;2.5726;2.5796;2.5726;2.5766
USDBYR:CUR;07/01/2022;2.5811;2.5811;2.5811;2.5811
USDBYR:CUR;06/01/2022;2.5826;2.5836;2.5806;2.5836
USDBYR:CUR;05/01/2022;2.5736;2.5851;2.5736;2.577
USDBYR:CUR;04/01/2022;2.5516;2.5771;2.5516;2.5736
USDBYR:CUR;03/01/2022;2.5426;2.5565;2.5426;2.5516
USDBYR:CUR;31/12/2021;2.5484;2.556;2.5456;2.5456
USDBYR:CUR;30/12/2021;2.5232;2.5508;2.5176;2.5485
