Symbol;Date;Open;High;Low;Close
USDHRV:CUR;10/05/2022;7.1273;7.139;7.1118;7.1245
USDHRV:CUR;09/05/2022;7.1406;7.1764;7.1065;7.1326
USDHRV:CUR;06/05/2022;7.1471;7.188;7.1037;7.1404
USDHRV:CUR;05/05/2022;7.1028;7.1818;7.0914;7.1485
USDHRV:CUR;04/05/2022;7.1753;7.1908;7.0961;7.1054
USDHRV:CUR;03/05/2022;7.1954;7.2003;7.1389;7.1811
USDHRV:CUR;02/05/2022;7.1892;7.2036;7.1525;7.192
USDHRV:CUR;29/04/2022;7.209;7.2131;7.1415;7.171
USDHRV:CUR;28/04/2022;7.1779;7.2269;7.1569;7.2076
USDHRV:CUR;27/04/2022;7.1056;7.1873;7.0869;7.1873
USDHRV:CUR;26/04/2022;7.0555;7.1082;7.0401;7.1076
USDHRV:CUR;25/04/2022;7.0045;7.0671;7.0045;7.0578
USDHRV:CUR;22/04/2022;6.9767;7.0071;6.9658;7.002
USDHRV:CUR;21/04/2022;6.9633;6.9842;6.9071;6.9774
USDHRV:CUR;20/04/2022;7.0065;7.0101;6.9544;6.9614
USDHRV:CUR;19/04/2022;6.9796;7.0147;6.9783;7.0071
USDHRV:CUR;18/04/2022;6.9796;6.9796;6.9796;6.9796
USDHRV:CUR;15/04/2022;6.9772;6.9985;6.9759;6.9796
USDHRV:CUR;14/04/2022;6.9362;7.0264;6.9095;6.9772
USDHRV:CUR;13/04/2022;6.9712;7.0004;6.9316;6.9316
USDHRV:CUR;12/04/2022;6.9359;6.975;6.9224;6.9725
USDHRV:CUR;11/04/2022;6.9377;6.9427;6.8999;6.9346
USDHRV:CUR;08/04/2022;6.9447;6.9655;6.932;6.9379
USDHRV:CUR;07/04/2022;6.9258;6.9521;6.8999;6.9427
USDHRV:CUR;06/04/2022;6.9135;6.9357;6.8922;6.924
USDHRV:CUR;05/04/2022;6.8718;6.9169;6.8581;6.9137
USDHRV:CUR;04/04/2022;6.8422;6.8793;6.8191;6.873
