Symbol;Date;Open;High;Low;Close
USDISK:CUR;10/05/2022;131.78;132.31;131.43;132.06
USDISK:CUR;09/05/2022;131.48;132.74;131.35;131.72
USDISK:CUR;06/05/2022;130.74;131.67;130.03;131.49
USDISK:CUR;05/05/2022;129.55;131.4;129.33;130.74
USDISK:CUR;04/05/2022;130.8;131;129.46;129.57
USDISK:CUR;03/05/2022;130.28;130.96;129.93;130.82
USDISK:CUR;02/05/2022;130.45;130.96;129.8;130.25
USDISK:CUR;29/04/2022;131.12;131.2;129.93;130.52
USDISK:CUR;28/04/2022;131.08;131.5;130.7;131.11
USDISK:CUR;27/04/2022;129.93;131.33;129.73;130.91
USDISK:CUR;26/04/2022;129.29;129.97;128.91;129.93
USDISK:CUR;25/04/2022;128.65;129.83;128.55;129.21
USDISK:CUR;22/04/2022;128.1;129.68;127.93;128.75
USDISK:CUR;21/04/2022;127.94;128.27;126.94;128.14
USDISK:CUR;20/04/2022;129.05;129.17;127.76;127.91
USDISK:CUR;19/04/2022;130.04;130.32;128.82;129.07
USDISK:CUR;18/04/2022;129.78;130.21;129.57;130.05
USDISK:CUR;15/04/2022;129.5;129.89;129.47;129.73
USDISK:CUR;14/04/2022;128.8;130.36;128.38;129.51
USDISK:CUR;13/04/2022;128.79;129.74;128.54;128.76
USDISK:CUR;12/04/2022;128.12;128.86;127.87;128.79
USDISK:CUR;11/04/2022;128.35;128.6;127.78;128.11
USDISK:CUR;08/04/2022;129.09;129.51;128.12;128.35
USDISK:CUR;07/04/2022;129.07;129.49;128.61;129.07
USDISK:CUR;06/04/2022;128.95;129.64;128.68;129.08
USDISK:CUR;05/04/2022;128.9;129.51;128.7;128.95
USDISK:CUR;04/04/2022;128.29;129.24;128.04;128.9
USDISK:CUR;01/04/2022;128.15;128.67;128.05;128.29
USDISK:CUR;31/03/2022;127.13;128.23;126.8;128.15
USDISK:CUR;30/03/2022;127.56;127.87;126.71;127.09
USDISK:CUR;29/03/2022;129.71;129.84;126.89;127.57
USDISK:CUR;28/03/2022;129.68;130.34;129.48;129.69
USDISK:CUR;25/03/2022;129.16;129.74;128.49;129.68
USDISK:CUR;24/03/2022;128.34;129.38;128.19;129.14
USDISK:CUR;23/03/2022;128.86;129.14;128.25;128.33
USDISK:CUR;22/03/2022;129.37;130.05;128.77;128.85
USDISK:CUR;21/03/2022;128.7;129.46;128.57;129.4
USDISK:CUR;18/03/2022;129.04;129.77;128.54;128.8
USDISK:CUR;17/03/2022;128.98;129.3;128.25;128.8
USDISK:CUR;16/03/2022;131.94;132.07;128.84;128.96
USDISK:CUR;15/03/2022;132.47;132.58;131.39;131.95
USDISK:CUR;14/03/2022;132.52;132.77;131.82;132.48
USDISK:CUR;11/03/2022;132.3;132.76;131.19;132.64
USDISK:CUR;10/03/2022;131.07;132.41;130.85;132.3
USDISK:CUR;09/03/2022;133.48;133.64;130.79;131.03
USDISK:CUR;08/03/2022;134.35;134.51;132.79;133.56
USDISK:CUR;07/03/2022;131.55;134.8;131.55;134.35
USDISK:CUR;04/03/2022;129.45;132.31;129.4;131.65
USDISK:CUR;03/03/2022;128.69;129.81;128.65;129.43
USDISK:CUR;02/03/2022;127.64;129.37;127.53;128.58
USDISK:CUR;01/03/2022;126.27;128.08;126.08;127.64
USDISK:CUR;28/02/2022;125.17;126.73;125.16;126.25
USDISK:CUR;25/02/2022;126.55;127.02;124.92;125.16
USDISK:CUR;24/02/2022;124.68;127.69;124.66;126.53
USDISK:CUR;23/02/2022;124.51;124.8;124.16;124.71
USDISK:CUR;22/02/2022;125.03;125.3;124.21;124.53
USDISK:CUR;21/02/2022;124.47;125.09;123.65;125.06
USDISK:CUR;18/02/2022;124.3;124.52;123.72;124.38
USDISK:CUR;17/02/2022;124.34;124.74;124.11;124.32
USDISK:CUR;16/02/2022;123.99;124.54;123.53;124.36
USDISK:CUR;15/02/2022;125.43;125.49;123.88;124
USDISK:CUR;14/02/2022;124.86;126.08;124.57;125.44
USDISK:CUR;11/02/2022;123.95;125.01;123.9;124.77
USDISK:CUR;10/02/2022;123.94;124.52;123.22;123.93
USDISK:CUR;09/02/2022;124.41;124.64;123.72;123.95
USDISK:CUR;08/02/2022;124.84;125.34;124.19;124.42
USDISK:CUR;07/02/2022;124.64;125.51;124.62;124.83
USDISK:CUR;04/02/2022;124.51;125.21;124.15;124.76
USDISK:CUR;03/02/2022;126.34;126.81;124.38;124.5
USDISK:CUR;02/02/2022;127.25;127.58;126.02;126.35
USDISK:CUR;01/02/2022;127.47;127.68;127.1;127.24
USDISK:CUR;31/01/2022;129.04;129.14;127.36;127.48
USDISK:CUR;30/01/2022;129.61;129.61;129.03999;129.05
USDISK:CUR;28/01/2022;129.57;129.92;128.52;129.03
USDISK:CUR;27/01/2022;129.21;130.25;129.17;129.59
USDISK:CUR;26/01/2022;128.86;129.27;128.54;129.2
USDISK:CUR;25/01/2022;128.4;129.49;128.35;128.86
USDISK:CUR;24/01/2022;128.21;128.93;128.12;128.39
USDISK:CUR;21/01/2022;128.37;128.52;128.03;128.19
USDISK:CUR;20/01/2022;127.86;128.49;127.56;128.38
USDISK:CUR;19/01/2022;128.59;128.68;127.63;127.85
USDISK:CUR;18/01/2022;128.36;128.71;127.94;128.55
USDISK:CUR;17/01/2022;128.46;128.73;128.22;128.35
USDISK:CUR;14/01/2022;128.36;128.65;128.04;128.44
USDISK:CUR;13/01/2022;128.33;128.49;127.91;128.35
