Symbol;Date;Open;High;Low;Close
USDMKD:CUR;10/05/2022;58.15;58.37;58.15;58.32
USDMKD:CUR;09/05/2022;58.52;58.56;58.05;58.29
USDMKD:CUR;06/05/2022;58.45;58.66;57.94;58.19
USDMKD:CUR;05/05/2022;57.97;58.33;57.92;58.29
USDMKD:CUR;04/05/2022;58.52;58.52;58.2;58.22
USDMKD:CUR;03/05/2022;58.53;58.61;58.15;58.32
USDMKD:CUR;02/05/2022;58.33;58.33;58.33;58.33
USDMKD:CUR;29/04/2022;58.36;58.51;57.96;58.39
USDMKD:CUR;28/04/2022;58.34;58.34;58.34;58.34
USDMKD:CUR;27/04/2022;57.89;58.38;57.86;58.34
USDMKD:CUR;26/04/2022;57.34;57.66;57.32;57.66
USDMKD:CUR;25/04/2022;56.54;56.54;56.54;56.54
USDMKD:CUR;22/04/2022;56.55;56.55;56.51;56.51
USDMKD:CUR;21/04/2022;56.68;56.82;56.26;56.61
USDMKD:CUR;20/04/2022;56.87;56.92;56.6;56.66
USDMKD:CUR;19/04/2022;57.1;57.11;56.87;56.97
USDMKD:CUR;18/04/2022;56.97;57.03;56.84;56.88
USDMKD:CUR;15/04/2022;56.92;56.93;56.72;56.88
USDMKD:CUR;14/04/2022;56.35;57.15;56.22;56.95
USDMKD:CUR;13/04/2022;56.73;56.89;56.7;56.84
USDMKD:CUR;12/04/2022;56.56;56.68;56.41;56.65
USDMKD:CUR;11/04/2022;56.48;56.54;56.25;56.28
USDMKD:CUR;08/04/2022;56.6;56.75;56.42;56.71
USDMKD:CUR;07/04/2022;56.35;56.6;56.13;56.27
USDMKD:CUR;06/04/2022;56.53;56.56;56.24;56.37
USDMKD:CUR;05/04/2022;56.07;56.13;55.92;56.1
USDMKD:CUR;04/04/2022;55.65;56.01;55.58;55.92
USDMKD:CUR;01/04/2022;55.6;55.72;55.53;55.68
USDMKD:CUR;31/03/2022;55.08;55.55;54.97;55.54
USDMKD:CUR;30/03/2022;55.31;55.38;55.09;55.13
USDMKD:CUR;29/03/2022;55.98;56.04;55.23;55.27
USDMKD:CUR;28/03/2022;56.17;56.19;55.81;56.09
USDMKD:CUR;25/03/2022;55.79;55.93;55.76;55.82
USDMKD:CUR;24/03/2022;55.99;56.06;55.75;55.81
USDMKD:CUR;23/03/2022;55.74;56.09;55.73;55.97
USDMKD:CUR;22/03/2022;56.07;56.11;55.68;55.77
USDMKD:CUR;21/03/2022;55.63;55.78;55.58;55.68
USDMKD:CUR;18/03/2022;55.48;55.89;55.4;55.62
USDMKD:CUR;17/03/2022;55.7;55.78;55.45;55.5
USDMKD:CUR;16/03/2022;56.02;56.13;55.74;55.83
USDMKD:CUR;15/03/2022;56.06;56.14;55.7;56.12
USDMKD:CUR;14/03/2022;56.34;56.36;55.86;56.08
USDMKD:CUR;11/03/2022;55.93;56;55.65;55.77
USDMKD:CUR;10/03/2022;55.65;55.89;55.32;55.83
USDMKD:CUR;09/03/2022;56.35;56.35;55.53;55.53
USDMKD:CUR;08/03/2022;56.68;56.68;56.32;56.49
USDMKD:CUR;07/03/2022;56.54;56.91;56.28;56.49
USDMKD:CUR;04/03/2022;55.81;56.48;55.67;56.33
USDMKD:CUR;03/03/2022;55.39;55.58;55.3;55.52
USDMKD:CUR;02/03/2022;55.4;55.61;55.31;55.53
USDMKD:CUR;01/03/2022;54.88;55.26;54.65;55.26
USDMKD:CUR;28/02/2022;55.12;55.13;54.74;54.74
USDMKD:CUR;25/02/2022;54.91;55.08;54.68;54.7
USDMKD:CUR;24/02/2022;54.72;55.25;54.61;55.25
USDMKD:CUR;23/02/2022;54.31;54.32;54.03;54.26
USDMKD:CUR;22/02/2022;54.41;54.46;54;54.16
USDMKD:CUR;21/02/2022;54.1;54.32;53.91;54.26
USDMKD:CUR;18/02/2022;54.1;54.24;54.05;54.11
USDMKD:CUR;17/02/2022;54.12;54.22;54.02;54.09
USDMKD:CUR;16/02/2022;54.14;54.17;53.99;54.06
USDMKD:CUR;15/02/2022;54.32;54.38;54.05;54.19
USDMKD:CUR;14/02/2022;54.2;54.43;54.08;54.34
USDMKD:CUR;11/02/2022;53.87;53.92;53.68;53.92
USDMKD:CUR;10/02/2022;53.72;53.93;53.5;53.51
USDMKD:CUR;09/02/2022;53.73;53.73;53.68;53.68
USDMKD:CUR;08/02/2022;53.78;53.78;53.73;53.73
USDMKD:CUR;07/02/2022;53.75;53.76;53.62;53.68
USDMKD:CUR;04/02/2022;54.29;54.29;54.29;54.29
USDMKD:CUR;03/02/2022;54.16;54.42;54.16;54.34
USDMKD:CUR;02/02/2022;54.37;54.43;54.16;54.28
USDMKD:CUR;01/02/2022;54.52;54.55;54.46;54.49
USDMKD:CUR;31/01/2022;54.96;55.07;54.78;54.81
USDMKD:CUR;28/01/2022;55.15;55.18;54.95;55.05
USDMKD:CUR;27/01/2022;54.37;54.37;54.37;54.37
USDMKD:CUR;26/01/2022;54.35;54.44;54.32;54.37
USDMKD:CUR;25/01/2022;54.4;54.59;54.24;54.57
USDMKD:CUR;24/01/2022;54.21;54.47;54.21;54.28
USDMKD:CUR;21/01/2022;54.29;54.32;54.15;54.18
USDMKD:CUR;20/01/2022;54.19;54.28;54.1;54.25
USDMKD:CUR;19/01/2022;54.16;54.16;54.11;54.11
USDMKD:CUR;18/01/2022;53.95;54.18;53.79;54.16
USDMKD:CUR;17/01/2022;53.89;53.99;53.79;53.93
USDMKD:CUR;14/01/2022;53.62;53.83;53.6;53.79
USDMKD:CUR;13/01/2022;53.76;53.76;53.58;53.6
USDMKD:CUR;12/01/2022;54.11;54.19;53.85;53.87
USDMKD:CUR;11/01/2022;54.25;54.35;54.18;54.19
USDMKD:CUR;10/01/2022;54.26;54.49;54.09;54.38
USDMKD:CUR;07/01/2022;54.14;54.14;54.14;54.14
USDMKD:CUR;06/01/2022;54.19;54.2;54.14;54.14
USDMKD:CUR;05/01/2022;54.43;54.5;54.19;54.19
USDMKD:CUR;04/01/2022;54.49;54.55;54.38;54.46
USDMKD:CUR;03/01/2022;54.24;54.42;53.99;54.38
USDMKD:CUR;31/12/2021;54.36;54.41;54.16;54.31
USDMKD:CUR;30/12/2021;54.35;54.44;54.1;54.2
USDMKD:CUR;29/12/2021;54.43;54.55;54.1;54.1
USDMKD:CUR;28/12/2021;54.3;54.46;54.24;54.43
USDMKD:CUR;27/12/2021;54.35;54.41;54.19;54.29
USDMKD:CUR;24/12/2021;54.28;54.35;54.21;54.32
USDMKD:CUR;23/12/2021;54.32;54.47;54.16;54.17
USDMKD:CUR;22/12/2021;54.58;54.59;54.22;54.37
USDMKD:CUR;21/12/2021;54.53;54.6;54.3;54.53
USDMKD:CUR;20/12/2021;54.66;54.67;54.42;54.43
USDMKD:CUR;17/12/2021;54.27;54.46;54.12;54.41
USDMKD:CUR;16/12/2021;54.47;54.47;54.14;54.23
USDMKD:CUR;15/12/2021;54.58;54.66;54.4;54.63
USDMKD:CUR;14/12/2021;54.54;54.59;54.29;54.5
USDMKD:CUR;13/12/2021;54.49;54.61;54.36;54.45
USDMKD:CUR;10/12/2021;54.43;54.49;54.32;54.36
USDMKD:CUR;09/12/2021;54.29;54.47;54.19;54.46
USDMKD:CUR;08/12/2021;54.48;54.48;54.43;54.43
USDMKD:CUR;07/12/2021;54.31;54.65;54.31;54.53
USDMKD:CUR;06/12/2021;54.51;54.55;54.26;54.45
USDMKD:CUR;03/12/2021;54.5;54.52;54.25;54.47
USDMKD:CUR;02/12/2021;54.32;54.39;54.23;54.23
USDMKD:CUR;01/12/2021;54.27;54.34;54.04;54.11
USDMKD:CUR;30/11/2021;54.32;54.37;53.98;54.26
USDMKD:CUR;29/11/2021;54.46;54.63;54.29;54.55
USDMKD:CUR;26/11/2021;54.76;54.78;54.42;54.42
USDMKD:CUR;25/11/2021;54.83;54.85;54.76;54.85
USDMKD:CUR;24/11/2021;54.69;54.98;54.68;54.85
USDMKD:CUR;23/11/2021;54.71;54.75;54.51;54.69
USDMKD:CUR;22/11/2021;54.56;54.73;54.36;54.51
USDMKD:CUR;19/11/2021;54.14;54.66;54.03;54.41
USDMKD:CUR;18/11/2021;54.35;54.35;54.08;54.18
USDMKD:CUR;17/11/2021;54.43;54.44;54.16;54.28
USDMKD:CUR;16/11/2021;54.06;54.28;54.04;54.19
USDMKD:CUR;15/11/2021;53.66;53.8;53.66;53.77
USDMKD:CUR;12/11/2021;53.7;53.79;53.53;53.66
USDMKD:CUR;11/11/2021;53.59;53.7;53.57;53.64
USDMKD:CUR;10/11/2021;53.13;53.3;53.11;53.26
USDMKD:CUR;09/11/2021;53.06;53.16;52.99;53.06
USDMKD:CUR;08/11/2021;53.19;53.24;52.93;52.95
USDMKD:CUR;05/11/2021;53.21;53.42;53.19;53.3
USDMKD:CUR;04/11/2021;53.12;53.35;53.03;53.17
USDMKD:CUR;03/11/2021;53.1;53.19;52.93;53.08
USDMKD:CUR;02/11/2021;53;53.11;52.93;53.03
USDMKD:CUR;01/11/2021;53.22;53.25;52.93;52.93
USDMKD:CUR;29/10/2021;52.96;53.02;52.68;52.97
USDMKD:CUR;28/10/2021;53.01;53.1;52.67;52.68
USDMKD:CUR;27/10/2021;53.01;53.09;52.79;52.84
USDMKD:CUR;26/10/2021;53.01;53.04;52.88;52.98
USDMKD:CUR;25/10/2021;52.75;53.06;52.71;52.92
USDMKD:CUR;22/10/2021;52.9;52.91;52.71;52.71
USDMKD:CUR;21/10/2021;52.76;52.88;52.76;52.76
USDMKD:CUR;20/10/2021;52.81;52.95;52.81;52.81
USDMKD:CUR;19/10/2021;52.86;52.86;52.58;52.67
