Symbol;Date;Open;High;Low;Close
USDNOK:CUR;10/05/2022;9.67169;9.75267;9.61089;9.72266
USDNOK:CUR;09/05/2022;9.25739;9.7017;9.25739;9.66149
USDNOK:CUR;06/05/2022;9.25739;9.57792;9.25739;9.47169
USDNOK:CUR;05/05/2022;9.25739;9.5219;9.206;9.48686
USDNOK:CUR;04/05/2022;9.394;9.42735;9.24195;9.24899
USDNOK:CUR;03/05/2022;9.44361;9.46661;9.3669;9.3957
USDNOK:CUR;02/05/2022;9.3282;9.48488;9.3282;9.43879
USDNOK:CUR;29/04/2022;9.3282;9.4083;9.24979;9.3709
USDNOK:CUR;28/04/2022;9.3282;9.45084;9.27894;9.40153
USDNOK:CUR;27/04/2022;9.23719;9.37335;9.2107;9.33609
USDNOK:CUR;26/04/2022;9.13076;9.24919;9.0788;9.23419
USDNOK:CUR;25/04/2022;8.8302;9.17041;8.8302;9.11499
USDNOK:CUR;22/04/2022;8.8302;8.96074;8.8302;8.94944
USDNOK:CUR;21/04/2022;8.80799;8.8962;8.75448;8.88883
USDNOK:CUR;20/04/2022;8.8302;8.8407;8.76502;8.812
USDNOK:CUR;19/04/2022;8.85659;8.86769;8.79;8.83154
USDNOK:CUR;18/04/2022;8.75485;8.86443;8.75485;8.85569
USDNOK:CUR;15/04/2022;8.75485;8.81368;8.75485;8.81368
USDNOK:CUR;14/04/2022;8.75485;8.83304;8.70849;8.77925
USDNOK:CUR;13/04/2022;8.7714;8.8688;8.7332;8.74594
USDNOK:CUR;12/04/2022;8.81509;8.83434;8.72817;8.7697
USDNOK:CUR;11/04/2022;8.79426;8.82036;8.6968;8.81789
USDNOK:CUR;08/04/2022;8.79426;8.824;8.67628;8.70079
USDNOK:CUR;07/04/2022;8.79426;8.82769;8.75033;8.81239
USDNOK:CUR;06/04/2022;8.7572;8.82862;8.72599;8.7937
USDNOK:CUR;05/04/2022;8.71677;8.76611;8.65929;8.76189
USDNOK:CUR;04/04/2022;8.5795;8.7627;8.5795;8.71
USDNOK:CUR;01/04/2022;8.5795;8.82378;8.5795;8.73859
USDNOK:CUR;31/03/2022;8.5795;8.80261;8.56669;8.80261
USDNOK:CUR;30/03/2022;8.67422;8.67471;8.54737;8.57009
USDNOK:CUR;29/03/2022;8.71;8.71;8.60116;8.66397
USDNOK:CUR;28/03/2022;8.68684;8.75238;8.61252;8.70059
USDNOK:CUR;25/03/2022;8.68684;8.68684;8.60369;8.60369
USDNOK:CUR;24/03/2022;8.68684;8.69011;8.6;8.67558
USDNOK:CUR;23/03/2022;8.75771;8.79193;8.67817;8.6786
USDNOK:CUR;22/03/2022;8.7502;8.80708;8.71269;8.75467
USDNOK:CUR;21/03/2022;8.74129;8.77048;8.71691;8.74176
USDNOK:CUR;18/03/2022;8.88228;8.88228;8.7312;8.73439
USDNOK:CUR;17/03/2022;8.88228;8.92492;8.7686;8.78876
USDNOK:CUR;16/03/2022;8.9978;9.0157;8.8698;8.90575
USDNOK:CUR;15/03/2022;9.0419;9.0766;8.9546;9.0026
USDNOK:CUR;14/03/2022;8.9169;9.0507;8.9169;9.0373
USDNOK:CUR;11/03/2022;8.9465;9.0114;8.8662;9.001
USDNOK:CUR;10/03/2022;8.889;8.9805;8.889;8.9482
USDNOK:CUR;09/03/2022;8.9924;8.9964;8.8756;8.8925
USDNOK:CUR;08/03/2022;9.0418;9.0793;8.924;8.9798
USDNOK:CUR;07/03/2022;8.9014;9.0632;8.8959;9.0526
USDNOK:CUR;04/03/2022;8.9114;9.0525;8.8857;8.952
USDNOK:CUR;03/03/2022;8.8455;8.9417;8.8316;8.9073
USDNOK:CUR;02/03/2022;8.89869;8.95878;8.83234;8.85083
USDNOK:CUR;01/03/2022;8.82079;8.91269;8.76529;8.87897
USDNOK:CUR;28/02/2022;8.8978;8.99779;8.78806;8.80739
USDNOK:CUR;25/02/2022;8.8978;8.9855;8.82999;8.83131
USDNOK:CUR;24/02/2022;8.8978;9.08909;8.87913;8.98019
USDNOK:CUR;23/02/2022;8.8865;8.9045;8.83129;8.88778
USDNOK:CUR;22/02/2022;9.00492;9.02363;8.871;8.89004
USDNOK:CUR;21/02/2022;8.85873;9.02472;8.85873;9.02472
USDNOK:CUR;18/02/2022;8.85873;9.0036;8.85873;8.982
USDNOK:CUR;17/02/2022;8.85873;8.93229;8.85873;8.9214
USDNOK:CUR;16/02/2022;8.90769;8.9131;8.8546;8.87761
USDNOK:CUR;15/02/2022;8.895;8.92879;8.83549;8.90622
USDNOK:CUR;14/02/2022;8.82559;8.95051;8.82559;8.88834
USDNOK:CUR;11/02/2022;8.8097;8.8865;8.79039;8.8703
USDNOK:CUR;10/02/2022;8.8097;8.87849;8.73369;8.80679
USDNOK:CUR;09/02/2022;8.83769;8.84574;8.77369;8.81628
USDNOK:CUR;08/02/2022;8.77919;8.84239;8.77159;8.82281
USDNOK:CUR;07/02/2022;8.71732;8.85601;8.71732;8.77558
USDNOK:CUR;04/02/2022;8.78647;8.8163;8.68579;8.78699
USDNOK:CUR;03/02/2022;8.78647;8.8457;8.70888;8.72519
USDNOK:CUR;02/02/2022;8.852;8.852;8.75562;8.8034
USDNOK:CUR;01/02/2022;8.94509;8.94509;8.824;8.82849
USDNOK:CUR;31/01/2022;8.94509;9.0043;8.88957;8.8919
USDNOK:CUR;28/01/2022;8.96766;9.01846;8.9222;8.97412
USDNOK:CUR;27/01/2022;8.96766;9.01473;8.9214;8.96599
USDNOK:CUR;26/01/2022;8.90999;8.96634;8.86223;8.934
USDNOK:CUR;25/01/2022;8.8378;9.02657;8.8378;8.92383
USDNOK:CUR;24/01/2022;8.8378;9.04592;8.8378;8.96739
USDNOK:CUR;21/01/2022;8.76309;8.91366;8.76309;8.8961
USDNOK:CUR;20/01/2022;8.76309;8.80169;8.73919;8.80169
USDNOK:CUR;19/01/2022;8.80056;8.8231;8.7419;8.77639
USDNOK:CUR;18/01/2022;8.71949;8.82699;8.69429;8.80928
USDNOK:CUR;17/01/2022;8.7712;8.77984;8.7128;8.72
USDNOK:CUR;14/01/2022;8.7712;8.78059;8.6629;8.7599
USDNOK:CUR;13/01/2022;8.7712;8.7712;8.6293;8.69196
USDNOK:CUR;12/01/2022;8.7712;8.77974;8.6527;8.66207
USDNOK:CUR;11/01/2022;8.87216;8.87216;8.7672;8.77169
USDNOK:CUR;10/01/2022;8.85791;8.91026;8.81285;8.85497
USDNOK:CUR;07/01/2022;8.85791;8.89437;8.826;8.826
USDNOK:CUR;06/01/2022;8.85791;8.92304;8.84819;8.89879
USDNOK:CUR;05/01/2022;8.85791;8.8715;8.781;8.849
USDNOK:CUR;04/01/2022;8.87409;8.88529;8.82339;8.86069
USDNOK:CUR;03/01/2022;8.78479;8.89167;8.78479;8.86915
USDNOK:CUR;31/12/2021;8.78479;8.83438;8.78479;8.80344
USDNOK:CUR;30/12/2021;8.78479;8.83792;8.7718;8.803
USDNOK:CUR;29/12/2021;8.8134;8.85474;8.7592;8.77577
USDNOK:CUR;28/12/2021;8.84066;8.8631;8.7931;8.79539
USDNOK:CUR;27/12/2021;8.8809;8.90429;8.82958;8.83292
USDNOK:CUR;24/12/2021;8.8809;8.8809;8.81089;8.82903
USDNOK:CUR;23/12/2021;8.8809;8.89011;8.8093;8.8093
USDNOK:CUR;22/12/2021;9.06818;9.06818;8.86085;8.875
