Symbol;Date;Open;High;Low;Close
USDPLN:CUR;10/05/2022;4.44485;4.4498;4.41839;4.44049
USDPLN:CUR;09/05/2022;4.36974;4.4938;4.36974;4.4393
USDPLN:CUR;06/05/2022;4.36974;4.4775;4.36974;4.4604
USDPLN:CUR;05/05/2022;4.36974;4.46926;4.36719;4.44533
USDPLN:CUR;04/05/2022;4.4565;4.46841;4.3683;4.3768
USDPLN:CUR;03/05/2022;4.46589;4.4849;4.42019;4.45742
USDPLN:CUR;02/05/2022;4.45919;4.47359;4.41388;4.46159
USDPLN:CUR;29/04/2022;4.45919;4.46569;4.39807;4.42609
USDPLN:CUR;28/04/2022;4.45919;4.48789;4.42409;4.4626
USDPLN:CUR;27/04/2022;4.41209;4.4723;4.4106;4.4604
USDPLN:CUR;26/04/2022;4.33085;4.43712;4.3192;4.42856
USDPLN:CUR;25/04/2022;4.27694;4.3546;4.27694;4.33169
USDPLN:CUR;22/04/2022;4.27694;4.31379;4.2686;4.3069
USDPLN:CUR;21/04/2022;4.27694;4.28749;4.2473;4.28184
USDPLN:CUR;20/04/2022;4.30348;4.3123;4.2592;4.2743
USDPLN:CUR;19/04/2022;4.28339;4.31169;4.27689;4.2996
USDPLN:CUR;18/04/2022;4.25766;4.2976;4.25766;4.28749
USDPLN:CUR;15/04/2022;4.25766;4.29559;4.25766;4.28608
USDPLN:CUR;14/04/2022;4.25766;4.3211;4.242;4.27939
USDPLN:CUR;13/04/2022;4.28539;4.29129;4.2525;4.2561
USDPLN:CUR;12/04/2022;4.275;4.2974;4.2605;4.2802
USDPLN:CUR;11/04/2022;4.2768;4.2845;4.24609;4.2834
USDPLN:CUR;08/04/2022;4.2768;4.27969;4.25339;4.2571
USDPLN:CUR;07/04/2022;4.2768;4.27721;4.23299;4.26179
USDPLN:CUR;06/04/2022;4.26537;4.28329;4.21295;4.26919
USDPLN:CUR;05/04/2022;4.21126;4.26709;4.1966;4.2463
USDPLN:CUR;04/04/2022;4.15829;4.224;4.15829;4.2003
USDPLN:CUR;01/04/2022;4.15829;4.2101;4.15829;4.1921
USDPLN:CUR;31/03/2022;4.15829;4.20639;4.1496;4.1989
USDPLN:CUR;30/03/2022;4.28289;4.28289;4.1503;4.1598
USDPLN:CUR;29/03/2022;4.26809;4.293;4.1701;4.1939
USDPLN:CUR;28/03/2022;4.28289;4.31349;4.24529;4.2676
USDPLN:CUR;25/03/2022;4.28289;4.33447;4.2571;4.26009
USDPLN:CUR;24/03/2022;4.28289;4.3305;4.27953;4.3277
USDPLN:CUR;23/03/2022;4.23859;4.2937;4.2342;4.2879
USDPLN:CUR;22/03/2022;4.2618;4.283;4.23089;4.23789
USDPLN:CUR;21/03/2022;4.2167;4.2722;4.2167;4.2579
USDPLN:CUR;18/03/2022;4.2167;4.2856;4.2062;4.2589
USDPLN:CUR;17/03/2022;4.2167;4.25729;4.1964;4.21899
USDPLN:CUR;16/03/2022;4.2955;4.2994;4.21589;4.2254
USDPLN:CUR;15/03/2022;4.3357;4.3378;4.2861;4.2963
USDPLN:CUR;14/03/2022;4.3804;4.3853;4.2885;4.3355
USDPLN:CUR;11/03/2022;4.3515;4.3851;4.3219;4.3794
USDPLN:CUR;10/03/2022;4.3054;4.3948;4.3035;4.3515
USDPLN:CUR;09/03/2022;4.4623;4.4802;4.2913;4.3045
USDPLN:CUR;08/03/2022;4.5832;4.6011;4.4376;4.4611
USDPLN:CUR;07/03/2022;4.4671;4.614;4.4648;4.5831
USDPLN:CUR;04/03/2022;4.3421;4.4842;4.342;4.4669
USDPLN:CUR;03/03/2022;4.2607;4.3553;4.2589;4.3421
USDPLN:CUR;02/03/2022;4.27129;4.3526;4.22779;4.261
USDPLN:CUR;01/03/2022;4.19189;4.30609;4.1666;4.2434
USDPLN:CUR;28/02/2022;4.0513;4.22009;4.0513;4.17889
USDPLN:CUR;25/02/2022;4.0513;4.1799;4.0513;4.0889
USDPLN:CUR;24/02/2022;4.0513;4.2382;4.0513;4.1665
USDPLN:CUR;23/02/2022;4.0135;4.0579;3.9884;4.0563
USDPLN:CUR;22/02/2022;4.00726;4.0324;3.9944;4.01184
USDPLN:CUR;21/02/2022;3.948;4.02172;3.948;4.02099
USDPLN:CUR;18/02/2022;3.948;4.0092;3.948;3.9947
USDPLN:CUR;17/02/2022;3.948;3.98641;3.948;3.98169
USDPLN:CUR;16/02/2022;3.9586;3.9653;3.93849;3.9547
USDPLN:CUR;15/02/2022;4.02344;4.02769;3.95219;3.9582
USDPLN:CUR;14/02/2022;3.9456;4.0538;3.9456;4.0278
USDPLN:CUR;11/02/2022;3.9272;4.03752;3.9272;4.0272
USDPLN:CUR;10/02/2022;3.9272;3.9584;3.9133;3.93269
USDPLN:CUR;09/02/2022;3.96499;3.96738;3.9243;3.9339
USDPLN:CUR;08/02/2022;3.9631;3.9828;3.9616;3.9638
USDPLN:CUR;07/02/2022;4.0591;4.0591;3.9614;3.9633
USDPLN:CUR;04/02/2022;4.0591;4.0591;3.9549;3.9865
USDPLN:CUR;03/02/2022;4.0591;4.0591;3.95569;3.96762
USDPLN:CUR;02/02/2022;4.0591;4.0591;4.0092;4.01669
USDPLN:CUR;01/02/2022;4.089;4.089;4.05079;4.0527
USDPLN:CUR;31/01/2022;4.089;4.1213;4.07905;4.07919
USDPLN:CUR;28/01/2022;4.08069;4.12231;4.08069;4.1083
USDPLN:CUR;27/01/2022;4.08069;4.1022;4.07609;4.0946
USDPLN:CUR;26/01/2022;4.0524;4.0823;4.0493;4.07849
USDPLN:CUR;25/01/2022;4.03329;4.07207;4.02969;4.05179
USDPLN:CUR;24/01/2022;3.9979;4.04711;3.9893;4.0295
USDPLN:CUR;21/01/2022;3.9833;4.0086;3.97371;3.99099
USDPLN:CUR;20/01/2022;3.9833;3.9979;3.96989;3.9948
USDPLN:CUR;19/01/2022;4.00229;4.01179;3.9813;3.9856
USDPLN:CUR;18/01/2022;3.9642;4.00904;3.9595;4.00089
USDPLN:CUR;17/01/2022;4.00771;4.00771;3.9539;3.9656
USDPLN:CUR;14/01/2022;4.00771;4.00771;3.9509;3.97289
USDPLN:CUR;13/01/2022;4.00771;4.00771;3.9423;3.95779
USDPLN:CUR;12/01/2022;4.00771;4.00771;3.94989;3.956
USDPLN:CUR;11/01/2022;4.00771;4.0142;3.99;3.99289
USDPLN:CUR;10/01/2022;4.04211;4.04211;3.99609;4.00689
USDPLN:CUR;07/01/2022;4.04211;4.04211;3.99749;3.99889
USDPLN:CUR;06/01/2022;4.04211;4.05823;4.0193;4.03363
USDPLN:CUR;05/01/2022;4.04211;4.04619;4.02409;4.0444
USDPLN:CUR;04/01/2022;4.05;4.05974;4.03198;4.04396
USDPLN:CUR;03/01/2022;4.04972;4.057;4.03329;4.04729
USDPLN:CUR;31/12/2021;4.04972;4.06129;4.0273;4.03149
USDPLN:CUR;30/12/2021;4.04972;4.06895;4.04489;4.05499
USDPLN:CUR;29/12/2021;4.06502;4.08143;4.04349;4.0474
USDPLN:CUR;28/12/2021;4.08611;4.08611;4.0538;4.0633
USDPLN:CUR;27/12/2021;4.08611;4.0907;4.05819;4.0608
USDPLN:CUR;24/12/2021;4.08611;4.0882;4.0674;4.0692
USDPLN:CUR;23/12/2021;4.08611;4.09929;4.0816;4.0826
USDPLN:CUR;22/12/2021;4.09499;4.1064;4.07819;4.0878
USDPLN:CUR;21/12/2021;4.10403;4.1055;4.08069;4.0942
USDPLN:CUR;20/12/2021;4.08489;4.12279;4.08489;4.10379
USDPLN:CUR;17/12/2021;4.09909;4.1192;4.0787;4.11709
USDPLN:CUR;16/12/2021;4.09909;4.10169;4.0776;4.0888
USDPLN:CUR;15/12/2021;4.10799;4.1206;4.0878;4.0903
USDPLN:CUR;14/12/2021;4.10799;4.11781;4.0892;4.1104
USDPLN:CUR;13/12/2021;4.0759;4.11019;4.0759;4.10909
USDPLN:CUR;10/12/2021;4.06139;4.0994;4.06139;4.0798
USDPLN:CUR;09/12/2021;4.06139;4.08589;4.06029;4.0753
USDPLN:CUR;08/12/2021;4.07639;4.07649;4.0481;4.06129
USDPLN:CUR;07/12/2021;4.07639;4.0904;4.06339;4.0636
USDPLN:CUR;06/12/2021;4.08243;4.08243;4.0553;4.06899
USDPLN:CUR;03/12/2021;4.08243;4.09219;4.0485;4.05889
USDPLN:CUR;02/12/2021;4.08243;4.0854;4.0474;4.0723
USDPLN:CUR;01/12/2021;4.1131;4.1132;4.06479;4.08339
USDPLN:CUR;30/11/2021;4.17299;4.17299;4.097;4.1058
USDPLN:CUR;29/11/2021;4.17299;4.1753;4.13005;4.14382
USDPLN:CUR;26/11/2021;4.17299;4.19089;4.1451;4.1451
USDPLN:CUR;25/11/2021;4.17644;4.17644;4.15579;4.1746
USDPLN:CUR;24/11/2021;4.1791;4.1865;4.1549;4.17539
USDPLN:CUR;23/11/2021;4.18919;4.19929;4.17209;4.1815
USDPLN:CUR;22/11/2021;4.11708;4.19334;4.11708;4.1865
USDPLN:CUR;19/11/2021;4.11708;4.1613;4.1039;4.1532
USDPLN:CUR;18/11/2021;4.11708;4.1199;4.10056;4.10551
USDPLN:CUR;17/11/2021;4.11191;4.1263;4.1048;4.11707
USDPLN:CUR;16/11/2021;4.07777;4.11574;4.07777;4.11149
USDPLN:CUR;15/11/2021;4.04729;4.083;4.03709;4.0826
USDPLN:CUR;12/11/2021;4.0155;4.06169;4.0155;4.0514
USDPLN:CUR;11/11/2021;4.0155;4.04659;4.00821;4.0464
USDPLN:CUR;10/11/2021;3.9584;4.01797;3.9584;4.0106
USDPLN:CUR;09/11/2021;3.9584;3.9698;3.9523;3.9598
USDPLN:CUR;08/11/2021;3.94787;3.9791;3.94787;3.96121
USDPLN:CUR;05/11/2021;3.94787;3.9999;3.94787;3.97289
USDPLN:CUR;04/11/2021;3.94787;3.9934;3.9433;3.9818
USDPLN:CUR;03/11/2021;3.9767;3.9781;3.94149;3.94429
USDPLN:CUR;02/11/2021;3.9763;3.9849;3.9654;3.9767
USDPLN:CUR;01/11/2021;3.98305;3.9978;3.9725;3.9781
USDPLN:CUR;29/10/2021;3.98305;3.99696;3.9533;3.9846
USDPLN:CUR;28/10/2021;3.98305;3.9969;3.9504;3.95953
USDPLN:CUR;27/10/2021;3.9719;3.9874;3.96789;3.98219
USDPLN:CUR;26/10/2021;3.9719;3.98315;3.9554;3.97534
USDPLN:CUR;25/10/2021;3.9609;3.983;3.94129;3.97352
USDPLN:CUR;22/10/2021;3.9609;3.9632;3.9484;3.9486
USDPLN:CUR;21/10/2021;3.93021;3.964;3.9266;3.96067
USDPLN:CUR;20/10/2021;3.94038;3.95079;3.9293;3.92989
USDPLN:CUR;19/10/2021;3.95079;3.95079;3.9186;3.9391
USDPLN:CUR;18/10/2021;3.9395;3.95869;3.93249;3.9474
USDPLN:CUR;15/10/2021;3.9395;3.94874;3.9279;3.93129
USDPLN:CUR;14/10/2021;3.94619;3.95086;3.9309;3.9437
USDPLN:CUR;13/10/2021;3.97199;3.976;3.9407;3.9432
USDPLN:CUR;12/10/2021;3.9735;3.97499;3.96009;3.97499
USDPLN:CUR;11/10/2021;3.9637;3.99449;3.9498;3.9672
USDPLN:CUR;08/10/2021;3.9637;3.9979;3.9637;3.97939
USDPLN:CUR;07/10/2021;3.9345;3.9688;3.92779;3.96707
USDPLN:CUR;06/10/2021;3.97049;4.0054;3.92569;3.9353
USDPLN:CUR;05/10/2021;3.95359;3.98298;3.9445;3.96919
USDPLN:CUR;04/10/2021;3.97659;3.97659;3.9189;3.9523
USDPLN:CUR;01/10/2021;3.97659;3.98592;3.9442;3.9459
USDPLN:CUR;30/09/2021;3.99593;4.0158;3.95919;3.9779
USDPLN:CUR;29/09/2021;3.9661;3.99722;3.95989;3.99169
USDPLN:CUR;28/09/2021;3.92759;3.9732;3.92759;3.9662
USDPLN:CUR;27/09/2021;3.9267;3.9315;3.9228;3.93006
USDPLN:CUR;24/09/2021;3.9267;3.9384;3.9224;3.9298
USDPLN:CUR;23/09/2021;3.9523;3.95546;3.9154;3.924
USDPLN:CUR;22/09/2021;3.9381;3.9563;3.928;3.9516
USDPLN:CUR;21/09/2021;3.88343;3.94642;3.88343;3.9405
USDPLN:CUR;20/09/2021;3.88343;3.93269;3.88343;3.92709
USDPLN:CUR;17/09/2021;3.88343;3.9161;3.88249;3.9114
USDPLN:CUR;16/09/2021;3.86159;3.8986;3.8566;3.88496
USDPLN:CUR;15/09/2021;3.85159;3.8683;3.84419;3.86118
USDPLN:CUR;14/09/2021;3.8529;3.86001;3.84069;3.85369
USDPLN:CUR;13/09/2021;3.84349;3.86461;3.84349;3.8499
USDPLN:CUR;10/09/2021;3.84349;3.84682;3.835;3.84489
USDPLN:CUR;09/09/2021;3.8216;3.8496;3.8176;3.8404
USDPLN:CUR;08/09/2021;3.81119;3.8267;3.8059;3.82189
USDPLN:CUR;07/09/2021;3.81119;3.8158;3.8017;3.8092
USDPLN:CUR;06/09/2021;3.8635;3.8635;3.792;3.8088
USDPLN:CUR;03/09/2021;3.8635;3.8635;3.78679;3.792
USDPLN:CUR;02/09/2021;3.8635;3.8635;3.7955;3.79825
USDPLN:CUR;01/09/2021;3.8635;3.8635;3.7967;3.8062
USDPLN:CUR;31/08/2021;3.8635;3.86382;3.81795;3.83049
USDPLN:CUR;30/08/2021;3.8917;3.8917;3.85999;3.86299
USDPLN:CUR;27/08/2021;3.8917;3.9007;3.8752;3.87899
USDPLN:CUR;26/08/2021;3.90019;3.90019;3.87974;3.8893
USDPLN:CUR;25/08/2021;3.90019;3.90409;3.882;3.885
USDPLN:CUR;24/08/2021;3.90019;3.90949;3.8856;3.8915
USDPLN:CUR;23/08/2021;3.88949;3.91752;3.88949;3.90109
USDPLN:CUR;20/08/2021;3.88949;3.9347;3.88949;3.91549
USDPLN:CUR;19/08/2021;3.88949;3.9291;3.88888;3.9226
USDPLN:CUR;18/08/2021;3.8957;3.8978;3.8789;3.88896
USDPLN:CUR;17/08/2021;3.87089;3.89949;3.8697;3.8954
USDPLN:CUR;16/08/2021;3.8996;3.8996;3.8673;3.86999
USDPLN:CUR;13/08/2021;3.8996;3.8996;3.86725;3.86981
USDPLN:CUR;12/08/2021;3.9059;3.913;3.89319;3.8968
USDPLN:CUR;11/08/2021;3.9059;3.921;3.89319;3.8978
USDPLN:CUR;10/08/2021;3.83909;3.90829;3.83909;3.9036
USDPLN:CUR;09/08/2021;3.83909;3.89651;3.83909;3.88765
USDPLN:CUR;06/08/2021;3.83909;3.89087;3.83909;3.8896
USDPLN:CUR;05/08/2021;3.83909;3.85345;3.83279;3.8395
USDPLN:CUR;04/08/2021;3.8354;3.8443;3.81009;3.8369
USDPLN:CUR;03/08/2021;3.84489;3.84489;3.8268;3.8338
USDPLN:CUR;02/08/2021;3.84489;3.85065;3.8287;3.8387
USDPLN:CUR;30/07/2021;3.84489;3.85571;3.83179;3.8513
USDPLN:CUR;29/07/2021;3.8806;3.8813;3.8397;3.84115
USDPLN:CUR;28/07/2021;3.8877;3.9035;3.8745;3.8784
USDPLN:CUR;27/07/2021;3.89035;3.9073;3.87632;3.8879
USDPLN:CUR;26/07/2021;3.87859;3.90095;3.87745;3.8893
USDPLN:CUR;23/07/2021;3.87859;3.8901;3.874;3.88439
USDPLN:CUR;22/07/2021;3.8789;3.88529;3.8545;3.87485
USDPLN:CUR;21/07/2021;3.89858;3.9133;3.86655;3.87969
USDPLN:CUR;20/07/2021;3.89858;3.9117;3.8908;3.89914
USDPLN:CUR;19/07/2021;3.8776;3.90078;3.8776;3.8961
USDPLN:CUR;16/07/2021;3.8776;3.88969;3.8728;3.88175
USDPLN:CUR;15/07/2021;3.8591;3.88245;3.8547;3.8791
USDPLN:CUR;14/07/2021;3.88721;3.89651;3.8532;3.85529
USDPLN:CUR;13/07/2021;3.83895;3.8899;3.83235;3.88809
USDPLN:CUR;12/07/2021;3.83209;3.84864;3.82629;3.8361
USDPLN:CUR;09/07/2021;3.83209;3.84421;3.82585;3.8259
USDPLN:CUR;08/07/2021;3.8167;3.85069;3.8167;3.83139
USDPLN:CUR;07/07/2021;3.8167;3.84999;3.81139;3.84229
USDPLN:CUR;06/07/2021;3.79184;3.8192;3.78094;3.81653
