Symbol;Date;Open;High;Low;Close
USDRON:CUR;10/05/2022;4.68;4.697;4.6674;4.6911
USDRON:CUR;09/05/2022;4.6872;4.712;4.666;4.6807
USDRON:CUR;06/05/2022;4.6906;4.7186;4.6652;4.6888
USDRON:CUR;05/05/2022;4.6522;4.7132;4.645;4.6917
USDRON:CUR;04/05/2022;4.6975;4.7072;4.6479;4.6533
USDRON:CUR;03/05/2022;4.7045;4.7136;4.6731;4.6987
USDRON:CUR;02/05/2022;4.701;4.7136;4.6782;4.7045
USDRON:CUR;29/04/2022;4.7093;4.7149;4.6685;4.6883
USDRON:CUR;28/04/2022;4.6837;4.723;4.6796;4.7104
USDRON:CUR;27/04/2022;4.6463;4.7038;4.6365;4.6837
USDRON:CUR;26/04/2022;4.6135;4.6473;4.6029;4.6461
USDRON:CUR;25/04/2022;4.5745;4.62;4.5723;4.6134
USDRON:CUR;22/04/2022;4.5598;4.5865;4.5519;4.5746
USDRON:CUR;21/04/2022;4.552;4.5647;4.5143;4.5602
USDRON:CUR;20/04/2022;4.5781;4.5796;4.544;4.5512
USDRON:CUR;19/04/2022;4.5776;4.5872;4.5656;4.5785
USDRON:CUR;18/04/2022;4.5761;4.5831;4.5644;4.5772
USDRON:CUR;15/04/2022;4.5591;4.5745;4.5583;4.5671
USDRON:CUR;14/04/2022;4.5358;4.5953;4.5198;4.5602
USDRON:CUR;13/04/2022;4.5599;4.5694;4.5323;4.5339
USDRON:CUR;12/04/2022;4.536;4.562;4.5281;4.5591
USDRON:CUR;11/04/2022;4.5363;4.5433;4.5156;4.5358
USDRON:CUR;08/04/2022;4.5399;4.558;4.5332;4.5402
USDRON:CUR;07/04/2022;4.5328;4.5468;4.5144;4.539
USDRON:CUR;06/04/2022;4.5289;4.5455;4.5157;4.5302
USDRON:CUR;05/04/2022;4.5015;4.5321;4.4934;4.5294
USDRON:CUR;04/04/2022;4.4703;4.5065;4.4681;4.5024
USDRON:CUR;01/04/2022;4.462;4.4811;4.459;4.473
USDRON:CUR;31/03/2022;4.4306;4.4688;4.4203;4.462
USDRON:CUR;30/03/2022;4.4585;4.4609;4.4244;4.4306
USDRON:CUR;29/03/2022;4.5031;4.508;4.4373;4.4589
USDRON:CUR;28/03/2022;4.5175;4.5194;4.4946;4.5002
USDRON:CUR;25/03/2022;4.4968;4.5033;4.4786;4.5033
USDRON:CUR;24/03/2022;4.4931;4.5106;4.4865;4.4949
USDRON:CUR;23/03/2022;4.4779;4.51;4.4732;4.4926
USDRON:CUR;22/03/2022;4.4874;4.5115;4.4723;4.4775
USDRON:CUR;21/03/2022;4.4771;4.4908;4.4651;4.4871
USDRON:CUR;18/03/2022;4.4569;4.4954;4.446;4.4738
USDRON:CUR;17/03/2022;4.4773;4.4881;4.4385;4.457
USDRON:CUR;16/03/2022;4.5126;4.5164;4.471;4.4765
USDRON:CUR;15/03/2022;4.5199;4.5259;4.4866;4.5135
USDRON:CUR;14/03/2022;4.5337;4.5378;4.498;4.5203
USDRON:CUR;11/03/2022;4.5024;4.537;4.4772;4.5322
USDRON:CUR;10/03/2022;4.4632;4.506;4.4458;4.5011
USDRON:CUR;09/03/2022;4.5364;4.542;4.4571;4.4648
USDRON:CUR;08/03/2022;4.556;4.5594;4.5129;4.5394
USDRON:CUR;07/03/2022;4.5294;4.5779;4.5244;4.5556
USDRON:CUR;04/03/2022;4.469;4.5445;4.4652;4.5244
USDRON:CUR;03/03/2022;4.4448;4.4828;4.4438;4.4699
USDRON:CUR;02/03/2022;4.4433;4.4734;4.4356;4.4461
USDRON:CUR;01/03/2022;4.4084;4.459;4.4007;4.445
USDRON:CUR;28/02/2022;4.429;4.4332;4.3971;4.4075
USDRON:CUR;25/02/2022;4.4189;4.4295;4.3852;4.387
USDRON:CUR;24/02/2022;4.3721;4.4533;4.37;4.4197
USDRON:CUR;23/02/2022;4.3637;4.3746;4.3511;4.3715
USDRON:CUR;22/02/2022;4.3673;4.3784;4.3477;4.3618
USDRON:CUR;21/02/2022;4.349;4.3716;4.3393;4.3699
USDRON:CUR;18/02/2022;4.3469;4.3673;4.3418;4.3634
USDRON:CUR;17/02/2022;4.3428;4.3612;4.3374;4.3469
USDRON:CUR;16/02/2022;4.3433;4.3522;4.3318;4.3425
USDRON:CUR;15/02/2022;4.3712;4.3728;4.3389;4.3458
USDRON:CUR;14/02/2022;4.354;4.3813;4.3528;4.3697
USDRON:CUR;11/02/2022;4.322;4.3642;4.3208;4.3549
USDRON:CUR;10/02/2022;4.3237;4.3448;4.2971;4.3237
USDRON:CUR;09/02/2022;4.3278;4.3359;4.3153;4.3244
USDRON:CUR;08/02/2022;4.3189;4.3389;4.3164;4.327
USDRON:CUR;07/02/2022;4.3205;4.3313;4.3128;4.3202
USDRON:CUR;04/02/2022;4.3209;4.3326;4.3041;4.318
USDRON:CUR;03/02/2022;4.3722;4.3871;4.3163;4.321
USDRON:CUR;02/02/2022;4.3848;4.3888;4.362;4.372
USDRON:CUR;01/02/2022;4.4006;4.4065;4.3816;4.3852
USDRON:CUR;31/01/2022;4.4294;4.4376;4.393;4.4006
USDRON:CUR;28/01/2022;4.4353;4.4462;4.4233;4.4336
USDRON:CUR;27/01/2022;4.3957;4.442;4.394;4.4363
USDRON:CUR;26/01/2022;4.3733;4.399;4.3684;4.3961
USDRON:CUR;25/01/2022;4.3597;4.3893;4.3583;4.3737
USDRON:CUR;24/01/2022;4.3648;4.3759;4.3577;4.3605
USDRON:CUR;21/01/2022;4.3687;4.3733;4.3498;4.357
USDRON:CUR;20/01/2022;4.3565;4.3726;4.346;4.369
USDRON:CUR;19/01/2022;4.3629;4.3657;4.3507;4.3569
USDRON:CUR;18/01/2022;4.3315;4.3672;4.3261;4.3628
USDRON:CUR;17/01/2022;4.326;4.3391;4.32;4.331
USDRON:CUR;14/01/2022;4.3126;4.3346;4.3028;4.3279
USDRON:CUR;13/01/2022;4.3177;4.3211;4.3026;4.3129
USDRON:CUR;12/01/2022;4.3477;4.3538;4.3134;4.3175
USDRON:CUR;11/01/2022;4.3636;4.3699;4.3439;4.3465
USDRON:CUR;10/01/2022;4.3476;4.3799;4.3476;4.3629
USDRON:CUR;07/01/2022;4.3728;4.3779;4.3477;4.3496
USDRON:CUR;06/01/2022;4.3686;4.382;4.359;4.3718
USDRON:CUR;05/01/2022;4.3804;4.3848;4.3563;4.3695
USDRON:CUR;04/01/2022;4.3769;4.3887;4.3661;4.3807
USDRON:CUR;03/01/2022;4.3612;4.3841;4.3497;4.3778
USDRON:CUR;31/12/2021;4.368;4.3773;4.3432;4.3481
USDRON:CUR;30/12/2021;4.359;4.3797;4.354;4.3671
USDRON:CUR;29/12/2021;4.3742;4.3899;4.3505;4.3589
USDRON:CUR;28/12/2021;4.3661;4.3834;4.3636;4.3753
USDRON:CUR;27/12/2021;4.3723;4.3781;4.3631;4.3669
USDRON:CUR;24/12/2021;4.366;4.3778;4.3601;4.3694
USDRON:CUR;23/12/2021;4.3674;4.3832;4.3602;4.3667
USDRON:CUR;22/12/2021;4.3831;4.392;4.3605;4.3671
USDRON:CUR;21/12/2021;4.3851;4.394;4.3754;4.3813
USDRON:CUR;20/12/2021;4.3981;4.3995;4.3742;4.3868
USDRON:CUR;17/12/2021;4.3657;4.403;4.3573;4.4012
USDRON:CUR;16/12/2021;4.3821;4.3855;4.3539;4.3655
USDRON:CUR;15/12/2021;4.393;4.4086;4.3777;4.3805
USDRON:CUR;14/12/2021;4.3829;4.3964;4.3672;4.3932
USDRON:CUR;13/12/2021;4.3711;4.3938;4.3698;4.3827
USDRON:CUR;10/12/2021;4.38;4.3919;4.3673;4.3711
USDRON:CUR;09/12/2021;4.36;4.387;4.3585;4.3799
USDRON:CUR;08/12/2021;4.3887;4.3913;4.355;4.3615
USDRON:CUR;07/12/2021;4.3817;4.4061;4.3756;4.3865
USDRON:CUR;06/12/2021;4.3828;4.3899;4.3713;4.3816
USDRON:CUR;03/12/2021;4.3778;4.3918;4.3641;4.3708
USDRON:CUR;02/12/2021;4.3683;4.38;4.3574;4.3776
USDRON:CUR;01/12/2021;4.3621;4.375;4.3528;4.369
USDRON:CUR;30/11/2021;4.3811;4.3967;4.3453;4.361
