Symbol;Date;Open;High;Low;Close
USDRUB:CUR;10/05/2022;67.625;69.701;65.5;68.375
USDRUB:CUR;09/05/2022;67;70.271;64.5;67.5
USDRUB:CUR;06/05/2022;62.75;68.25;61.15;66.5
USDRUB:CUR;05/05/2022;65.5;65.95;61.25;62.5
USDRUB:CUR;04/05/2022;64.75;67.851;61.925;63.625
USDRUB:CUR;03/05/2022;68.1;70.653;64;65.75
USDRUB:CUR;02/05/2022;70.2;71.515;67.446;68.175
USDRUB:CUR;29/04/2022;70.439;72.017;66.8775;70.2
USDRUB:CUR;28/04/2022;71.375;73.525;68.5;70.25
USDRUB:CUR;27/04/2022;71.75;74.752;69.525;71.25
USDRUB:CUR;26/04/2022;72.65;75;70.033;73.125
USDRUB:CUR;25/04/2022;74.85;76.5;70.515;72.525
USDRUB:CUR;22/04/2022;77.555;79.748;72.725;74.875
USDRUB:CUR;21/04/2022;80.25;81.666;74.52;78.375
USDRUB:CUR;20/04/2022;78.125;84.374;77.3;79.75
USDRUB:CUR;19/04/2022;79.999;80.887;76.625;78.25
USDRUB:CUR;18/04/2022;80.7488;82;77.55;78.625
USDRUB:CUR;15/04/2022;80.25;81.017;77.75;78.25
USDRUB:CUR;14/04/2022;79.95;83.24;78.875;80.125
USDRUB:CUR;13/04/2022;84.151;84.151;78.7;80
USDRUB:CUR;12/04/2022;80.025;85.036;79.1225;82.875
USDRUB:CUR;11/04/2022;76.5;83.373;76.5;81
USDRUB:CUR;08/04/2022;75.5;79.497;73.85;77.75
USDRUB:CUR;07/04/2022;81.5;82.033;75.514;76.75
USDRUB:CUR;06/04/2022;81.5;84.085;78.5;80
USDRUB:CUR;05/04/2022;80.995;84.642;80.567;81.75
USDRUB:CUR;04/04/2022;77.5;84.017;76.6;81.495
USDRUB:CUR;01/04/2022;78.5;85.5;78.5;83.25
USDRUB:CUR;31/03/2022;82.5;83.5;78;79.25
USDRUB:CUR;30/03/2022;79;87;75;76
USDRUB:CUR;29/03/2022;90.5;94.125;79.5;80
USDRUB:CUR;28/03/2022;98.25;99.65;86.5;87.5
USDRUB:CUR;25/03/2022;94.75;102.37;91.375;96.5
USDRUB:CUR;24/03/2022;90.75;100.5;88.75;94.75
USDRUB:CUR;23/03/2022;97.55;105;87.5;89.25
USDRUB:CUR;22/03/2022;100.6;107.1;97.5;98.55
USDRUB:CUR;21/03/2022;93.6;108.5;93.6;99.15
USDRUB:CUR;18/03/2022;96.5;106.25;94.625;99
USDRUB:CUR;17/03/2022;89;106.5;89;95.25
USDRUB:CUR;16/03/2022;98;109;88.5;90.5
USDRUB:CUR;15/03/2022;112.5;116.75;97.25;99
USDRUB:CUR;14/03/2022;125.05;127.82;109.625;114.5
USDRUB:CUR;11/03/2022;124.5;131;112.097;126.5
USDRUB:CUR;10/03/2022;128;132.5;115.022;126
USDRUB:CUR;09/03/2022;122.5;131.75;115.297;130
USDRUB:CUR;08/03/2022;120;134;113.5;120
USDRUB:CUR;07/03/2022;112.5;150;123.5;132
USDRUB:CUR;04/03/2022;108;122.033;99.5;121.037
USDRUB:CUR;03/03/2022;97.499;118.675;94.999;108.395
USDRUB:CUR;02/03/2022;104.999;112.6;95;97.6
USDRUB:CUR;01/03/2022;101;117;89.397;105.043
USDRUB:CUR;28/02/2022;106;110.7745;92.902;101.04
USDRUB:CUR;25/02/2022;84.154;85.9745;80.8059;83.8963
USDRUB:CUR;24/02/2022;81.145;89.9855;80.512;84.0475
USDRUB:CUR;23/02/2022;78.641;81.571;78.5142;81.148
USDRUB:CUR;22/02/2022;79.8169;80.9275;78.4625;78.5987
USDRUB:CUR;21/02/2022;77.732;80.2075;76.1087;80.017
USDRUB:CUR;18/02/2022;75.8691;77.476;75.62;77.164
USDRUB:CUR;17/02/2022;74.973;76.7075;74.7905;76.0593
USDRUB:CUR;16/02/2022;75.401;75.433;74.8233;74.978
USDRUB:CUR;15/02/2022;76.234;76.787;75.1071;75.185
USDRUB:CUR;14/02/2022;77.267;78.14;75.965;76.2131
USDRUB:CUR;11/02/2022;74.77;77.58;74.77;77.0753
USDRUB:CUR;10/02/2022;74.4558;75.1056;74.251;74.905
USDRUB:CUR;09/02/2022;74.8179;75.084;74.4525;74.6447
USDRUB:CUR;08/02/2022;75.0878;75.547;74.9188;74.9695
USDRUB:CUR;07/02/2022;75.866;76.049;75.2283;75.276
USDRUB:CUR;04/02/2022;76.35;76.426;75.5818;75.5836
USDRUB:CUR;03/02/2022;76.006;76.806;75.8159;75.9442
USDRUB:CUR;02/02/2022;76.801;76.802;75.6775;76.023
USDRUB:CUR;01/02/2022;77.246;77.5925;76.3675;76.725
USDRUB:CUR;31/01/2022;77.791;77.861;77.018;77.248
USDRUB:CUR;28/01/2022;77.776;78.291;77.376;78.0765
USDRUB:CUR;27/01/2022;79.103;79.724;77.3397;77.8693
USDRUB:CUR;26/01/2022;78.509;80.357;78.4424;79.0468
USDRUB:CUR;25/01/2022;78.563;79.333;78.1975;78.5027
USDRUB:CUR;24/01/2022;77.4253;79.479;76.9375;78.563
USDRUB:CUR;21/01/2022;76.5057;77.7373;76.27;77.3856
USDRUB:CUR;20/01/2022;76.015;76.8291;75.854;76.6975
USDRUB:CUR;19/01/2022;76.74;77.149;75.8255;76.055
USDRUB:CUR;18/01/2022;75.8746;76.9986;75.5014;76.8879
USDRUB:CUR;17/01/2022;76.153;76.781;75.604;76.043
USDRUB:CUR;14/01/2022;76.3175;76.97;75.5825;76.1738
USDRUB:CUR;13/01/2022;74.404;76.5795;74.224;76.3194
USDRUB:CUR;12/01/2022;74.1956;74.9;74.1945;74.411
USDRUB:CUR;11/01/2022;74.704;74.99;74.2007;74.232
USDRUB:CUR;10/01/2022;75.51;75.639;74.6918;74.75
USDRUB:CUR;07/01/2022;75.9925;76.5075;75.0825;75.4224
USDRUB:CUR;06/01/2022;76.6975;77.3183;76.005;76.2168
USDRUB:CUR;05/01/2022;75.205;76.8824;75.0149;76.7
USDRUB:CUR;04/01/2022;74.1507;75.573;74.11;75.245
USDRUB:CUR;03/01/2022;74.3742;75.173;74.1502;74.165
USDRUB:CUR;31/12/2021;74.4975;75.4275;74.2313;74.5607
USDRUB:CUR;30/12/2021;73.98;75.138;73.7039;74.4817
USDRUB:CUR;29/12/2021;73.537;74.189;73.3823;73.6419
USDRUB:CUR;28/12/2021;73.1636;73.872;73.1153;73.5528
USDRUB:CUR;27/12/2021;73.104;73.641;73.0504;73.1495
USDRUB:CUR;24/12/2021;73.2649;73.723;73.0465;73.6125
USDRUB:CUR;23/12/2021;73.4173;73.642;73.175;73.2622
USDRUB:CUR;22/12/2021;73.8594;74.16;73.486;73.486
USDRUB:CUR;21/12/2021;74.065;74.144;73.716;73.893
USDRUB:CUR;20/12/2021;73.8428;74.483;73.8428;74.065
USDRUB:CUR;17/12/2021;73.518;74.259;73.415;74.0279
USDRUB:CUR;16/12/2021;73.496;73.8585;73.351;73.66
USDRUB:CUR;15/12/2021;73.705;74.3635;73.499;73.499
USDRUB:CUR;14/12/2021;73.1666;73.9015;73.1666;73.729
USDRUB:CUR;13/12/2021;73.15;73.6984;73.15;73.389
USDRUB:CUR;10/12/2021;73.4225;73.7711;73.21;73.21
USDRUB:CUR;09/12/2021;73.425;73.755;73.26;73.345
USDRUB:CUR;08/12/2021;73.932;74.045;73.35;73.3575
USDRUB:CUR;07/12/2021;74.057;74.527;73.7731;73.853
USDRUB:CUR;06/12/2021;73.832;74.446;73.4217;74.022
USDRUB:CUR;03/12/2021;73.5;73.978;73.286;73.69
USDRUB:CUR;02/12/2021;74.19;74.269;73.495;73.533
USDRUB:CUR;01/12/2021;73.8449;74.377;73.6575;74.227
USDRUB:CUR;30/11/2021;74.499;75.109;73.8449;73.8449
